Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Features","Tip - Style","Tip - Type","Tip - Shape","Length - Overall","Pattern Number","Material"
http://www.weller.com.pl/public/assets/Weller_2014_en.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/15AGS.JPG,15AGS-ND,15AGS,Apex Tool Group,TWEEZER END CUTTER FINE 4.25"",154,0,"45.80000","0","1","Erem®","Active","Magnetic","Cutter","End Cutter","Straight","4.25"" (108.0mm)","-","Carbon Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18523.pdf,//media.digikey.com/Photos/Aven%20Photos/18523.jpg,243-1004-ND,18523,Aven Tools,TWEEZER POINT VERY FINE P7 4.53"",154,0,"2.39000","0","1","-","Active","Acid Resistant, Anti-Magnetic, ESD Safe, Heat Resistant","Pointed","Very Fine","Curved","4.53"" (115.0mm)","P7","Plastic"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18483.pdf,//media.digikey.com/Photos/Aven%20Photos/18483.jpg,243-1271-ND,18483,Aven Tools,TWEEZER POINT MEDIUM SHARP 3.15"",235,0,"3.50000","0","1","-","Active","Serrated","Pointed","Medium","Straight","3.15"" (80.0mm)","-","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/422_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_422.jpg,1528-2189-ND,422,Adafruit Industries LLC,TWEEZERS POINTED FINE 4.72"",609,0,"3.95000","0","1","Vetus®","Active","Anti-Magnetic, ESD Safe","Pointed","Fine","Curved","4.72"" (120.0mm)","-","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/421_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_421.jpg,1528-2188-ND,421,Adafruit Industries LLC,TWEEZERS POINTED FINE 5.32"",156,0,"3.95000","0","1","Vetus®","Active","Anti-Magnetic, ESD Safe","Pointed","Fine","Straight","5.32"" (135.0mm)","-","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18481.pdf,//media.digikey.com/Photos/Aven%20Photos/18481.jpg,243-1375-ND,18481,Aven Tools,TWEEZER POINTED 4.33"",124,0,"4.02000","0","1","-","Active","Serrated","Pointed","-","Curved","4.33"" (110.0mm)","-","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18072USA.pdf,//media.digikey.com/Photos/Aven%20Photos/18072USA.JPG,243-1225-ND,18072USA,Aven Tools,TWEEZER POINT ULTRA FINE 7 4.53"",418,0,"5.82000","0","1","Technik","Active","Acid Resistant, Anti-Magnetic","Pointed","Ultra Fine","Curved","4.53"" (115.0mm)","7","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18049USA.pdf,//media.digikey.com/Photos/Aven%20Photos/18049USA.jpg,243-1270-ND,18049USA,Aven Tools,TWEEZER FLAT BLUNT 2A 4.72"",132,0,"5.82000","0","1","Technik","Active","Acid Resistant, Anti-Magnetic","Flat","Blunt","Straight","4.72"" (120.0mm)","2A","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18056EZ.pdf,//media.digikey.com/Photos/Aven%20Photos/18056EZ.JPG,243-1051-ND,18056EZ,Aven Tools,TWEEZER POINTED SHARP 3C 4.33"",229,0,"5.98000","0","1","EZ-PIK","Active","Acid Resistant, Anti-Magnetic","Pointed","Sharp","Straight","4.33"" (110.0mm)","3C","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18072EZ.pdf,//media.digikey.com/Photos/Aven%20Photos/18072ez.JPG,243-1055-ND,18072EZ,Aven Tools,TWEEZER SUPER FINE 7 4.53"",141,0,"5.98000","0","1","EZ-PIK","Active","Acid Resistant, Anti-Magnetic","-","Super Fine","Curved","4.53"" (115.0mm)","7","Stainless Steel"
//media.digikey.com/pdf/Data Sheets/Aven PDFs/EZ-PIK Tweezers Spec Sheet.pdf,//media.digikey.com/Photos/Aven%20Photos/18032EZ.JPG,243-1052-ND,18032EZ,Aven Tools,TWEEZER POINTED STRONG OO 4.72"",102,0,"5.98000","0","1","EZ-PIK","Active","Acid Resistant, Anti-Magnetic","Pointed","Strong","Straight","4.72"" (120.0mm)","OO","Stainless Steel"
//media.digikey.com/PDF/Data%20Sheets/Aven%20PDFs/18532.pdf,//media.digikey.com/Photos/Aven%20Photos/18532.JPG,243-1130-ND,18532,Aven Tools,TWEEZER POINTED 705 4.53"",383,0,"6.06000","0","1","-","Active","Acid Resistant, Anti-Magnetic, ESD Safe, Heat Resistant","Pointed","-","Straight","4.53"" (115.0mm)","705","Plastic"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/18029USA.jpg,243-1268-ND,18029USA,Aven Tools,TWEEZER POINTED FINE OC 3.50"",135,0,"6.30000","0","1","Technik","Active","Acid Resistant, Anti-Magnetic","Pointed","Fine","Straight","3.50"" (88.9mm)","OC","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18430.pdf,//media.digikey.com/Photos/Aven%20Photos/18430.jpg,243-1413-ND,18430,Aven Tools,TWEEZER 8.07"",106,0,"6.99000","0","1","-","Active","Plastic Covered Tips","-","-","Straight","8.07"" (205.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/files/220-TDS_Stainless_steel_type_SA.B.pdf,//media.digikey.com/Photos/Ideal-Tek/MFG_3.SA.B.jpg,3.SA.B-1024-ND,3.SA.B,Ideal-tek S.A.,TWEEZERS ANTI-ACID/ANTI-MAG SS,140,0,"4.80000","0","1","-","Active","Acid Resistant, Anti-Magnetic","Pointed","-","Straight","4.72"" (120.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/files/220-TDS_Stainless_steel_type_SA.B.pdf,//media.digikey.com/Photos/Ideal-Tek/MFG_5.SA.B.jpg,5.SA.B-1025-ND,5.SA.B,Ideal-tek S.A.,TWEEZERS ANTI-ACID/ANTI-MAG SS,140,0,"4.80000","0","1","-","Active","Acid Resistant, Anti-Magnetic","Pointed","Sharp","Straight","4.33"" (110.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/files/220-TDS_Stainless_steel_type_SA.B.pdf,//media.digikey.com/Photos/Ideal-Tek/MFG_AA.SA.B.jpg,AA.SA.B-1029-ND,AA.SA.B,Ideal-tek S.A.,TWEEZERS ANTI-ACID/ANTI-MAG SS,140,0,"4.80000","0","1","-","Active","Acid Resistant, Anti-Magnetic","Pointed","-","Straight","5.12"" (130.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/files/220-TDS_Stainless_steel_type_SA.B.pdf,//media.digikey.com/Photos/Ideal-Tek/MFG_5A.SA.B.jpg,5A.SA.B-1026-ND,5A.SA.B,Ideal-tek S.A.,TWEEZERS ANTI-ACID/ANTI-MAG SS,137,0,"4.80000","0","1","-","Active","Acid Resistant, Anti-Magnetic","Pointed","-","Straight","4.72"" (120.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/files/220-TDS_Stainless_steel_type_SA.B.pdf,//media.digikey.com/Photos/Ideal-Tek/MFG_7.SA.B.jpg,7.SA.B-1027-ND,7.SA.B,Ideal-tek S.A.,TWEEZERS ANTI-ACID/ANTI-MAG SS,134,0,"4.80000","0","1","-","Active","Acid Resistant, Anti-Magnetic","Pointed","Fine","Curved","4.72"" (120.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/files/220-TDS_Stainless_steel_type_SA.B.pdf,//media.digikey.com/Photos/Ideal-Tek/MFG_2A.SA.B.jpg,2A.SA.B-1023-ND,2A.SA.B,Ideal-tek S.A.,TWEEZERS ANTI-ACID/ANTI-MAG SS,128,0,"4.80000","0","1","-","Active","Acid Resistant, Anti-Magnetic","Pointed","-","Straight","4.72"" (120.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/files/220-TDS_Stainless_steel_type_SA.B.pdf,//media.digikey.com/Photos/Ideal-Tek/MFG_SS.SA.B.jpg,SS.SA.B-1030-ND,SS.SA.B,Ideal-tek S.A.,TWEEZERS ANTI-ACID/ANTI-MAG SS,119,0,"4.80000","0","1","-","Active","Acid Resistant, Anti-Magnetic","Pointed","-","Straight","5.51"" (140.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/files/220-TDS_Stainless_steel_type_SA.B.pdf,//media.digikey.com/Photos/Ideal-Tek/MFG_7.SA.B.jpg,7A.SA.B-1028-ND,7A.SA.B,Ideal-tek S.A.,TWEEZERS ANTI-ACID/ANTI-MAG SS,114,0,"4.80000","0","1","-","Active","Acid Resistant, Anti-Magnetic","Pointed","Very Fine","Curved","4.72"" (120.0mm)","-","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-12572_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_TOL-12572.jpg,1568-1624-ND,TOL-12572,SparkFun Electronics,TWEEZER CURVED FINE,98,0,"3.95000","0","1","-","Active","ESD Safe, Self Closing","Pointed","Fine","Curved","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-12573_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_TOL-12573.jpg,1568-1625-ND,TOL-12573,SparkFun Electronics,TWEEZER STRAIGHT VERY FINE,61,0,"3.95000","0","1","-","Active","ESD Safe, Self Closing","Pointed","Very Fine","Straight","-","-","-"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/photos/Cooper%20Industries%20Photos/XHT412.jpg,XHT412N-ND,XHT412N,Apex Tool Group,TWEEZER POINTED SHARP 4.53"",56,0,"7.30000","0","1","Xcelite®","Active","Locking, Self Closing","Pointed","Sharp","Straight","4.53"" (115.0mm)","-","-"
https://www.ideal-tek.com/public/files/220-TDS_Stainless_steel_type_SA.B.pdf,//media.digikey.com/Photos/Ideal-Tek/MFG_K5-ECO.SA.jpg,K5-ECO.SA-1031-ND,K5-ECO.SA,Ideal-tek S.A.,TWEEZERS ANTI-ACID/ANTI-MAG SS,25,0,"24.00000","0","1","-","Active","Acid Resistant, Anti-Magnetic","Pointed","Assorted","Assorted","Assorted","-","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/ESD%20Safe%20Tweezers.pdf,//media.digikey.com/Photos/Wiha/MFG_44501.jpg,431-1020-ND,44501,Wiha,TWEEZER POINTED FINE AA 5.12"",96,0,"25.04000","0","1","-","Active","Acid Resistant, Anti-Magnetic, ESD Safe","Pointed","Fine","Straight","5.12"" (130.0mm)","AA","Stainless Steel"
http://www.weller.com.pl/public/assets/Weller_2014_en.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/249SA.JPG,249SA-ND,249SA,Apex Tool Group,TWEEZER POINTED FINE 5.00"",44,0,"36.70000","0","1","Erem®","Active","Acid Resistant, Anti-Magnetic, ESD Safe, Heat Resistant, Synthetic Tips","Pointed","Fine","Straight","5.00"" (127.0mm)","-","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/ESD%20Safe%20Tweezers.pdf,//media.digikey.com/Photos/Wiha/MFG_44510.jpg,431-1023-ND,44510,Wiha,TWEEZER POINT FINE ROUND 4.72"",46,0,"37.16000","0","1","-","Active","Acid Resistant, Anti-Magnetic, ESD Safe","Pointed","Extra Fine","Curved","4.72"" (120.0mm)","7A","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18526.pdf,//media.digikey.com/Photos/Aven%20Photos/18526.jpg,243-1378-ND,18526,Aven Tools,TWEEZER FLAT 35 4.53"",94,0,"2.39000","0","1","-","Active","Acid Resistant, Anti-Magnetic, ESD Safe, Heat Resistant","Flat","-","Straight","4.53"" (115.0mm)","35","Plastic"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18529.pdf,//media.digikey.com/Photos/Aven%20Photos/18529.jpg,243-1379-ND,18529,Aven Tools,TWEEZER FLAT 35A 4.53"",68,0,"2.39000","0","1","-","Active","Acid Resistant, Anti-Magnetic, ESD Safe, Heat Resistant","Flat","-","Straight","4.53"" (115.0mm)","35A","Plastic"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18517.pdf,//media.digikey.com/Photos/Aven%20Photos/18517.jpg,243-1003-ND,18517,Aven Tools,TWEEZER POINTED FINE 2C 4.53"",63,0,"2.39000","0","1","-","Active","Acid Resistant, Anti-Magnetic, ESD Safe, Heat Resistant","Pointed","Fine","Straight","4.53"" (115.0mm)","2C","Plastic"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18514.pdf,//media.digikey.com/Photos/Aven%20Photos/18514.jpg,243-1002-ND,18514,Aven Tools,TWEEZER ROUNDED 2AB 4.53"",51,0,"2.39000","0","1","-","Active","Acid Resistant, Anti-Magnetic, ESD Safe, Heat Resistant","-","Rounded","Curved","4.53"" (115.0mm)","2AB","Plastic"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18489.pdf,//media.digikey.com/Photos/Aven%20Photos/18489.jpg,243-1376-ND,18489,Aven Tools,TWEEZER FLAT 4.72"",33,0,"3.50000","0","1","-","Active","-","Flat","-","Straight","4.72"" (120.0mm)","-","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18490.pdf,//media.digikey.com/Photos/Aven%20Photos/18490.jpg,243-1377-ND,18490,Aven Tools,TWEEZER POINTED BLUNT 5.71"",72,0,"4.39000","0","1","-","Active","Serrated","Pointed","Blunt","Straight","5.71"" (145.0mm)","-","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18423.pdf,//media.digikey.com/Photos/Aven%20Photos/18423.jpg,243-1454-ND,18423,Aven Tools,TWEEZER POINTED 4.53"",45,0,"4.52000","0","1","-","Active","Locking","Pointed","-","Straight","4.53"" (115.0mm)","-","Stainless Steel"
http://content.yudu.com/web/2i025/0A2sznz/HakkoProducts2017/flash/resources/index.htm,//media.digikey.com/Photos/Hakko/MFG_5-SA.jpg,1691-1295-ND,5-SA,"American Hakko Products, Inc.","TWZ,SM,SUPER FINE POINT",34,0,"5.37000","0","1","-","Active","Acid Resistant, Anti-Magnetic","Pointed","Very Fine","Straight","4.33"" (110.0mm)","-","Stainless Steel"
http://content.yudu.com/web/2i025/0A2sznz/HakkoProducts2017/flash/resources/index.htm,//media.digikey.com/Photos/Hakko/MFG_2A-SA.jpg,1691-1278-ND,2A-SA,"American Hakko Products, Inc.","TWZ,SM,ROUND POINT",28,0,"5.37000","0","1","-","Active","Acid Resistant, Anti-Magnetic","Flat","Rounded","Straight","4.72"" (120.0mm)","-","Stainless Steel"
http://content.yudu.com/web/2i025/0A2sznz/HakkoProducts2017/flash/resources/index.htm,//media.digikey.com/Photos/Hakko/MFG_3-SA.jpg,1691-1279-ND,3-SA,"American Hakko Products, Inc.","TWZ,SM,VERY SHARP POINT",26,0,"5.37000","0","1","-","Active","Acid Resistant, Anti-Magnetic","Pointed","Very Fine","Straight","4.72"" (120.0mm)","-","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18415.pdf,//media.digikey.com/Photos/Aven%20Photos/18415.jpg,243-1373-ND,18415,Aven Tools,TWEEZER POINTED 6.50"",44,0,"5.60000","0","1","-","Active","-","Pointed","-","Straight","6.50"" (165.0mm)","-","Stainless Steel"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/18032-CS.jpg,243-1366-ND,18032-CS,Aven Tools,TWEEZER POINTED STRONG OO 4.75"",73,0,"5.72000","0","1","-","Active","Acid Resistant, Anti-Magnetic","Pointed","Strong","Straight","4.75"" (120.7mm)","OO","Carbon Steel, Nickel Plated"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/18049-CS.jpg,243-1526-ND,18049-CS,Aven Tools,TWEEZER FLAT ROUNDED 2A 4.75"",35,0,"5.72000","0","1","-","Active","-","Flat","Rounded","Straight","4.75"" (120.7mm)","2A","Carbon Steel, Nickel Plated"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18062USA.pdf,//media.digikey.com/Photos/Aven%20Photos/18062USA.jpg,243-1369-ND,18062USA,Aven Tools,TWEEZER POINTED ULTRA FINE 4.33"",70,0,"5.82000","0","1","Technik","Active","Acid Resistant, Anti-Magnetic","Pointed","Ultra Fine","Straight","4.33"" (110.0mm)","5","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18040USA.pdf,//media.digikey.com/Photos/Aven%20Photos/18040USA.jpg,243-1524-ND,18040USA,Aven Tools,TWEEZER POINTED FINE SS 5.51"",37,0,"5.82000","0","1","Technik","Active","Acid Resistant, Anti-Magnetic","Pointed","Fine","Straight","5.51"" (140.0mm)","SS","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18050USA.pdf,//media.digikey.com/Photos/Aven%20Photos/18050USA.jpg,243-1368-ND,18050USA,Aven Tools,TWEEZER FLAT ROUNDED 2AB 4.72"",37,0,"5.82000","0","1","Technik","Active","Acid Resistant, Anti-Magnetic","Flat","Rounded","Curved","4.72"" (120.0mm)","2AB","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18032USA.pdf,//media.digikey.com/Photos/Aven%20Photos/18032USA.JPG,243-1367-ND,18032USA,Aven Tools,TWEEZER POINTED STRONG OO 4.72"",32,0,"5.82000","0","1","Technik","Active","Acid Resistant, Anti-Magnetic","Pointed","Strong","Straight","4.72"" (120.0mm)","OO","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18013USA.pdf,//media.digikey.com/Photos/Aven%20Photos/18013USA.jpg,243-1365-ND,18013USA,Aven Tools,TWEEZER PNT FINE STRONG AA 5.12"",47,0,"5.84000","0","1","Technik","Active","Acid Resistant, Anti-Magnetic","Pointed","Strong","Straight","5.12"" (130.0mm)","AA","Stainless Steel"
//media.digikey.com/pdf/Data Sheets/Aven PDFs/EZ-PIK Tweezers Spec Sheet.pdf,//media.digikey.com/Photos/Aven%20Photos/18049EZ.JPG,243-1050-ND,18049EZ,Aven Tools,TWEEZER FLAT ROUNDED 2A 4.72"",79,0,"5.98000","0","1","EZ-PIK","Active","Acid Resistant, Anti-Magnetic","Flat","Rounded","Straight","4.72"" (120.0mm)","2A","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18062EZ.pdf,//media.digikey.com/Photos/Aven%20Photos/18062EZ.jpg,243-1054-ND,18062EZ,Aven Tools,TWEEZER POINTED FINE 5 4.33"",77,0,"5.98000","0","1","EZ-PIK","Active","Acid Resistant, Anti-Magnetic","Pointed","Fine","Straight","4.33"" (110.0mm)","5","Stainless Steel"
//media.digikey.com/pdf/Data Sheets/Aven PDFs/EZ-PIK Tweezers Spec Sheet.pdf,//media.digikey.com/Photos/Aven%20Photos/18013EZ.JPG,243-1053-ND,18013EZ,Aven Tools,TWEEZER POINTED FINE AA 5.12"",36,0,"5.98000","0","1","EZ-PIK","Active","Acid Resistant, Anti-Magnetic","Pointed","Fine","Straight","5.12"" (130.0mm)","AA","Stainless Steel"
//media.digikey.com/PDF/Data%20Sheets/Aven%20PDFs/18531.pdf,//media.digikey.com/Photos/Aven%20Photos/18531.JPG,243-1129-ND,18531,Aven Tools,TWEEZER FLAT BLUNT 702A 4.53"",72,0,"6.06000","0","1","-","Active","Acid Resistant, Anti-Magnetic, ESD Safe, Heat Resistant","Flat","Blunt","Straight","4.53"" (115.0mm)","702A","Plastic"
//media.digikey.com/PDF/Data%20Sheets/Aven%20PDFs/18534.pdf,//media.digikey.com/Photos/Aven%20Photos/18534.JPG,243-1132-ND,18534,Aven Tools,TWEEZER POINTED 707A 4.53"",67,0,"6.06000","0","1","-","Active","Acid Resistant, Anti-Magnetic, ESD Safe, Heat Resistant","Pointed","-","Curved","4.53"" (115.0mm)","707A","Plastic"
//media.digikey.com/PDF/Data%20Sheets/Aven%20PDFs/18535.pdf,//media.digikey.com/Photos/Aven%20Photos/18535.JPG,243-1133-ND,18535,Aven Tools,TWEEZER FLAT BLUNT 709 4.53"",38,0,"6.06000","0","1","-","Active","Acid Resistant, Anti-Magnetic, ESD Safe, Heat Resistant","Flat","Blunt","Straight","4.53"" (115.0mm)","709","Plastic"
//media.digikey.com/PDF/Data%20Sheets/Aven%20PDFs/18536.pdf,//media.digikey.com/Photos/Aven%20Photos/18536.JPG,243-1134-ND,18536,Aven Tools,TWEEZER FLAT SPADE 710 4.53"",36,0,"6.06000","0","1","-","Active","Acid Resistant, Anti-Magnetic, ESD Safe, Heat Resistant","Flat","Spade","Straight","4.53"" (115.0mm)","710","Plastic"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18074USA.pdf,//media.digikey.com/Photos/Aven%20Photos/18074USA.jpg,243-1370-ND,18074USA,Aven Tools,TWEEZER POINT ULTRA FINE 4.53"",75,0,"6.18000","0","1","Technik","Active","Acid Resistant, Anti-Magnetic","Pointed","Ultra Fine","Curved","4.53"" (115.0mm)","7B","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18037USA.pdf,//media.digikey.com/Photos/Aven%20Photos/18037USA.jpg,243-1269-ND,18037USA,Aven Tools,TWEEZER FLAT STRONG OOD 4.72"",89,0,"6.75000","0","1","Technik","Active","Acid Resistant, Anti-Magnetic, Serrated","Flat","Strong","Straight","4.72"" (120.0mm)","OOD","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/ARTIS_Tweezers.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_18049ARS.jpg,243-1245-ND,18049ARS,Aven Tools,TWEEZER FLAT ROUNDED 2A 4.50"",50,0,"11.46000","0","1","ARTIS®","Active","ESD Safe","Flat","Rounded","Straight","4.50"" (114.3mm)","2A","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/ARTIS_Tweezers.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_18032ARS.jpg,243-1242-ND,18032ARS,Aven Tools,TWEEZER POINT FINE STRNG 4.75"",36,0,"11.46000","0","1","ARTIS®","Active","ESD Safe","Pointed","Strong","Straight","4.50"" (114.3mm)","OO","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/ARTIS_Tweezers.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_18062ARS.jpg,243-1247-ND,18062ARS,Aven Tools,TWEEZER POINT FINE ROUNDED 4.25"",34,0,"11.46000","0","1","ARTIS®","Active","ESD Safe","Pointed","Extra Fine","Straight","4.25"" (108.0mm)","5","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18056-ER.pdf,//media.digikey.com/Photos/Aven%20Photos/18056-ER.JPG,243-1098-ND,18056-ER,Aven Tools,TWEEZER PNT ULTR FINE VERY SHARP,69,0,"16.31000","0","1","-","Active","-","Pointed","Ultra Fine","Straight","4.25"" (108.0mm)","3C","Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/18072-ER.pdf,//media.digikey.com/Photos/Aven%20Photos/18072-ER.JPG,243-1100-ND,18072-ER,Aven Tools,TWEEZER POINT SUPER FINE 7 4.49"",64,0,"16.31000","0","1","-","Active","-","Pointed","Super Fine","Curved","4.49"" (114.0mm)","7","Stainless Steel"
