Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Shape","Cut Edge","Length - Overall","Features"
//media.digikey.com/pdf/Data%20Sheets/Paladin%20PDFs/45481.pdf,//media.digikey.com/Photos/Greenlee%20Communications/MFG_45481.jpg,45481-ND,45481,Greenlee Communications,CUTTER CABLE,0,0,"24.04000","0","1","-","Active","Cable","-","-","-","-"
-,-,TS55NS-ND,TS55NS,Apex Tool Group,CUTTER SIDE OVAL BEVEL 5"",0,0,"24.10000","0","1","Xcelite®","Active","Side (Diagonal)","Oval","Bevel","5.00"" (127.0mm)","ESD Safe, Soft Grips"
-,-,TS424NJS-ND,TS424NJS,Apex Tool Group,CUTTER SIDE TAPERED FLUSH 4"",0,0,"24.50000","0","1","Xcelite®","Active","Side (Diagonal)","Tapered, Relieved","Flush","4.00"" (101.6mm)","ESD Safe, Soft Grips"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/ProPliersCutters&Crimpers_catVer2-1-12.pdf#Page=26,-,30923-ND,30923,Wiha,CUTTER SIDE OVAL BEVEL 5.5"",3,0,"24.96000","0","1","309","Active","Side (Diagonal)","Oval","Bevel","5.50"" (140.0mm)","Ergonomic"
https://cdn.wihatoolsus.com/pdfs/WihaPliersCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_32607.jpg,431-2530-ND,32607,Wiha,CUTTER SIDE OVAL FLUSH 5"",2,0,"24.96000","0","1","326","Active","Side (Diagonal)","Oval","Flush","5.00"" (127.0mm)","-"
-,-,82000D-ND,82000D,Apex Tool Group,PLR MINI DIAG,0,0,"25.05000","0","10","*","Active","-","-","-","-","-"
-,-,P55N-ND,P55N,Apex Tool Group,"CUTTER,PLASTIC,DIAG,5""",0,0,"26.04000","0","6","*","Not For New Designs","-","-","-","-","-"
-,-,82070-ND,82070,Apex Tool Group,PLR DIAG 6"",0,0,"26.92000","0","6","*","Active","-","-","-","-","-"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_54CGV.jpg,54CGVN-ND,54CGVN,Apex Tool Group,CUTTER SIDE OVAL BEVEL 4"",0,0,"27.30000","0","1","Xcelite®","Active","Side (Diagonal)","Oval","Bevel","4.00"" (101.6mm)","-"
-,-,82071-ND,82071,Apex Tool Group,PLR DIAG 7"",0,0,"27.52000","0","6","*","Active","-","-","-","-","-"
