Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip - Type","Range of Values","Drive Size","Includes","Features","Quantity"
-,-,81160-ND,81160,Apex Tool Group,SET BIT DRIVER MET HEX 1/4 DR 9P,0,0,"36.88000","0","20","-","Active","Socket Set","Hex","-","1/4""","-","-","9 Pieces"
-,-,84910N-ND,84910N,Apex Tool Group,SET SKT IMP SAE 3/8DR 8PC,0,0,"38.15000","0","1","-","Active","Socket Set","6 Point Socket","-","3/4""","-","-","8 Pieces"
-,-,CIMS0N-ND,CIMS0N,Apex Tool Group,"8 PC,1/2"" DRIVE IMPACT SOCKET SE",0,0,"38.44000","0","12","-","Active","Socket Set","6 Point Socket","-","1/2""","-","-","8 Pieces"
-,-,CIMS1N-ND,CIMS1N,Apex Tool Group,"8 PC,1/2"" DRIVE IMPACT SOCKET SE",0,0,"38.44000","0","12","-","Active","Socket Set","6 Point Socket","-","1/2""","-","-","8 Pieces"
-,-,CSAS2N-ND,CSAS2N,Apex Tool Group,"SOCKET SET,8PC,1/2"" DRIVE,DEEP,S",0,0,"38.44000","0","1","-","Active","Socket Set","6 Point Socket","-","1/2""","-","-","8 Pieces"
-,-,CSAS3N-ND,CSAS3N,Apex Tool Group,"SOCKET SET,8PC,1/2"" DRIVE,DEEP,M",0,0,"38.44000","0","1","-","Active","Socket Set","6 Point Socket","-","1/2""","-","-","8 Pieces"
-,-,CSWS1N-ND,CSWS1N,Apex Tool Group,"20 PC,1/4"" DRIVE SOCKET WRNCH SE",0,0,"38.44000","0","10","-","Active","Socket Set","6 Point Socket","-","1/4""","-","-","45 Pieces"
-,-,CSWS6N-ND,CSWS6N,Apex Tool Group,"11 PC,3/8"" DRIVE SOCKET WRENCH S",0,0,"38.44000","0","1","-","Active","Socket Set","12 Point Socket","-","3/8""","-","-","11 Pieces"
-,-,15-249A-ND,15-249A,Apex Tool Group,SET SKT 1/4DR 6PT 10PC,0,0,"38.65000","0","1","-","Not For New Designs","Socket Set","6 Point Socket","-","1/4""","-","-","10 Pieces"
-,-,80307D-ND,80307D,Apex Tool Group,SET SKT STD SAE 1/4DR 12PT 10PC,0,0,"39.25000","0","1","-","Active","Socket Set","12 Point Socket","-","1/4""","-","-","10 Pieces"
