Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","End - Size","Features","Length"
-,-,9610N-ND,9610N,Apex Tool Group,WR RAT COMB REV 10MM,0,0,"26.00000","0","1","-","Active","Combination, Ratcheting","10mm","Angled 15°, Offset","6.20"" (157.4mm)"
-,-,81683-ND,81683,Apex Tool Group,WR FLR NUT 5/8X11/16,0,0,"26.02000","0","6","-","Active","Open End","5/8"" x 11/16""","Angled 15°, Polished Chrome Finish","7.61"" (193.4mm)"
-,-,81676-ND,81676,Apex Tool Group,WR COMB LNG PAT 19MM,0,0,"26.12000","0","10","-","Active","Combination","19mm","Angled 15°, Polished Chrome Finish","10.97"" (278.6mm)"
-,-,9502D-ND,9502D,Apex Tool Group,WR RAT COMB STBY 1/2,0,0,"26.12000","0","1","-","Active","Combination, Ratcheting","1/2""","-","4.21"" (106.9mm)"
-,-,9513D-ND,9513D,Apex Tool Group,WR RAT COMB STBY 13MM,0,0,"26.12000","0","1","-","Active","Combination, Ratcheting","13mm","-","4.21"" (106.9mm)"
-,-,9016D-ND,9016D,Apex Tool Group,WR RAT COMB 1/2,0,0,"26.12013","0","80","-","Active","Combination, Ratcheting","1/2""","Polished Chrome Finish","7.01"" (178.0mm)"
-,-,9113D-ND,9113D,Apex Tool Group,WR RAT COMB 13MM,0,0,"26.12013","0","80","-","Active","Combination, Ratcheting","13mm","Angled 15°, Polished Chrome Finish","7.01"" (178.0mm)"
-,-,CCW16-ND,CCW16,Apex Tool Group,"1-1/4"" COMBINATION WRENCH,SAE,FL",0,0,"26.14000","0","6","-","Active","Combination","1-1/4""","Polished Chrome Finish","16.95"" (430.5mm)"
http://www.apextoolgroup.com/WebShareNFS/drupal/files/images/multisite_catalog/ATG-1148_eBrochure_v12.pdf,-,AC26VS-ND,AC26VS,Apex Tool Group,ADJUSTABLE WRENCH 6"" CHROME,0,0,"26.24000","0","1","Crescent®","Active","Adjustable","15/16""","Chrome Finish, Wide Capacity","6.00"" (152.4mm)"
-,-,86432-ND,86432,Apex Tool Group,WR RAT COMB 120XP 9/32"",0,0,"26.24000","0","1","-","Active","Combination, Ratcheting","9/32""","Polished Chrome Finish","5.91"" (150.0mm)"
