Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Tip - Type","Tip - Shape","Jaw - Type","Features","Length"
http://www.swanstromtools.com/Spartan.pdf,//media.digikey.com/photos/Swanstrom%20Photos/325.jpg,232-1013-ND,325,Swanstrom Tools USA,PLIERS ELEC LONG NOSE 5"",27,0,"29.16000","0","1","Spartan®","Active","Electronics","Long Nose","Straight","Serrated","ESD Safe, Includes Cutter, Soft Grips","5.00"" (127.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Swanstrom%20Tools%20PDFs/Spartans_Tool_Flyer.pdf,//media.digikey.com/photos/Swanstrom%20Photos/324.jpg,232-1017-ND,324,Swanstrom Tools USA,PLIERS ELEC LONG NOSE 5"",23,0,"29.16000","0","1","-","Active","Electronics","Long Nose","Straight","Smooth","Soft Grips","5.00"" (127.0mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Pliers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D203-6.JPG,1742-1122-ND,D203-6,"Klein Tools, Inc.",PLIERS STANDARD LONG NOSE 6.63"",6,0,"29.93000","0","1","-","Active","Standard","Long Nose","Straight","Serrated","Includes Cutter, Soft Grips","6.63"" (168.4mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Insulated%20Pliers%20&%20Cutters%20p106.pdf,"//media.digikey.com/photos/Wiha/32806,08.jpg",431-1073-ND,32806,Wiha,PLIERS LONG NOSE 6.3"",9,0,"29.96000","0","1","-","Active","Standard","Long Nose","Straight","Serrated","Ergonomic, Includes Cutter, Insulated to 1000V, Non-Slip, Soft Grips","6.30"" (160.0mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Pliers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D321-41%5E2C.JPG,1742-1155-ND,D321-41/2C,"Klein Tools, Inc.",PLIERS STANDARD LONG NOSE 4.81"",29,0,"30.55000","0","1","Midget","Active","Standard","Long Nose","Straight","Serrated","Soft Grips","4.81"" (122.1mm)"
http://www.swanstromtools.com/STUSA.pdf,//media.digikey.com/photos/Swanstrom%20Photos/MFG_LX4.jpg,232-1029-ND,LX4,Swanstrom Tools USA,PLIERS ELEC NEEDLE NOSE 4.5"",32,0,"32.29000","0","1","STUSA","Active","Electronics","Needle Nose","Straight","Serrated","ESD Safe, Soft Grips","4.50"" (114.3mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Pliers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D322-41%5E2C.JPG,1742-1163-ND,D322-41/2C,"Klein Tools, Inc.",PLIERS STANDARD LONG NOSE 4.81"",24,0,"32.49000","0","1","Midget","Active","Standard","Long Nose","Straight","Smooth","Soft Grips","4.81"" (122.1mm)"
//media.digikey.com/pdf/Data%20Sheets/Paladin%20PDFs/0451-10M.pdf,//media.digikey.com/Photos/Greenlee%20Communications/MFG_0451-10M.jpg,0451-10M-ND,0451-10M,Greenlee Communications,PLIERS ADJUSTABLE 10"",10,0,"35.77000","0","1","-","Active","Adjustable (Water Pump)","-","Straight","Serrated","Ergonomic, Non-Slip, Soft Grips","10.00"" (254.0mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Pliers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D203-8.JPG,1742-1147-ND,D203-8,"Klein Tools, Inc.",PLIERS STANDARD LONG NOSE 8.44"",6,0,"39.19000","0","1","-","Active","Standard","Long Nose","Straight","-","High Leverage, Includes Cutter, Soft Grips","8.44"" (214.3mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Pliers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D504-10.JPG,1742-1156-ND,D504-10,"Klein Tools, Inc.",PLIERS ADJUSTABLE 9.88"",8,0,"42.39000","0","1","Klaw™","Active","Adjustable (Water Pump)","-","Straight","Serrated","High Leverage, Soft Grips","9.88"" (251.0mm)"
