Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Specifications","Current Rating (Amps)","Color","Voltage - Rated"
http://www.memoryprotectiondevices.com/datasheets/APP-001-5AMP-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/APP-001.jpg,APP-001-5AMP-ND,APP-001-5AMP,MPD (Memory Protection Devices),AUTO PWR PLUG 12V 5A W/LED BLACK,355,0,"4.30000","0","1","-","Active","Auto Power Plug","Fused, LED Indicator, PBT, Strain Relief","5A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/AP-124-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/AP-124.jpg,AP-124-ND,AP-124,MPD (Memory Protection Devices),AUTO PWR PLUG 12V 5A BLK/RED,101,1300,"5.98000","0","1","-","Active","Auto Power Plug","ABS, Fused","5A","Black and Red","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA2070-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/ZA2070.jpg,ZA2070-ND,ZA2070,MPD (Memory Protection Devices),AUTO POWER SOCKET 12V 10A,6813,800,"6.59000","0","1","-","Active","Auto Power Socket","Lockable, Porcelain Insulation","10A","-","12V"
http://www.memoryprotectiondevices.com/datasheets/AS212-L-datasheet.pdf,//media.digikey.com/Photos/PUI%20Audio/AS-212-C.jpg,AS212-L-ND,AS212-L,MPD (Memory Protection Devices),AUTO POWER SOCKET 12V 20A BLACK,329,600,"8.06000","0","1","-","Active","Auto Power Socket","Lockable, Nylon, Vibration and Weather Resistant","20A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA5074-2.5-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/ZA5074-2.5.jpg,ZA5074-2.5-ND,ZA5074-2.5,MPD (Memory Protection Devices),AUTO CBL ASSY W/PLG 12V 5A W/LED,92,0,"12.26000","0","1","-","Active","Cable, Auto Power Plug to 2.5mm DC Plug","12' (3.65m) Coiled Cord, ABS, Fused, LED Indicator","5A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/AS-214-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_AS214.jpg,AS214-ND,AS214,MPD (Memory Protection Devices),AUTO POWER SOCKET 12V 15A BLACK,82,100,"4.73000","0","1","-","Active","Auto Power Socket","Nylon, Weather Resistant","15A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA5075-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/ZA5075.jpg,ZA5075-ND,ZA5075,MPD (Memory Protection Devices),AUTO CBL ASSY W/PLG 12V 3A W/LED,57,300,"10.52000","0","1","-","Active","Cable, Auto Power Plug to 2 Pin Connector","5' (1.52m) Cord, ABS, Fused, LED Indicator","3A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA1060-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_ZA1060.jpg,ZA1060-ND,ZA1060,MPD (Memory Protection Devices),AUTO POWER PLUG 12V 5A BLACK,609,600,"2.90000","0","1","-","Active","Auto Power Plug","ABS","5A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/AP-130-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/AP-130.jpg,AP-130-ND,AP-130,MPD (Memory Protection Devices),AUTO POWER PLUG 12V 2A BLACK,58,0,"8.21000","0","1","-","Active","Auto Power Plug","ABS, Fused","2A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA5018-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/ZA5018.jpg,ZA5018-ND,ZA5018,MPD (Memory Protection Devices),AUTO PWR PLUG-SCKT 12V 10A W/LED,36,200,"11.14000","0","1","-","Active","Auto Power Plug to Dual Auto Power Sockets","Fused, LED Indicator, Nylon","10A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/AS-213-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_AS213.jpg,AS213-ND,AS213,MPD (Memory Protection Devices),AUTO POWER SOCKET 12V 15A BLACK,0,0,"5.75000","0","1","-","Active","Auto Power Socket","Nylon, Weather Resistant","15A","Black","12V"
//media.digikey.com/PDF/Data%20Sheets/PanaVise%20PDFs/15951.pdf,//media.digikey.com/Photos/Panavise%20Photos/15951.JPG,15951PV-ND,15951,Panavise,AUTO PWR PLUG-SCKT 12V 10A W/LED,2,0,"7.99000","0","1","-","Active","Auto Power Plug to Dual Auto Power Sockets","Fused, LED Indicator, Nylon","10A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/AP-129-GRN-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/AP-129-G.jpg,AP-129-GRN-ND,AP-129-GRN,MPD (Memory Protection Devices),AUTO PWR PLUG 12V 2A W/LED BLACK,0,0,"3.48450","0","100","-","Active","Auto Power Plug","ABS, European, Fused, LED Indicator","2A","Black","12V"
-,//media.digikey.com/Photos/Memory%20Protection%20Photos/AP-129-G.jpg,AP-129-GRN-V0-ND,AP-129-GRN-V0,MPD (Memory Protection Devices),AUTO PWR PLUG 12V 2A W/LED BLACK,0,0,"4.07340","0","100","-","Active","Auto Power Plug","ABS, European, Fused, LED Indicator","2A","Black","12V"
-,//media.digikey.com/Photos/Memory%20Protection%20Photos/EP407.jpg,EP407-ND,EP407,MPD (Memory Protection Devices),AUTO POWER SOCKET 12V BLACK,0,0,"4.51240","0","100","-","Active","Auto Power Socket","Phenolic","-","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA5035-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_ZA5035.jpg,ZA5035-ND,ZA5035,MPD (Memory Protection Devices),AUTO CBL ASSY W/PLG 12V 10A 10',0,0,"5.58000","0","1","-","Active","Cable, Auto Power Plug to 2.1mm DC Plug","10' (3.05m) Cord, Phenolic, Fused","10A","Black","12V"
http://www.memoryprotectiondevices.com/documents/catalogs/MPD-12V-Parts.pdf,-,ZA1080-ND,ZA1080,MPD (Memory Protection Devices),AUTO POWER PLUG 12V 10A BLACK,0,0,"Active","0","0","-","Active","Auto Power Plug","ABS","10A","Black","12V"
http://www.memoryprotectiondevices.com/documents/catalogs/MPD-12V-Parts.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/BK-5072.jpg,BK-5072-ND,BK-5072,MPD (Memory Protection Devices),AUTO CBL ASSY W/PLG 12V 5A 6',0,0,"Obsolete","0","100","-","Obsolete","Cable, Auto Power Plug to Wire Leads","6' (1.83m) Cord, ABS, Fused, Rotary, Switch","5A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/AP-120-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_AP-120.jpg,AP-120-ND,AP-120,MPD (Memory Protection Devices),AUTO PWR PLUG 12V 5A W/LED BLACK,0,0,"Active","0","0","-","Active","Auto Power Plug","ABS, Fused, LED Indicator, Rotary, Switch","5A","Black","12V"
//media.digikey.com/pdf/Data%20Sheets/Memory%20Protection%20PDFs/AP-104-NT_Dwg.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/AP-104-NT.jpg,AP-104-NT-ND,AP-104-NT,MPD (Memory Protection Devices),AUTO POWER PLUG 12V BLACK,0,0,"Obsolete","0","100","-","Obsolete","Auto Power Plug","ABS, Fuse Space","-","Black","12V"
