Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Battery Chemistry","Battery Cell Size","Voltage - Rated","Capacity","Size / Dimension","Termination Style"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Inustrial/CR_Series.pdf,//media.digikey.com/photos/Panasonic%20Photos/CR2012.jpg,P037-ND,CR2012,Panasonic - BSG,BATTERY LITHIUM 3V COIN 20MM,0,0,"0.72013","0","1200","CR2012","Active","Lithium Manganese Dioxide","Coin, 20.0mm","3V","55mAh","0.79"" Dia x 0.05"" H (20.0mm x 1.2mm)","Requires Holder"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/3627,//media.digikey.com/Photos/Panasonic%20Photos/BR-3032%5EBN[1].jpg,CR-2032/VC1N-ND,CR-2032/VC1N,Panasonic - BSG,BATTERY LITHIUM 3V COIN 20MM,0,0,"0.75133","0","480","CR2032","Active","Lithium Manganese Dioxide","Coin, 20.0mm","3V","225mAh","0.78"" Dia x 0.12"" H (19.7mm x 3.2mm)","Requires Holder"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/3627,//media.digikey.com/Photos/Panasonic%20Photos/BR-3032%5EBN[1].jpg,CR-2032/VBN-ND,CR-2032/VBN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 20MM,0,0,"0.75135","0","400","CR2032","Active","Lithium Manganese Dioxide","Coin, 20.0mm","3V","225mAh","0.78"" Dia x 0.12"" H (19.7mm x 3.2mm)","Requires Holder"
http://data.energizer.com/pdfs/1222.pdf,//media.digikey.com/photos/Energizer%20Photos/1222.jpg,N104-ND,1222,Energizer Battery Company,BATTERY ZINC 9V,0,0,"0.76264","0","72","Eveready®","Active","Zinc Carbon","9V","9V","-","1.04"" L x 0.69"" W x 1.91"" H (26.5mm x 17.5mm x 48.5mm)","9 Volt Snap Fasteners"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/3627,//media.digikey.com/Photos/Panasonic%20Photos/BR-3032%5EBN[1].jpg,CR-2032/GUN-ND,CR-2032/GUN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 20MM,0,0,"0.80779","0","240","CR2032","Active","Lithium Manganese Dioxide","Coin, 20.0mm","3V","225mAh","0.78"" Dia x 0.12"" H (19.7mm x 3.2mm)","Requires Holder"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/3627,//media.digikey.com/Photos/Panasonic%20Photos/BR-3032%5EBN[1].jpg,CR-2032/HGN-ND,CR-2032/HGN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 20MM,0,0,"0.80779","0","240","CR2032","Active","Lithium Manganese Dioxide","Coin, 20.0mm","3V","225mAh","0.78"" Dia x 0.12"" H (19.7mm x 3.2mm)","Requires Holder"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/3627,//media.digikey.com/Photos/Panasonic%20Photos/BR-3032%5EBN[1].jpg,CR-2032/HMN-ND,CR-2032/HMN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 20MM,0,0,"0.80779","0","240","CR2032","Active","Lithium Manganese Dioxide","Coin, 20.0mm","3V","225mAh","0.78"" Dia x 0.12"" H (19.7mm x 3.2mm)","Requires Holder"
//media.digikey.com/pdf/Data%20Sheets/Seiko%20Instruments%20PDFs/SR527SW_DS.pdf,//media.digikey.com/Photos/Seiko%20Instr%20Photos/SR527_5.8mmx2.8mm.JPG,SR527SW-5SE-ND,SR527SW-5SE,Seiko Instruments,SILVER OXIDE HG FREE BATTERY. LO,0,0,"0.84700","0","500","-","Active","Silver Oxide","Coin, 5.8mm","-","22mAh","0.23"" Dia x 0.11"" H (5.8mm x 2.8mm)","Requires Holder"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/3627,//media.digikey.com/Photos/Panasonic%20Photos/BR-3032%5EBN[1].jpg,CR-2032/HU3N-ND,CR-2032/HU3N,Panasonic - BSG,BATTERY LITHIUM 3V COIN 20MM,0,0,"0.86415","0","200","CR2032","Active","Lithium Manganese Dioxide","Coin, 20.0mm","3V","225mAh","0.78"" Dia x 0.12"" H (19.7mm x 3.2mm)","Requires Holder"
http://data.energizer.com/pdfs/alkaline_appman.pdf,-,E91-ND,E91,Energizer Battery Company,BATTERY ALKALINE AA,0,0,"0.88000","0","144","E91","Active","Alkaline Manganese Dioxide","AA","-","-","0.57"" Dia x 1.99"" H (14.5mm x 50.5mm)","Button Top (Extending)"
http://data.energizer.com/pdfs/alkaline_appman.pdf,-,E92-ND,E92,Energizer Battery Company,BATTERY ALKALINE AAA DISPLAY PK,0,0,"0.88000","0","144","E92","Active","Alkaline Manganese Dioxide","AAA","-","-","0.41"" Dia x 1.75"" H (10.5mm x 44.5mm)","Button Top (Extending)"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic-lithium-cr1620-datasheet.pdf,-,CR-1620/F9AN-ND,CR-1620/F9AN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 16MM,0,0,"0.92415","0","1200","CR1620","Active","Lithium Manganese Dioxide","Coin, 16.0mm","3V","75mAh","0.62"" Dia x 0.07"" H (16.0mm x 2.0mm)","-"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic-lithium-br1220-datasheet.pdf,//media.digikey.com/Photos/Panasonic%20Photos/BR1220-Series.jpg,BR-1220/FCN-ND,BR-1220/FCN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 12.5MM,0,0,"0.95021","0","1500","BR1220","Active","Lithium Poly-Carbon Monoflouride","Coin, 12.5mm","3V","35mAh","0.49"" Dia x 0.08"" H (12.5mm x 2.0mm)","-"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic-lithium-br1220-datasheet.pdf,//media.digikey.com/Photos/Panasonic%20Photos/BR1220-Series.jpg,BR-1220/VCN-ND,BR-1220/VCN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 12.5MM,0,0,"0.95021","0","1000","BR1220","Active","Lithium Poly-Carbon Monoflouride","Coin, 12.5mm","3V","35mAh","0.49"" Dia x 0.08"" H (12.5mm x 2.0mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Seiko%20Instruments%20PDFs/SR716SW_DS.pdf,//media.digikey.com/Photos/Seiko%20Instr%20Photos/SR716_7.9mmx1.6mm.JPG,SR716SW-5SE-ND,SR716SW-5SE,Seiko Instruments,BATTERY SLVR OX COIN 7.9MM,0,0,"0.95480","0","500","-","Active","Silver Oxide","Coin, 7.9mm","-","21mAh","0.31"" Dia x 0.06"" H (7.9mm x 1.6mm)","Requires Holder"
//media.digikey.com/pdf/Data%20Sheets/Seiko%20Instruments%20PDFs/SR721SW_DS.pdf,//media.digikey.com/Photos/Seiko%20Instr%20Photos/SR721_7.9mmx2.0mm.JPG,SR721SW-5SE-ND,SR721SW-5SE,Seiko Instruments,SILVER OXIDE HG FREE BATTERY. LO,0,0,"0.95480","0","500","-","Active","Silver Oxide","Coin, 7.9mm","-","23mAh","0.31"" Dia x 0.08"" H (7.9mm x 2.0mm)","Requires Holder"
//media.digikey.com/pdf/Data%20Sheets/Seiko%20Instruments%20PDFs/SR726SW_DS.pdf,//media.digikey.com/Photos/Seiko%20Instr%20Photos/SR726_7.9mmx2.6mm.JPG,SR726SW-5SE-ND,SR726SW-5SE,Seiko Instruments,SILVER OXIDE HG FREE BATTERY. LO,0,0,"0.95480","0","500","-","Active","Silver Oxide","Coin, 7.9mm","-","34mAh","0.31"" Dia x 0.10"" H (7.9mm x 2.6mm)","Requires Holder"
//media.digikey.com/pdf/Data%20Sheets/Seiko%20Instruments%20PDFs/SR626W_DS.pdf,-,SR626W-5SE-ND,SR626W-5SE,Seiko Instruments,SILVER OXIDE HG FREE BATTERY. HI,0,0,"0.95480","0","500","-","Active","Silver Oxide","Coin, 6.8mm","-","28mAh","0.27"" Dia x 0.10"" H (6.8mm x 2.6mm)","Requires Holder"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic-lithium-cr1632-datasheet.pdf,-,CR-1632/HFN-ND,CR-1632/HFN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 16MM,0,0,"0.96353","0","600","CR1632","Active","Lithium Manganese Dioxide","Coin, 16.0mm","3V","140mAh","0.62"" Dia x 0.12"" H (16.0mm x 3.2mm)","-"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic-lithium-br1225-datasheet.pdf,-,BR-1225/H1AN-ND,BR-1225/H1AN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 12.5MM,0,0,"0.96354","0","720","BR1225","Active","Lithium Poly-Carbon Monoflouride","Coin, 12.5mm","3V","48mAh","0.49"" Dia x 0.09"" H (12.5mm x 2.3mm)","-"
http://data.energizer.com/pdfs/1250.pdf,//media.digikey.com/photos/Energizer%20Photos/1250.jpg,N113-ND,1250,Energizer Battery Company,BATTERY ZINC 1.5V D,0,0,"0.96802","0","192","Eveready®","Active","Zinc Carbon","D","1.5V","8Ah","1.35"" Dia x 2.42"" H (34.2mm x 61.5mm)","Button Top (Extending)"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/3627,-,CR-2032/GVN-ND,CR-2032/GVN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 20MM,0,0,"1.01808","0","480","CR2032","Active","Lithium Manganese Dioxide","Coin, 20.0mm","3V","225mAh","0.78"" Dia x 0.12"" H (19.7mm x 3.2mm)","-"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic-lithium-cr1632-datasheet.pdf,-,CR-1632/G1AN-ND,CR-1632/G1AN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 16MM,0,0,"1.02413","0","600","CR1632","Active","Lithium Manganese Dioxide","Coin, 16.0mm","3V","140mAh","0.63"" Dia x 0.13"" H (16.0mm x 3.2mm)","PC Pin (Horizontal Mount)"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic-lithium-br1225-datasheet.pdf,-,BR-1225/H9AN-ND,BR-1225/H9AN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 12.5MM,0,0,"1.02414","0","500","BR1225","Active","Lithium Poly-Carbon Monoflouride","Coin, 12.5mm","3V","48mAh","0.49"" Dia x 0.09"" H (12.5mm x 2.3mm)","-"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic-lithium-br1225-datasheet.pdf,-,BR-1225/HBN-ND,BR-1225/HBN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 12.5MM,0,0,"1.02414","0","720","BR1225","Active","Lithium Poly-Carbon Monoflouride","Coin, 12.5mm","3V","48mAh","0.49"" Dia x 0.09"" H (12.5mm x 2.3mm)","-"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/Photos/Panasonic%20Photos/LR6XWA%5EB%20with%20tab.jpg,P646T-ND,LR6XWA/B,Panasonic - BSG,BATTERY ALKALINE 1.5V AA,0,0,"1.05000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","AA","1.5V","-","0.57"" Dia x 1.99"" H (14.5mm x 50.5mm)","Solder Tab"
