Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Battery Chemistry","Battery Cell Size","Number of Cells","Voltage - Nominal","Charge Current - Max","Charge Time","Voltage - Input","Power - Max","Size / Dimension","Mounting Type","Termination Style","Features"
https://www.molex.com/pdm_docs/sd/685324462_sd.pdf,//media.digikey.com/Photos/Molex/MFG_0685324462.jpg,WM16795-ND,0685324462,Molex,BATT CHRG USB IN-VEHICLE 5V 2.4A,1778,0,"28.80000","0","1","68532","Active","USB In-Vehicle","Mobile Devices","-","2","5V","2.4A","-","9 ~ 16VDC","-","1.81"" L x 1.85"" W x 1.02"" H (46.00mm x 47.00mm x 26.00mm)","Panel Mount","USB A Receptacle","Backlight, USB Battery Charging BC1.2 Compliant"
//media.digikey.com/pdf/Data%20Sheets/Phihong%20PDFs/CLM10D-050(A).pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_CLM10D-050A.jpg,993-1072-ND,CLM10D-050(A),Phihong USA,BATT CHRGR AUTO ADAPTER 5.15V 2A,491,0,"11.34000","0","1","-","Obsolete","Auto Adapter","Mobile Devices","-","1","5.15V","2A","-","10 ~ 30VDC","10W","-","Auto Socket","2.1mm I.D. x 5.5mm O.D. x 9mm Female","-"
https://www.meanwell.com/Upload/PDF/GC30B/GC30B-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_GC30B.jpg,1866-1763-ND,GC30B-4P1J,MEAN WELL USA Inc.,BATT CHARGER DESKTOP 14.3V 2.09A,139,0,"29.60000","0","1","GC30B","Active","Desktop","Lead Acid, Lithium-Ion","-","1","14.3V","2.09A","-","90 ~ 264 VAC","30W","4.25"" L x 2.64"" W x 1.42"" H (108.00mm x 67.00mm x 36.00mm)","Desktop","2.1mm I.D. x 5.5mm O.D. x 11mm Female","LED Indicator"
https://www.meanwell.com/Upload/PDF/GC30B/GC30B-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_GC30B.jpg,1866-5178-ND,GC30B-1P1J,MEAN WELL USA Inc.,BATT CHARGER DESKTOP 5.6V 3.99A,107,0,"29.60000","0","1","GC30B","Active","Desktop","Lead Acid, Lithium-Ion","-","1","5.6V","3.99A","-","90 ~ 264 VAC","22.38W","4.25"" L x 2.64"" W x 1.42"" H (108.00mm x 67.00mm x 36.00mm)","Desktop","2.1mm I.D. x 5.5mm O.D. x 11mm Female","LED Indicator"
https://www.meanwell.com/Upload/PDF/PA-120/PA-120-SPEC.PDF,//media.digikey.com/photos/Mean-Well-USA-Inc/PB-120N-13P.JPG,1866-5377-ND,PB-120P-13P,MEAN WELL USA Inc.,BATT CHRGR OPEN FRAME 13.8V 7.2A,250,0,"39.68000","0","1","PB-120","Active","Open Frame","Lead Acid","12V","1","13.8V","7.2A","-","88 ~ 132 VAC, 176 ~ 264 VAC","99.36W","5.67"" L x 3.54"" W x 1.30"" H (144.0mm x 90.0mm x 33.0mm)","Chassis Mount","Rectangular Connector","LED Indicator"
https://www.meanwell.com/Upload/PDF/PB-360/PB-360-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_PB-360N.jpg,1866-3735-ND,PB-360N-12,MEAN WELL USA Inc.,BATT CHRGR ENCLOSED 14.4V 24.3A,43,0,"90.83000","0","1","PB-360","Active","Enclosed","Lead Acid, Lithium-Ion","12V","1","14.4V","24.3A","-","90 ~ 132 VAC, 180 ~ 264 VAC","360W","9.96"" L x 5.31"" W x 1.91"" H (253.0mm x 135.0mm x 48.5mm)","Chassis Mount","Screw Terminal","LED Indicator"
https://www.meanwell.com/Upload/PDF/RPB-1600/RPB-1600-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_RPB-1600.jpg,1866-4005-ND,RPB-1600-12,MEAN WELL USA Inc.,BATT CHARGER ENCLOSED 14.4V 100A,33,0,"409.50000","0","1","RPB-1600","Active","Enclosed","Lead Acid, Lithium-Ion","12V","1","14.4V","100A","-","90 ~ 264 VAC, 127 ~ 370 VDC","1600W","11.81"" L x 3.35"" W x 1.61"" H (300.0mm x 85.0mm x 41.0mm)","Rack Mount","Rectangular Connector","LED Indicator"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14457_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_TOL-14457.jpg,1568-1748-ND,TOL-14457,SparkFun Electronics,BATT CHRG DESKTOP 1.48/3.6/4.2V,33,0,"31.25000","0","1","-","Active","Desktop","LiFePO4/Li-ion/NiMH/NiCD","AA, AAA, C, Sub-C, 18650, RCR123A","4","1.48V, 3.6V, 4.2V","-","-","100 ~ 240 VAC","-","-","Desktop","Battery Bay","LED Indicator"
https://assets.tripplite.com/product-pdfs/en/u280016rm.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U280-016-RM.jpg,TL2282-ND,U280-016-RM,Tripp Lite,BATTERY CHARGER STATION 5V 2.4A,6,0,"412.08000","0","1","-","Active","Charging Station","Mobile Devices","-","16","5V","2.4A","-","100 ~ 240 VAC","12W","9.45"" L x 18.66"" W x 1.71"" H (240.00mm x 474.00mm x 43.40mm)","Chassis Mount","USB A Receptacle","LED Indicator"
//media.digikey.com/pdf/Data%20Sheets/TinyCircuits%20PDFs/ASL2112_Web.pdf,//media.digikey.com/Photos/Tiny%20Circuits/MFG_ASL2112.jpg,1832-1036-ND,ASL2112,TinyCircuits,BATT CHRGR OPEN FRAME 4.2V 500MA,41,0,"6.95000","0","1","-","Active","Open Frame","Lithium-Ion","-","1","4.2V","500mA","-","3.75 ~ 6VDC","-","0.47"" L x 0.28"" W x 0.15"" H (11.94mm x 7.11mm x 3.81mm)","-","Rectangular Connector","-"
