Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Battery Type, Function","Style","Battery Cell Size","Number of Cells","Battery Series","Mounting Type","Termination Style","Height Above Board","Operating Temperature"
http://www.memoryprotectiondevices.com/datasheets/BU2032SM-G-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/BU2032SM-G.JPG,BU2032SM-GTR-ND,BU2032SM-G,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM SMD,18800,20400,"0.86508","0","400","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.205"" (5.20mm)","-40°C ~ 315°C"
http://www.memoryprotectiondevices.com/datasheets/BU2032SM-G-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/BU2032SM-G.JPG,BU2032SM-GCT-ND,BU2032SM-G,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM SMD,19739,20596,"1.48000","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.205"" (5.20mm)","-40°C ~ 315°C"
http://www.memoryprotectiondevices.com/datasheets/BU2032SM-G-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/BU2032SM-G.JPG,BU2032SM-GDKR-ND,BU2032SM-G,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM SMD,19739,20596,"Digi-Reel","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.205"" (5.20mm)","-40°C ~ 315°C"
http://www.keyelco.com/product-pdf.cfm?p=834,//media.digikey.com/photos/Keystone%20Elect%20Photos/628.jpg,36-628-ND,628,Keystone Electronics,BATTERY CONTACT SPRING A PC PIN,38080,70900,"0.89000","0","1","-","Active","Cylindrical, Contact (Single)","Contact Spring (Coil)","A","-","-","PCB, Through Hole","PC Pin","0.550"" (13.97mm)","-"
http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/BS-7.jpg,BS-7-ND,BS-7,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM PC PIN,84912,47800,"0.93000","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Through Hole","PC Pin","0.354"" (9.00mm)","-55°C ~ 105°C"
http://www.memoryprotectiondevices.com/datasheets/BS12I-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BS12I%20(2).jpg,BS12I-ND,BS12I,MPD (Memory Protection Devices),BATTERY CONNECT SNAP 9V 12"" LEAD,7158,0,"0.96000","0","1","-","Active","9V, Snap Connector","Connector, Snap","9V","1","-","Free Hanging","Wire Leads - 12"" (304.8mm)","-","-"
http://www.keyelco.com/product-pdf.cfm?p=835,//media.digikey.com/photos/Keystone%20Elect%20Photos/629.jpg,36-629-ND,629,Keystone Electronics,BATT CONTACT SPRING MULTI PC PIN,19943,132800,"0.97000","0","1","-","Active","Cylindrical, Contact (Single)","Contact Spring (Coil)","Multiple","-","-","PCB, Through Hole","PC Pin","0.380"" (9.64mm)","-"
http://www.memoryprotectiondevices.com/datasheets/BHSD-2032-SM-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BHSD-2032-SM.jpg,BHSD-2032-SMTR-ND,BHSD-2032-SM,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM SMD,34002,39200,"0.97890","0","400","Snap Dragon","Active","Coin Cell, Holder","Holder (Open, Cover Required)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.187"" (4.75mm)","-40°C ~ 280°C"
http://www.memoryprotectiondevices.com/datasheets/BHSD-2032-SM-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BHSD-2032-SM.jpg,BHSD-2032-SMCT-ND,BHSD-2032-SM,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM SMD,34163,39597,"1.67000","0","1","Snap Dragon","Active","Coin Cell, Holder","Holder (Open, Cover Required)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.187"" (4.75mm)","-40°C ~ 280°C"
http://www.memoryprotectiondevices.com/datasheets/BHSD-2032-SM-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BHSD-2032-SM.jpg,BHSD-2032-SMDKR-ND,BHSD-2032-SM,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM SMD,34163,39597,"Digi-Reel","0","1","Snap Dragon","Active","Coin Cell, Holder","Holder (Open, Cover Required)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.187"" (4.75mm)","-40°C ~ 280°C"
