Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","For Use With/Related Products","Specifications","Compatible Tools","Cable Group"
http://www.panduit.com/heiler/CatalogCutSheets/CT-1000%20Product%20Page.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/CT-570CH.JPG,298-10733-ND,CT-570CH,Panduit Corp,TOOL CRIMP HEAD FOR CT-600-A,5,0,"540.13000","0","1","-","Active","Crimp Head, Pneumatic","Quick Connects Terminals, 10-22 AWG; Splices and Terminals, 10-22 AWG","-","CT-600-A","-"
http://www.panduit.com/heiler/CatalogCutSheets/CT-1000%20Product%20Page.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/CT-550CH.jpg,298-10732-ND,CT-550CH,Panduit Corp,TOOL CRIMP HEAD FOR CT-600-A,4,0,"603.75000","0","1","-","Active","Crimp Head, Pneumatic","Splices and Terminals, 10-22 AWG","-","CT-600-A","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=4-1579001-7&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/4-1579001-7.JPG,A120167-ND,4-1579001-7,TE Application Tooling,ERGO DIE MCP 1 2 LL EDS,9,0,"627.75000","0","1","ERGOCRIMP, MCON","Active","Die Set","Rectangular Contacts, 22-24 AWG","-","539635-1","-"
https://www.molex.com/webdocs/datasheets/pdf/en-us/0192880023_APPLICATION_TOOLIN.pdf,//media.digikey.com/Photos/Molex/0192880023.jpg,WM16242-ND,0192880023,Molex,DIES AVI/INSUL -TERM 22-18AWG,6,0,"675.00000","0","1","ETC; Avikrimp; InsulKrimp","Active","Die Set","Terminals, 18-22 AWG","-","ATP-101, 19228-0030, 64016-2000","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-9085&DocType=SS&DocLang=EN,//media.digikey.com/photos/Tyco%20Amp%20Photos/58062-1.JPG,A2040-ND,58062-1,TE Application Tooling,HEAD ASSEMBLY TOOL FOR AMP MT CO,7,0,"686.25000","0","1","AMPMODU MT","Active","Terminating Head","Rectangular IDC Connectors, 20-30 AWG","-","58074-1, 58075-1, 58338-1, 931800-1","-"
https://www.molex.com/webdocs/datasheets/pdf/en-us/0638161600_APPLICATION_TOOLIN.pdf,//media.digikey.com/Photos/Molex/0638161600.jpg,WM15282-ND,0638161600,Molex,POWER TOOL HEAD FOR TYPE 4E TOOL,4,0,"1096.20000","0","1","PremiumGrade","Active","Crimp Head - without Die Set","Varies by Die Set","-","63816-0200, 63816-1500","-"
//media.digikey.com/pdf/Data%20Sheets/JST%20PDFs/Tool_Connector_Series.pdf,//media.digikey.com/photos/JST%20Photos/IDH-SR20.JPG,455-2301-ND,IDHSR20,JST Sales America Inc.,HEAD ADAPTER SR SERIES,7,0,"1302.86000","0","1","SR","Active","Die Head","Rectangular IDC Connectors, 30 AWG","-","IDB-12","-"
https://www.molex.com/pdm_docs/ats/ATS-638160800.pdf,//media.digikey.com/Photos/Molex/0638160800.jpg,WM15279-ND,0638160800,Molex,TYPE 4D POWER CRIMP HEAD,2,10,"1370.25000","0","1","PremiumGrade","Active","Crimp Head - without Die Set","Varies by Die Set","-","63816-0200","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=114-7010&DocType=SS&DocLang=EN,//media.digikey.com/Photos/TE%20Connectivity/543518-1.jpg,A107450-ND,543518-1,TE Connectivity AMP Connectors,TOOL COVER TERMINATOR IDC AMPMOD,2,0,"1555.65000","0","1","AMPMODU 50/50 Grid","Active","Cover Terminator (IDC)","Rectangular IDC Connectors","-","91295-1","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/Pneumatic_Tools_IS.pdf,//media.digikey.com/Photos/TE%20Connectivity/679301-1.JPG,A141983-ND,679301-1,TE Application Tooling,TOOL 22-10AWG SOLIS CRIMP HEAD,5,0,"2184.00000","0","1","Solistrand","Active","Crimp Head, Pneumatic","Splices and Terminals, 10-22 AWG and 14-16 AWG HD","-","189721-1, 189722-1","-"
