Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Color","For Use With/Related Products","Material","Label Type","Label Size"
-,-,PHC15X15SA-ND,PHC15X15SA,Panduit Corp,"6"" SYM FOR 15X15 PLCRD, SA",0,0,"3.44000","0","1","-","*","Active","-","-","-","-","-"
-,-,PHC15X15WTR-ND,PHC15X15WTR,Panduit Corp,"6"" SYM FOR 15X15 PLCRD, WTR",0,0,"3.44000","0","1","Bulk","*","Active","-","-","-","-","-"
http://documents.staticcontrol.com/pdf/ESD-Awareness-Sign.pdf,//media.digikey.com/Photos/SCS/MFG_ESDSIGN4X10.jpg,ESDSIGN4X10-ND,ESDSIGN4X10,SCS,SIGN ESD/STATIC 10""X4"" BLK/YLLW,0,0,"3.52000","0","1","-","-","Active","Black Legend, Yellow Background","-","-","-","10.00"" L x 4.00"" W (254.0mm x 101.6mm)"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/596-00867.pdf,-,1436-2141-ND,596-00867,HellermannTyton,"METAL SOLAR PLACARD, BLANK PLATE",0,0,"3.58770","0","500","-","*","Active","-","-","-","-","-"
-,-,PLVS0705B7302-ND,PLVS0705B7302,Panduit Corp,7X5 NO SMKG EXCPT.DESIGNATED..,0,0,"6.49000","0","1","-","*","Active","-","-","-","-","-"
-,-,PLVS0705B7291-ND,PLVS0705B7291,Panduit Corp,7X5 NO SMOKING (GRAPHIC) EACH,0,0,"6.49000","0","1","-","*","Active","-","-","-","-","-"
-,-,PLVS0705B7297-ND,PLVS0705B7297,Panduit Corp,7X5 NO SMOKING AREA,0,0,"6.49000","0","1","-","*","Active","-","-","-","-","-"
-,-,PLVS0705B7298-ND,PLVS0705B7298,Panduit Corp,7X5 NO SMOKING BEYOND THIS...,0,0,"6.49000","0","1","-","*","Active","-","-","-","-","-"
-,-,PLVS0705B7301-ND,PLVS0705B7301,Panduit Corp,7X5 NO SMOKING W/GRPHC BI-SP,0,0,"6.49000","0","1","-","*","Active","-","-","-","-","-"
-,-,PLVS0705B7299-ND,PLVS0705B7299,Panduit Corp,7X5 SMOKING PERMITTED..,0,0,"6.49000","0","1","-","*","Active","-","-","-","-","-"
