Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Color","For Use With/Related Products","Label Size","Material","Label Type"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0024.JPG,298-10833-ND,PFM0024,Panduit Corp,SIGN 17""DIA RED/WHITE,4,0,"45.36000","0","1","Bulk","-","Active","Red, White","-","17.00"" Dia (431.8mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0026.JPG,298-10834-ND,PFM0026,Panduit Corp,SIGN 17""DIA RED/WHITE,4,0,"45.36000","0","1","Bulk","-","Active","Red, White","-","17.00"" Dia (431.8mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0027.JPG,298-10835-ND,PFM0027,Panduit Corp,SIGN 17""DIA BLACK/YELLOW,4,0,"45.36000","0","1","Bulk","-","Active","Black, Yellow","-","17.00"" Dia (431.8mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0029.JPG,298-10836-ND,PFM0029,Panduit Corp,SIGN 17""DIA BLACK/BLUE/WHITE,4,0,"45.36000","0","1","Bulk","-","Active","Black and Blue Legend, White Background","-","17.00"" Dia (431.8mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0030.JPG,298-10837-ND,PFM0030,Panduit Corp,SIGN 17""DIA RED/BLACK/WHITE,4,0,"45.36000","0","1","Bulk","-","Active","Red and Black Legend, White Background","-","17.00"" Dia (431.8mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0032.JPG,298-10838-ND,PFM0032,Panduit Corp,SIGN 17""DIA RED/BLACK/WHITE,4,0,"45.36000","0","1","Bulk","-","Active","Red and Black Legend, White Background","-","17.00"" Dia (431.8mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0033.JPG,298-10839-ND,PFM0033,Panduit Corp,SIGN 17""DIA RED/BLACK/WHITE,4,0,"45.36000","0","1","Bulk","-","Active","Red and Black Legend, White Background","-","17.00"" Dia (431.8mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0060.JPG,298-10840-ND,PFM0060,Panduit Corp,"FLR SGN, NONSLP,17""DIAMND, EYE P",4,0,"45.36000","0","1","Bulk","-","Active","Black, Yellow","-","-","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0061.JPG,298-10841-ND,PFM0061,Panduit Corp,"FLR SGN, NONSLP,17""DIAMND, HEAR",4,0,"45.36000","0","1","Bulk","-","Active","Black, Yellow","-","-","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0062.JPG,298-10842-ND,PFM0062,Panduit Corp,"FLR SGN, NONSLP,17""DIAMND, HRD H",4,0,"45.36000","0","1","Bulk","-","Active","Black, Yellow","-","-","Vinyl","-"
