Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Power - Max","Voltage - Input","Voltage - Output","Connector - AC Output","Cord Length","Size / Dimension","Height","Form","Weight"
https://www.emerson.com/documents/automation/product-data-sheet-cvs-hardwired-constant-voltage-transformers-solahd-en-us-163816.pdf,-,2106-63-23-215-8-ND,63-23-215-8,SolaHD,1500VA MCR HARDWIRE REGULATOR,2,0,"1637.24000","0","1","MCR","Active","1500VA","120 ~ 480VAC","120VAC, 208VAC, 240VAC","Hardwired","-","9.016"" L x 12.992"" W (229.00mm x 330.00mm)","17.008"" (432.00mm)","Din Rail","-"
https://www.emerson.com/documents/automation/catalog-solahd-mcr-hardwired-series-power-line-conditioner-en-us-163826.pdf,-,2106-63-23-220-8-ND,63-23-220-8,SolaHD,2000VA MCR HARDWIRE REGULATOR,2,0,"2071.01000","0","1","MCR","Active","2000VA","120 ~ 480VAC","120VAC, 208VAC, 240VAC","Hardwired","-","9.016"" L x 12.992"" W (229.00mm x 330.00mm)","17.992"" (457.00mm)","Rackmount","-"
https://assets.tripplite.com/product-pdfs/en/ls604wm.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_LS604WM.jpg,LS604WM-ND,LS604WM,Tripp Lite,LINE CONDITIONER 600W 4OUT,0,0,"139.75000","0","1","-","Active","600W","87 ~ 140 VAC","120VAC","NEMA 5-15R (4)","6' (1.83m)","5.752"" L x 5.000"" W (146.10mm x 127.00mm)","4.000"" (101.60mm)","Tower","-"
-,-,2106-63-13-070-6-ND,63-13-070-6,SolaHD,70VA MCR PORTABLE REGULATOR,0,0,"346.89000","0","1","*","Active","70VA","-","-","-","-","-","-","-","-"
-,-,2106-63-13-115-6-ND,63-13-115-6,SolaHD,150VA MCR PORTABLE REGULATOR,0,0,"546.08000","0","1","*","Active","150VA","-","-","-","-","-","-","-","-"
-,-,2106-63-23-612-8-ND,63-23-612-8,SolaHD,120VA MCR HW REGULATOR 50HZ,0,0,"603.17000","0","1","*","Active","120VA","-","-","-","-","-","-","-","-"
-,-,2106-63-13-125-6-ND,63-13-125-6,SolaHD,250VA MCR PORTABLE REGULATOR,0,0,"728.30000","0","1","*","Active","250VA","-","-","-","-","-","-","-","-"
-,-,2106-63-23-625-8-ND,63-23-625-8,SolaHD,250VA MCR HW REGULATOR 50HZ,0,0,"732.26000","0","1","*","Active","250VA","-","-","-","-","-","-","-","-"
-,-,2106-63-31-150-8-ND,63-31-150-8,SolaHD,500VA 600V HW MINI REG,0,0,"918.47000","0","1","*","Active","500VA","-","-","-","-","-","-","-","-"
-,-,2106-63-13-150-6-ND,63-13-150-6,SolaHD,500VA MCR PORTABLE REGULATOR,0,0,"973.82000","0","1","*","Active","500VA","-","-","-","-","-","-","-","-"
-,-,2106-63-23-650-8-ND,63-23-650-8,SolaHD,500VA MCR HW REGULATOR 50HZ,0,0,"1085.43000","0","1","*","Active","500VA","-","-","-","-","-","-","-","-"
-,-,2106-63-13-175-6-ND,63-13-175-6,SolaHD,750VA MCR PORTABLE REGULATOR,0,0,"1240.81000","0","1","*","Active","750VA","-","-","-","-","-","-","-","-"
-,-,2106-63-32-210-8-ND,63-32-210-8,SolaHD,1000VA MCR HARDWIRE REG 600V,0,0,"1417.32000","0","1","*","Active","1000VA","-","-","-","-","-","-","-","-"
