Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Mounting Type","Current - Max","Region Utilized","Overload Protection","Connector - AC Input","Connector - AC Output","Voltage - Input","Dielectric Material","Media Lines Protected","AC Outlets","Energy","Cord Length","Approvals","Features"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2801164,//media.digikey.com/Photos/Phoenix%20Photos/2801164.JPG,277-14701-ND,2801164,Phoenix Contact,VAL-MS-T1/T2 600DC-PV/2+V-FM,3,0,"476.00000","0","1","VAL-MS","Active","Surge Protection Module","DIN Rail","-","International","None","Screw Terminals","Screw Terminals","600VDC","Plastic","-","None","-","-","cUL, cULus, EAC, KEMA, UL","-"
https://assets.tripplite.com/product-pdfs/en/traveler.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_TRAVELER.jpg,TL008-ND,TRAVELER,Tripp Lite,SURGE SUP 2OUT W/RJ11 DIRECTPLUG,24,0,"20.96000","0","1","Protect It!®","Active","Outlet Strip, Surge Protector","-","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Plastic","RJ11","2","1050J","Without Cord","CSA, cUL, FCC, NOM, UL","-"
https://assets.tripplite.com/product-pdfs/en/swivel6.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SWIVEL6.jpg,TL1166-ND,SWIVEL6,Tripp Lite,SURGE PROTECTOR SWIVEL 6 OUTLET,14,0,"21.07000","0","1","Protect It!®","Active","Outlet Strip, Surge Protector","-","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Plastic","-","6","1500J","-","CSA, cUL, UL","-"
https://assets.tripplite.com/product-pdfs/en/traveler100bt.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_TRAVELER100BT.jpg,TL1193-ND,TRAVELER100BT,Tripp Lite,SURGE SUP 2OUT W/RJ11 DIRECTPLUG,6,0,"21.69000","0","1","Protect It!®","Active","Outlet Strip, Surge Protector","-","15A","North America","None","NEMA 5-15P","NEMA 5-15R","120V","Plastic","RJ11","2","1050J","Without Cord","CSA, cUL, FCC, NOM, UL","-"
https://assets.tripplite.com/product-pdfs/en/tlp606taa.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_TLP606TAA.jpg,TL1181-ND,TLP606TAA,Tripp Lite,SURGE PROTECT STRIP 6 OUTLET 6FT,11,0,"21.74000","0","1","Protect It!®","Active","Outlet Strip, Surge Protector","Bench, Floor, Wall","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Plastic","-","6","790J","6' (1.83m)","CSA, cUL, UL","-"
https://assets.tripplite.com/product-pdfs/en/tlp707tel.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_TLP707TEL.jpg,TL299-ND,TLP707TEL,Tripp Lite,SURGE SUPPRESSOR 15A 7OUT 7'CORD,20,0,"26.76000","0","1","Protect It!®","Active","Outlet Strip, Surge Protector","Bench, Floor","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Plastic","RJ11","7","1080J","7' (2.13m)","CSA, cUL, FCC, UL","-"
https://assets.tripplite.com/product-pdfs/en/tlm606nc.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_TLM6xxNC%20SERIES.jpg,TL1170-ND,TLM606NC,Tripp Lite,POWER STRIP 6OUT 6'CORD METAL,7,0,"34.64000","0","1","Power It!™","Active","Outlet Strip","Bench, Wall","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Steel","-","6","-","6' (1.83m)","CSA, cUL, UL","-"
https://assets.tripplite.com/product-pdfs/en/tlm626tel15.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_TLM626TEL15.jpg,TL1175-ND,TLM626TEL15,Tripp Lite,SURGE SUPPR 6OUT 15'CORD RJ11,7,0,"41.58000","0","1","Protect It!®","Active","Outlet Strip, Surge Protector","Bench, Floor, Wall","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Steel","RJ11","6","1340J","15' (4.57m)","CSA, cUL, FCC, UL","-"
https://assets.tripplite.com/product-pdfs/en/tr6.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_TR6.jpg,TL051-ND,TR-6,Tripp Lite,SURGE SUPP SUPER SG ALERT 6 OUT,20,0,"43.66000","0","1","Protect It!®","Active","Outlet Strip, Surge Protector","Bench, Wall","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Plastic","-","6","2420J","6' (1.83m)","cUL, UL","-"
https://assets.tripplite.com/product-pdfs/en/super7tel15.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SUPER7TEL15.jpg,TL1165-ND,SUPER7TEL15,Tripp Lite,SURGE SUPPR 7OUT 15'CORD W/RJ11,7,0,"47.75000","0","1","Protect It!®","Active","Outlet Strip, Surge Protector","Bench, Floor, Wall","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Plastic","RJ11","7","2520J","15' (4.57m)","CSA, cUL, FCC, UL","-"
https://assets.tripplite.com/product-pdfs/en/dsut1csu.pdf,//media.digikey.com/Photos/Tripplite%20Photos/DSUT1CSU.jpg,TL384-ND,DSUT1CSU,Tripp Lite,SURGE SUPPR NETWORK W/GROUND,6,0,"48.16000","0","1","DataShield®","Active","Surge Protector for Media Lines Only","-","-","-","-","-","-","-","-","RJ45","None","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/tr6fm.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_TR-6FM.jpg,TL1191-ND,TR-6FM,Tripp Lite,6 OUTLET 6' CORD SURGE SUPPRESS,9,0,"53.19000","0","1","-","Active","Outlet Strip, Surge Protector","Bench, Floor, Wall","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Plastic","RJ11","6","3040J","6' (1.83m)","CSA, cUL, FCC, UL","-"
https://assets.tripplite.com/product-pdfs/en/tlp810sat.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_TLP810SAT.jpg,TL233-ND,TLP810SAT,Tripp Lite,SURGE SUP 8OUT 10'CRD RJ11/2COAX,12,0,"54.59000","0","1","Protect It!®","Active","Outlet Strip, Surge Protector","Bench, Floor, Wall","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Plastic","Type F Coax, RJ11","8","3240J","10' (3.05m)","CSA, cUL, FCC, UL","-"
https://assets.tripplite.com/product-pdfs/en/ps361220hw.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_PS3612-20HW.jpg,TL1148-ND,PS3612-20HW,Tripp Lite,POWER STRIP 36"" 12OUT NO CORD,11,0,"59.33000","0","1","-","Active","Outlet Strip","Bench, Wall","20A","North America","None","Hardwired","NEMA 5-15R (10), 5-20R (2)","120V","Steel","-","12","-","Without Cord","cUL, UL","-"
-,//media.digikey.com/photos/Chip%20Quik%20Photos/MFG_EPS-2069BL-ND.jpg,EPS-2069BL-ND,EPS-2069BL,Chip Quik Inc.,POWER STRIP 24"" 6 WHITE OUTLET,9,0,"67.49000","0","1","-","Active","Outlet Strip, Surge Protector","Bench, Wall","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Steel","-","6","1824J","9' (2.74m)","CSA, UL","-"
https://assets.tripplite.com/product-pdfs/en/psf2408.pdf,//media.digikey.com/Photos/Tripplite%20Photos/PSF2408.jpg,TL725-ND,PSF2408,Tripp Lite,POWER STRIP 24"" 8OUT 15' CORD,31,0,"70.66000","0","1","-","Active","Outlet Strip","Bench, Rack, Wall","-","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Aluminum","-","8","-","15' (4.57m)","CSA, cUL, UL","-"
//media.digikey.com/pdf/Data%20Sheets/Tripp%20Lite/IBAR6-6D.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_IBAR6-6D.jpg,TL1111-ND,IBAR6-6D,Tripp Lite,SURGE SUPPRSSR 6OUT 6'CORD,13,0,"72.26000","0","1","ISOBAR®","Active","Outlet Strip, Surge Protector","Bench, Floor, Wall","12A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Steel","-","6","3330J","6' (1.83m)","CSA, cUL, UL","-"
https://assets.tripplite.com/product-pdfs/en/tlp808netg.pdf,//media.digikey.com/Photos/Tripplite%20Photos/TLP808NETG.jpg,TLP808NETG-ND,TLP808NETG,Tripp Lite,POWER STRIP 8OUT 8'CORD,10,0,"73.66000","0","1","ECO-Surge™","Active","Outlet Strip, Surge Protector","Bench, Floor, Wall","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Plastic","RJ45","8","2160J","8' (2.44m)","CSA, cUL, UL","-"
