Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Form","Power - Rated","AC Outlets","Backup Time - Max Load","Media Lines Protected","Voltage - Output","Connector - AC Input","Connector - AC Output","Cord Length","Size / Dimension","Height"
https://assets.tripplite.com/product-pdfs/en/bp192v5rt2u.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_BP192V5RT2U.jpg,BP192V5RT2U-ND,BP192V5RT2U,Tripp Lite,SMART ONLINE UPS,0,0,"875.62000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/smx1200xlhg.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SMX1200XLHG.jpg,SMX1200XLHG-ND,SMX1200XLHG,Tripp Lite,UPS INTERNATIONAL SMART TOWER,0,0,"884.48000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-s3k-series-ups-en-us-164174.pdf,-,2106-S3K1000-ND,S3K1000,SolaHD,L/I-S UPS 1000VA 120-120V50/60,0,0,"887.82000","0","1","S3K","Active","Line Interactive (Input Regulation)","General Purpose, Industrial Control","Tower","1kVA / 750W","4","11 minutes","RS-232","120V","NEMA 5-15P","NEMA 5-15R (4)","-","17.165"" L x 5.512"" W (436.00mm x 140.00mm)","8.268"" (210.00mm)"
-,-,AC-C-TEC2410-10-ND,AC-C-TEC2410-10,Altech Corporation,ULTRACAP MODULE230VAC INPUT 10KJ,0,0,"896.26000","0","1","AC-C-TEC","Active","Standby (No Regulation)","General Purpose, Industrial Control","Din Rail","-","-","-","-","24.1V","Hardwired","-","-","7.441"" L x 5.433"" W (189.00mm x 138.00mm)","6.496"" (165.00mm)"
https://assets.tripplite.com/product-pdfs/en/smartint2200vs.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SMARTINT2200VS.jpg,SMARTINT2200VS-ND,SMARTINT2200VS,Tripp Lite,UPS INTERNATIONAL SMART TOWER,0,0,"920.09000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/suint1000lcd2u.pdf,-,SUINT1000LCD2U-ND,SUINT1000LCD2U,Tripp Lite,SMARTONLINE 208/230V 1KVA 900W D,0,0,"952.83000","0","1","SmartOnline","Active","Online (Double Conversion)","General Purpose, Industrial Control","Rackmount","1kVA / 900W","6 (UPS)","4.7 minutes","-","200V, 208V, 220V, 230V, 240V","C14","C13 (6)","-","15.630"" L x 17.240"" W (397.00mm x 437.90mm)","3.460"" (87.88mm)"
https://assets.tripplite.com/product-pdfs/en/smart2200slt.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SMART2200SLT%20Series.jpg,SMART2200SLT-ND,SMART2200SLT,Tripp Lite,UPS SMART TOWER AVR SERVERS,0,0,"960.38000","0","1","Smart Pro®","Active","Line Interactive (Input Regulation)","Network, Single Phase","Tower","2.2kVA / 1600W","7 (UPS)","5 minutes","RS-232","120V","NEMA 5-20P","NEMA 5-15/20R (6), NEMA L5-20R","10' (3.05m)","12.500"" L x 8.900"" W (317.50mm x 226.06mm)","10.500"" (266.70mm)"
https://assets.tripplite.com/product-pdfs/en/su1500xlcd.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SU1500XLCD.jpg,SU1500XLCD-ND,SU1500XLCD,Tripp Lite,UPS SMART ONLINE,0,0,"976.00000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,AC-C-TEC2420-8-ND,AC-C-TEC2420-8,Altech Corporation,ULTRACAP MOD 3X400VAC INPUT 8KJ,0,10,"990.70000","0","1","AC-C-TEC","Active","Standby (No Regulation)","General Purpose, Industrial Control","Din Rail","-","-","-","-","24.8V","Hardwired","-","-","7.795"" L x 6.693"" W (198.00mm x 170.00mm)","7.559"" (192.00mm)"
https://assets.tripplite.com/product-pdfs/en/smart2200sltaa.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SMART2200SLT%20Series.jpg,SMART2200SLTAA-ND,SMART2200SLTAA,Tripp Lite,UPS SMART TOWER AVR,0,0,"999.73000","0","1","Smart Pro®","Active","Line Interactive (Input Regulation)","Network, Single Phase","Tower","2.2kVA / 1600W","7 (UPS)","5 minutes","RS-232","120V","NEMA 5-20P","NEMA 5-15/20R (6), NEMA L5-20R","10' (3.05m)","12.500"" L x 8.900"" W (317.50mm x 226.06mm)","10.500"" (266.70mm)"
