Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage - Output","Voltage - Input","AC Outlets","Connector - AC Output","Connector - Voltage Input","Power - Output Continuous","Power - Output Surge","Remote Capability","Region Utilized","Size","Features"
https://www.meanwell.com/Upload/PDF/TN-3000/TN-3000-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_TN-3000.jpg,TN-3000-212B-ND,TN-3000-212B,MEAN WELL USA Inc.,INVERTER UPS 12VDC 3KW 1 OUTLET,0,0,"1038.00000","0","1","TN-3000","Active","Inverter, UPS","230VAC","12VDC","1","-","Terminals","3kW","6kW","Yes","Europe","18.38"" L x 11.16"" W x 3.94"" H (466.8mm x 283.5mm x 100.0mm)","-"
https://www.meanwell.com/Upload/PDF/TN-3000/TN-3000-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_TN-3000.jpg,TN-3000-248B-ND,TN-3000-248B,MEAN WELL USA Inc.,INVERTER UPS 48VDC 3KW 1 OUTLET,0,0,"1038.00000","0","1","TN-3000","Active","Inverter, UPS","230VAC","48VDC","1","-","Terminals","3kW","6kW","Yes","Europe","18.38"" L x 11.16"" W x 3.94"" H (466.8mm x 283.5mm x 100.0mm)","-"
https://assets.tripplite.com/product-pdfs/en/pv140.pdf,//media.digikey.com/photos/Tripplite%20Photos/PV140.jpg,TL193-ND,PV140,Tripp Lite,INVERTER 140W 12VDC 1OUT CIGPLUG,0,0,"Obsolete","0","1","PowerVerter®","Obsolete","Inverter","120VAC","12VDC","1","NEMA 5-15R","Cigarette Lighter Plug","140W","200W","No","North America","6.00"" L x 3.00"" W x 1.75"" H (152.4mm x 76.2mm x 44.4mm)","-"
https://assets.tripplite.com/product-pdfs/en/pv300.pdf,//media.digikey.com/photos/Tripplite%20Photos/PV300.jpg,TL194-ND,PV300,Tripp Lite,INVERTER 300W 12VDC 2OUT CIGPLUG,0,0,"Obsolete","0","1","PowerVerter®","Obsolete","Inverter","120VAC","12VDC","2","NEMA 5-15R","Cigarette Lighter Plug","300W","500W","No","North America","6.00"" L x 4.20"" W x 1.80"" H (152.4mm x 106.7mm x 45.7mm)","-"
https://assets.tripplite.com/product-pdfs/en/aps512.pdf,//media.digikey.com/photos/Tripplite%20Photos/APS512.jpg,TL218-ND,APS512,Tripp Lite,INVERTER 500W 12VDC 2OUT W/CHRGR,0,0,"Obsolete","0","1","PowerVerter®","Obsolete","Inverter, UPS","120VAC","12VDC, 120VAC","2","NEMA 5-15R","Terminals, Power Cord (NEMA 5-15P)","500W","1kW","Yes","North America","9.75"" L x 6.50"" W x 6.75"" H (247.6mm x 165.1mm x 171.5mm)","-"
https://assets.tripplite.com/product-pdfs/en/pv500fc.pdf,//media.digikey.com/photos/Tripplite%20Photos/PV500FC.jpg,TL146-ND,PV500FC,Tripp Lite,INVERTER 500W 12VDC 2OUTLET,0,0,"Obsolete","0","1","PowerVerter®","Obsolete","Inverter","120VAC","12VDC","2","NEMA 5-15R","Terminals","500W","1kW","Yes","North America","10.00"" L x 7.00"" W x 7.00"" H (254.0mm x 177.8mm x 177.8mm)","-"
https://assets.tripplite.com/product-pdfs/en/pv1000fc.pdf,//media.digikey.com/photos/Tripplite%20Photos/PV1000FC.jpg,TL147-ND,PV1000FC,Tripp Lite,INVERTER 1000W 12VDC 2OUTLET,0,0,"Obsolete","0","1","PowerVerter®","Obsolete","Inverter","120VAC","12VDC","2","NEMA 5-15R","Terminals","1kW","2kW","No","North America","8.75"" L x 7.75"" W x 7.00"" H (222.3mm x 196.9mm x 177.8mm)","-"
https://assets.tripplite.com/product-pdfs/en/pv500.pdf,//media.digikey.com/photos/Tripplite%20Photos/PV500.jpg,TL172-ND,PV500,Tripp Lite,INVERTER 500W 3OUT W/BATT CLIPS,0,0,"Obsolete","0","3","PowerVerter®","Obsolete","Inverter","120VAC","12VDC","3","NEMA 5-15R","Terminals","500W","800W","No","North America","8.00"" L x 5.00"" W x 2.50"" H (203.2mm x 127.0mm x 63.5mm)","-"
https://assets.tripplite.com/product-pdfs/en/aps1012.pdf,"//media.digikey.com/photos/Tripplite%20Photos/mfgAPS%201012,1024.jpg",TL250-ND,APS1012,Tripp Lite,INVERTR 1000W 12VDC 2OUT W/CHRGR,0,0,"Obsolete","0","1","-","Obsolete","Inverter, UPS","120VAC","12VDC, 120VAC","2","NEMA 5-15R","Terminals, Power Cord (NEMA 5-15P)","1kW","2kW","Yes","North America","16.25"" L x 8.50"" W x 7.25"" H (412.8mm x 215.9mm x 184.1mm)","-"
https://assets.tripplite.com/product-pdfs/en/aps1524.pdf,//media.digikey.com/photos/Tripplite%20Photos/APS1524.jpg,TL251-ND,APS1524,Tripp Lite,INVERTER 1500W HARDWIRE OUTPUT,0,0,"Obsolete","0","1","PowerVerter®","Obsolete","Inverter, UPS","120VAC","24VDC, 120VAC","Hardwire","None (Hardwire)","Terminals, Junction Box","1.5kW","3kW","Yes","International","16.00"" L x 8.50"" W x 7.25"" H (406.4mm x 215.9mm x 184.1mm)","-"
https://assets.tripplite.com/product-pdfs/en/aps612.pdf,//media.digikey.com/photos/Tripplite%20Photos/mfgAPS612.jpg,TL294-ND,APS612,Tripp Lite,INVERTER 600W 12VDC 2OUT W/CHRGR,0,0,"Obsolete","0","1","PowerVerter®","Obsolete","Inverter, UPS","120VAC","12VDC, 120VAC","2","NEMA 5-15R","Terminals, Power Cord (NEMA 5-15P)","600W","1.2kW","Yes","North America","8.75"" L x 7.75"" W x 7.00"" H (222.3mm x 196.9mm x 177.8mm)","-"
https://assets.tripplite.com/product-pdfs/en/pv600.pdf,-,PV600-ND,PV600,Tripp Lite,INVERTER 600W 12VDC 3OUT,0,0,"Obsolete","0","1","PowerVerter®","Obsolete","Inverter","120VAC","12VDC","3","NEMA 5-15R","Terminals","600W","1.2kW","No","North America","8.25"" L x 5.00"" W x 2.75"" H (209.5mm x 127.0mm x 69.9mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C33991F300-ND,3C33991F300,Bel Power Solutions,SLI15-48-115-HP-GN,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","115VAC","48VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C34991F200G-ND,3C34991F200G,Bel Power Solutions,SLI15-24-230,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","230VAC","24VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C33991FT0CG-ND,3C33991FT0CG,Bel Power Solutions,SLI15-48-115-STS-SC,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","115VAC","48VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C33991FT00G-ND,3C33991FT00G,Bel Power Solutions,SLI15-48-115-STS,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","115VAC","48VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C32991FT00-ND,3C32991FT00,Bel Power Solutions,SLI15-24-115-STS,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","115VAC","24VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C33991F200G-ND,3C33991F200G,Bel Power Solutions,SLI15-48-115,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","115VAC","48VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C33991F0T3G-ND,3C33991F0T3G,Bel Power Solutions,SLI15-48-115-STS-SC-3PH,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","115VAC","48VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C32991FT0C-ND,3C32991FT0C,Bel Power Solutions,SLI15-24-115-STS-SC,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","115VAC","24VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C32991F200G-ND,3C32991F200G,Bel Power Solutions,SLI15-24-115,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","115VAC","24VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C34991FT00G-ND,3C34991FT00G,Bel Power Solutions,SLI15-24-230-STS,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","230VAC","24VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C35991FT00G-ND,3C35991FT00G,Bel Power Solutions,SLI15-48-230-STS,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","230VAC","48VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C35991F200G-ND,3C35991F200G,Bel Power Solutions,SLI15-48-230,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","230VAC","48VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
-,-,3F747010000-ND,3F747010000,Bel Power Solutions,SLI7-24-230,0,0,"Obsolete","0","10","SLI7","Obsolete","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,3F737020000-ND,3F737020000,Bel Power Solutions,SLI7-48-230,0,0,"Obsolete","0","10","SLI7","Obsolete","-","-","-","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI50_Series.pdf,-,3F51991F100G-ND,3F51991F100G,Bel Power Solutions,SLI50 48-230,0,0,"Obsolete","0","5","SLI50","Obsolete","Inverter","240VAC","48VDC","Hardwire","None (Hardwire)","Terminals","5kW","-","No","International","-","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C35991F20CG-ND,3C35991F20CG,Bel Power Solutions,SLI15-48-230-SC,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","230VAC","48VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C35992F000G-ND,3C35992F000G,Bel Power Solutions,SLI15-48-230-STS-SC-3PH,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","230VAC","48VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C35991FTHP-ND,3C35991FTHP,Bel Power Solutions,SLI15-48-230-STS-HP,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","230VAC","48VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C35991FT0C-ND,3C35991FT0C,Bel Power Solutions,SLI15-48-230-SC-STS,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","230VAC","48VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI_15_Series.pdf,-,3C35991F500-ND,3C35991F500,Bel Power Solutions,SLI-48-230 HOT PLUG,0,0,"Obsolete","0","5","SLI15","Obsolete","Inverter","230VAC","48VDC","Hardwire","None (Hardwire)","Terminals","1.5kW","-","No","International","16.73"" L x 14.94"" W x 1.72"" H (425.0mm x 379.5mm x 43.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Power%20One%20PDFs/SLI50_Series.pdf,-,3F51991F200G-ND,3F51991F200G,Bel Power Solutions,SLI50 48-230-CTRL,0,0,"Obsolete","0","5","SLI50","Obsolete","Inverter","240VAC","48VDC","Hardwire","None (Hardwire)","Terminals","5kW","-","No","International","-","-"
https://assets.tripplite.com/product-pdfs/en/rv1012ulhw.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_RV1012ULHW.jpg,RV1012ULHW-ND,RV1012ULHW,Tripp Lite,DC TO AC INVERTER W/ISOBAR SURGE,0,0,"Obsolete","0","1","PowerVerter®","Obsolete","Inverter, UPS","120VAC","12VDC, 120VAC","Hardwire","None (Hardwire)","Terminals, Junction Box","1kW","2kW","Yes","International","16.25"" L x 10.50"" W x 7.00"" H (412.8mm x 266.7mm x 177.8mm)","Auto Power Transfer for UPS Mode, Battery Charger"
