Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Function","Applications","Number of Channels","Interface","Voltage - Supply","Operating Temperature","Specifications","Package / Case","Supplier Device Package"
http://www.st.com/content/ccc/resource/technical/document/datasheet/97/41/d6/a4/6b/2a/40/b9/CD00169555.pdf/files/CD00169555.pdf/jcr:content/translations/en.CD00169555.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/64-LQFP.jpg,497-8874-2-ND,STA309A13TR,STMicroelectronics,IC AUDIO PROCESSOR DGTL 64-TQFP,1000,0,"2.16440","0","1000","Tape & Reel (TR)","DDX™","Active","Fully Integrated Processor","Pre-Amplifier","8","I²C, I²S","3V ~ 3.6V","-40°C ~ 125°C (TJ)","Direct Digital Amplification","64-LQFP","64-TQFP (10x10)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/97/41/d6/a4/6b/2a/40/b9/CD00169555.pdf/files/CD00169555.pdf/jcr:content/translations/en.CD00169555.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/64-LQFP.jpg,497-8874-1-ND,STA309A13TR,STMicroelectronics,IC AUDIO PROCESSOR DGTL 64-TQFP,1699,0,"4.22000","0","1","Cut Tape (CT)","DDX™","Active","Fully Integrated Processor","Pre-Amplifier","8","I²C, I²S","3V ~ 3.6V","-40°C ~ 125°C (TJ)","Direct Digital Amplification","64-LQFP","64-TQFP (10x10)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/97/41/d6/a4/6b/2a/40/b9/CD00169555.pdf/files/CD00169555.pdf/jcr:content/translations/en.CD00169555.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/64-LQFP.jpg,497-8874-6-ND,STA309A13TR,STMicroelectronics,IC AUDIO PROCESSOR DGTL 64-TQFP,1699,0,"Digi-Reel","0","1","Digi-Reel®","DDX™","Active","Fully Integrated Processor","Pre-Amplifier","8","I²C, I²S","3V ~ 3.6V","-40°C ~ 125°C (TJ)","Direct Digital Amplification","64-LQFP","64-TQFP (10x10)"
//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/STA120D.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/28-SOIC.jpg,497-16663-ND,STA120DJ,STMicroelectronics,IC RECEIVER AUDIO DIGITAL 28SOIC,1037,0,"2.45000","0","1","Tube","-","Active","Audio Receiver","Digital Audio Interfacing","1","Serial","3V ~ 3.6V","-30°C ~ 85°C (TA)","25kHz ~ 96kHz","28-SOIC (0.295"", 7.50mm Width)","28-SO"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftas5086,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4073252-6;DBT;38.jpg,296-26678-2-ND,TAS5086DBTR,Texas Instruments,IC DGTL AUDIO PWM 6CH 38-TSSOP,2000,0,"2.96058","0","2000","Tape & Reel (TR)","PurePath Digital™","Active","Modulator","Digital Audio Interfacing","6","I²C, I²S","3V ~ 3.6V","0°C ~ 70°C (TA)","32kHz ~ 192kHz","38-TFSOP (0.173"", 4.40mm Width)","38-TSSOP"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftas5086,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4073252-6;DBT;38.jpg,296-26678-1-ND,TAS5086DBTR,Texas Instruments,IC DGTL AUDIO PWM 6CH 38-TSSOP,2523,0,"6.08000","0","1","Cut Tape (CT)","PurePath Digital™","Active","Modulator","Digital Audio Interfacing","6","I²C, I²S","3V ~ 3.6V","0°C ~ 70°C (TA)","32kHz ~ 192kHz","38-TFSOP (0.173"", 4.40mm Width)","38-TSSOP"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftas5086,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4073252-6;DBT;38.jpg,296-26678-6-ND,TAS5086DBTR,Texas Instruments,IC DGTL AUDIO PWM 6CH 38-TSSOP,2523,0,"Digi-Reel","0","1","Digi-Reel®","PurePath Digital™","Active","Modulator","Digital Audio Interfacing","6","I²C, I²S","3V ~ 3.6V","0°C ~ 70°C (TA)","32kHz ~ 192kHz","38-TFSOP (0.173"", 4.40mm Width)","38-TSSOP"
https://datasheets.maximintegrated.com/en/ds/MAX5440.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-xSOP.jpg,MAX5440EAG+-ND,MAX5440EAG+,Maxim Integrated,IC CNTRL VOL STEREO 24-SSOP,439,928,"3.25000","0","1","Tube","-","Active","Volume Control","Consumer Audio","2","Pushbutton","2.7V ~ 5.5V","-40°C ~ 85°C (TA)","-90dB","24-SSOP (0.209"", 5.30mm Width)","24-SSOP"
https://www.onsemi.com/pub/Collateral/SA575-D.PDF,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/20-TSSOP.jpg,SA575DTBGOS-ND,SA575DTBG,ON Semiconductor,IC COMPANDOR 2CHAN GAIN 20-TSSOP,843,4125,"3.72000","0","1","Tube","-","Active","Compandor","Consumer Audio, Telecommunication Systems","2","Analog","3V ~ 7V","-40°C ~ 85°C (TA)","-","20-TSSOP (0.173"", 4.40mm Width)","20-TSSOP"
https://datasheets.maximintegrated.com/en/ds/MAX5486.pdf,//media.digikey.com/photos/Maxim%20Photos/175-24-TSSOP.jpg,MAX5486EUG+-ND,MAX5486EUG+,Maxim Integrated,IC CNTRL VOL STEREO 24TSSOP,407,3596,"4.61000","0","1","Tube","-","Active","Volume Control","Consumer Audio","2","Pushbutton","2.7V ~ 5.5V","-40°C ~ 125°C (TA)","-90dB","24-TSSOP (0.173"", 4.40mm Width)","24-TSSOP"
