Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Connector Type","Length","Cable Type","Color","Shielding","Usage"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-012-07-ND,K-9075-012-07,Winchester Interconnect,PATCH CORD MID SZ 1' VIOLET,0,0,"18.50000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Violet","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-012-08-ND,K-9075-012-08,Winchester Interconnect,PATCH CORD MID SZ 1' GRAY,0,0,"18.50000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Gray","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-012-09-ND,K-9075-012-09,Winchester Interconnect,PATCH CORD MID SZ 1' WHITE,0,0,"18.50000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","White","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-012-10-ND,K-9075-012-10,Winchester Interconnect,PATCH CORD MID SZ 1' BLACK,0,0,"18.50000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Black","Unshielded","Patch"
http://www.amphenolltw.com/download/product_category/product_category-694.pdf,-,HP-19AMMM-QL7A01-ND,HP-19AMMM-QL7A01,Amphenol LTW,HDMI,0,0,"18.56000","0","10","-","Active","HDMI-A Male to Cable","3.3' (1.00m)","Round","Black","-","High Definition Multimedia Interface"
-,-,BEL10432-ND,HDM002MB,Belden Inc.,2000+/-20MM MINI HDMICBLASSEMB,0,0,"18.65000","0","1","*","Active","-","-","-","-","-","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=271,-,VMP2GYX-ND,VMP2GYX,Switchcraft Inc.,PATCHCORD VIDEO MIDSIZE 2' GRAY,0,0,"18.83800","0","10","VMP","Active","Mini-WECo Male to Mini-WECo Male","2.00' (609.60mm)","Round","Gray","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcords_miniDIN_860L%20Series.pdf,-,860L-860-0120110-ND,860L-860-0120110,Winchester Interconnect,"PATCH CORD, MINIATURE SIZE, 1'",0,0,"18.93800","0","10","KINGS® 860L","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Black","Unshielded","Patch"
https://www.molex.com/pdm_docs/sd/747668006_sd.pdf,//media.digikey.com/photos/Molex/74766-0006.JPG,WM19297-ND,0747668006,Molex,CABLE DISPLAY PORT - DVI-D F 10"",1,0,"18.98000","0","1","-","Obsolete","DisplayPort Male to DVI-D Female","0.833' (254.00mm, 10.00"")","Round","Black","Shielded","Digital Visual Interface"
-,-,AE10247-ND,AK621-0.5-R,Assmann WSW Components,CABLE DVI - DVI DUAL LINK 0.5M,0,0,"19.06100","0","10","-","Active","DVI-D Dual Link, Male to DVI-D Dual Link, Male","1.64' (500.00mm)","Round","Black","Shielded","Digital Visual Interface"
http://www.amphenolltw.com/download/product_category/product_category-694.pdf,-,HP-19AFMM-SL7A01-ND,HP-19AFMM-SL7A01,Amphenol LTW,HDMI,0,0,"19.08100","0","10","-","Active","HDMI-A Male to Cable","3.3' (1.00m)","Round","Black","-","High Definition Multimedia Interface"
