Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency Range","Type","Current Rating (Amps)","Inductance","ET (Volt-Time)","Turns Ratio - Primary:Secondary","Current Ratio","DC Resistance (DCR)","Ratings","Mounting Type","Size / Dimension","Height - Seated (Max)","Termination Style"
http://catalog.triadmagnetics.com/Asset/CST306-3T.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/HIGH%20FREQUENCY%20%20FIG.2%20T%20SERIES.jpg,237-1109-ND,CST306-3T,Triad Magnetics,CURR SENSE XFMR 25A T/H,721,989,"5.48000","0","1","Bulk","CST","Active","20kHz ~ 200kHz","Non-Invasive (Solid Core)","25A","55mH","2000VµS","-","200CT:1","3.75Ohm Max","-","Through Hole","0.690"" L x 0.385"" W (17.53mm x 9.78mm)","0.915"" (23.24mm)","PC Pin"
http://www.talema.com/uploads/documents/product-datasheets/AC%20Series.pdf,"//media.digikey.com/photos/Amveco%20Magnetics%20Photos/AC-1005,%20AC-1010,%20AC-1015,%20AC-1020.jpg",1295-1095-ND,AC1020,Talema Group LLC,CURR SENSE XFMR 20A T/H,16446,0,"5.81000","0","1","Tube","AC","Active","50/60Hz","Non-Invasive (Solid Core)","20A","-","-","-","1000:1","41.8Ohm","-","Through Hole","0.937"" L x 0.438"" W (23.80mm x 11.12mm)","0.937"" (23.80mm)","PC Pin"
http://www.talema.com/uploads/documents/product-datasheets/AC%20Series.pdf,//media.digikey.com/photos/Talema%20Group%20LLC/MFG_AC1020.jpg,1295-1097-ND,AC1015,Talema Group LLC,CURR SENSE XFMR 15A T/H,6585,0,"5.81000","0","1","Tube","AC","Active","50/60Hz","Non-Invasive (Solid Core)","15A","-","-","-","1000:1","41.8Ohm","-","Through Hole","0.937"" L x 0.438"" W (23.80mm x 11.12mm)","0.937"" (23.80mm)","PC Pin"
http://www.talema.com/uploads/documents/product-datasheets/AC%20Series.pdf,//media.digikey.com/photos/Talema%20Group%20LLC/MFG_AC1020.jpg,1295-1102-ND,AC1010,Talema Group LLC,CURR SENSE XFMR 10A T/H,4325,0,"5.81000","0","1","Tube","AC","Active","50/60Hz","Non-Invasive (Solid Core)","10A","-","-","-","1000:1","41.8Ohm","-","Through Hole","0.937"" L x 0.438"" W (23.80mm x 11.12mm)","0.937"" (23.80mm)","PC Pin"
http://www.talema.com/uploads/documents/product-datasheets/AC%20Series.pdf,//media.digikey.com/photos/Talema%20Group%20LLC/MFG_AC1020.jpg,1295-1101-ND,AC1005,Talema Group LLC,CURR SENSE XFMR 5A T/H,2986,0,"5.81000","0","1","Tray","AC","Active","50/60Hz","Non-Invasive (Solid Core)","5A","-","-","-","1000:1","41.8Ohm","-","Through Hole","0.937"" L x 0.438"" W (23.80mm x 11.12mm)","0.937"" (23.80mm)","PC Pin"
http://www.talema.com/uploads/documents/product-datasheets/AC%20Series.pdf,//media.digikey.com/photos/Talema%20Group%20LLC/MFG_AC1025.jpg,1295-1098-ND,AC1030,Talema Group LLC,CURR SENSE XFMR 30A T/H,2056,0,"6.44000","0","1","Tube","AC","Active","50/60Hz","Non-Invasive (Solid Core)","30A","-","-","-","1000:1","48Ohm","-","Through Hole","1.189"" L x 0.563"" W (30.20mm x 14.30mm)","1.189"" (30.20mm)","PC Pin"
http://www.talema.com/uploads/documents/product-datasheets/AC%20Series.pdf,//media.digikey.com/photos/Talema%20Group%20LLC/MFG_AC1060.jpg,1295-1099-ND,AC1060,Talema Group LLC,CURR SENSE XFMR 60A T/H,1566,0,"6.57000","0","1","Tube","AC","Active","50/60Hz","Non-Invasive (Solid Core)","60A","-","-","-","1000:1","24Ohm","-","Through Hole","1.500"" L x 0.626"" W (38.10mm x 15.90mm)","1.500"" (38.10mm)","PC Pin"
http://www.talema.com/uploads/documents/product-datasheets/AC%20Series.pdf,//media.digikey.com/photos/Talema%20Group%20LLC/MFG_AC1050.jpg,1295-1100-ND,AC1050,Talema Group LLC,CURR SENSE XFMR 50A T/H,1990,0,"6.75000","0","1","Tube","AC","Active","50/60Hz","Non-Invasive (Solid Core)","50A","-","-","-","1000:1","49.3Ohm","-","Through Hole","1.374"" L x 0.563"" W (34.90mm x 14.30mm)","1.374"" (34.90mm)","PC Pin"
https://www.amgistoroids.com/userfiles/pdf/CT1020.pdf,//media.digikey.com/Photos/AlfaMag%20Electronics%20Photos/MFG_CT%20series.jpg,TE2276-ND,CT-1020,"Amgis, LLC",CURR SENSE XFMR 20A T/H,5004,0,"7.01000","0","1","Tray","CT","Active","50/60Hz","Non-Invasive (Solid Core)","20A","-","-","-","1000:1","41.8Ohm","-","Through Hole","0.937"" L x 0.438"" W (23.80mm x 11.12mm)","0.937"" (23.80mm)","PC Pin"
https://www.amgistoroids.com/userfiles/pdf/CT1010.pdf,//media.digikey.com/Photos/AlfaMag%20Electronics%20Photos/MFG_CT%20series.jpg,TE2274-ND,CT-1010,"Amgis, LLC",CURR SENSE XFMR 10A T/H,1254,2500,"7.01000","0","1","Tray","CT","Active","50/60Hz","Non-Invasive (Solid Core)","10A","-","-","-","1000:1","41.8Ohm","-","Through Hole","0.937"" L x 0.438"" W (23.80mm x 11.12mm)","0.937"" (23.80mm)","PC Pin"
