Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage - Primary","Voltage - Secondary","Power (Watts)","1st Connector","2nd Connector"
//media.digikey.com/pdf/Data%20Sheets/AlfaMag%20Elect%20PDFs/MEDBOX_Series.pdf,"//media.digikey.com/Photos/Amgis,%20LLC/MFG_MEDBOX-0900,1200,1800.jpg",TE2305-ND,MEDBOX-0900,"Amgis, LLC",XFRMR MED GRADE ISLTD 120V/120V,0,10,"668.36000","0","1","MEDBOX","Active","Isolation, Medical Grade","120V","120V","900VA","NEMA 5-15P","NEMA 5-15R (8)"
http://www.emerson.com/resource/blob/164082/d714ce434f5d69386623bd943037ed6e/shdcat-buck-boost-data.pdf,-,2106-HS22F5A-ND,HS22F5A,SolaHD,5KVA 240X480-24/48 BB,0,0,"703.50000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-ES5H15S-ND,ES5H15S,SolaHD,15KVA 240X480-120/240 1PH,0,0,"811.19000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT631H11S-ND,DT631H11S,SolaHD,11KVA 575D-230Y SCR DRIVE,0,0,"852.61000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT651H11S-ND,DT651H11S,SolaHD,11KVA 460D-460Y SCR DRIVE,0,0,"852.61000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT661H11S-ND,DT661H11S,SolaHD,11KVA 460D-230Y SCR DRIVE,0,0,"852.61000","0","1","*","Active","-","-","-","-","-","-"
-,-,2106-DT661F7.5S-ND,DT661F7.5S,SolaHD,7.5KVA 460D-230Y SCR DRIVE,0,0,"915.25000","0","1","*","Active","-","-","-","-","-","-"
-,-,2106-DT631F7.5S-ND,DT631F7.5S,SolaHD,7.5KVA 575D-230Y SCR DRIVE,0,0,"942.17000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT631H14S-ND,DT631H14S,SolaHD,14KVA 575D-230Y SCR DRIVE,0,0,"945.34000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT651H14S-ND,DT651H14S,SolaHD,14KVA 460D-460Y SCR DRIVE,0,0,"945.34000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT661H14S-ND,DT661H14S,SolaHD,14KVA 460D-230Y SCR DRIVE,0,0,"945.34000","0","1","*","Active","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/AlfaMag%20Elect%20PDFs/MEDBOX_Series.pdf,"//media.digikey.com/Photos/Amgis,%20LLC/MFG_MEDBOX-0900,1200,1800.jpg",TE2307-ND,MEDBOX-1800,"Amgis, LLC",XFRMR MED GRADE ISLTD 120V/120V,0,8,"947.10000","0","1","MEDBOX","Active","Isolation, Medical Grade","120V","120V","1800VA","NEMA 5-20P","NEMA 5-20R (8)"
-,-,2106-DT651F7.5S-ND,DT651F7.5S,SolaHD,7.5KVA 460D-460Y SCR DRIVE,0,0,"961.02000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E5H15-ND,E5H15,SolaHD,15KVA 480D-240DCT NO ESS,0,0,"966.37000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E2H15S-ND,E2H15S,SolaHD,DRY DISTRN XMFR 15KVA 480D-208Y,0,0,"980.21000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E2H15-ND,E2H15,SolaHD,15KVA 480D-208Y NO ESS,0,0,"987.38000","0","1","*","Active","-","-","-","-","-","-"
https://belfuse.com/resources/DU-SU.pdf,-,DU-7.5-ND,DU-7.5,Signal Transformer,XFRMR ISO PWR 7.5KVA 31/62A,0,0,"1000.73000","0","1","DU","Active","Isolation","104V, 110V, 120V, 208V, 220V, 230V, 240V","104V, 110V, 120V, 208V, 220V, 230V, 240V","7500VA","Screw Terminal","Screw Terminal"
https://belfuse.com/resources/DU-SU.pdf,-,SU-7.5-ND,SU-7.5,Signal Transformer,XFRMR ISO PWR 7.5KVA 15.5/31A,0,0,"1003.65000","0","1","SU","Active","Isolation","104V, 110V, 120V, 208V, 220V, 230V, 240V","208V, 220V, 240V, 416V, 440V, 460V, 480V","7500VA","Screw Terminal","Screw Terminal"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E5H15S-ND,E5H15S,SolaHD,DRY DISTRN XMFR 15KVA 480D-240DC,0,0,"1029.55000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-ES5H25S-ND,ES5H25S,SolaHD,25KVA 240X480-120/240 1PH,0,0,"1115.04000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT631H20S-ND,DT631H20S,SolaHD,20KVA 575D-230Y SCR DRIVE,0,0,"1130.74000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT651H20S-ND,DT651H20S,SolaHD,20KVA 460D-460Y SCR DRIVE,0,0,"1130.74000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT661H20S-ND,DT661H20S,SolaHD,20KVA 460D-230Y SCR DRIVE,0,0,"1130.74000","0","1","*","Active","-","-","-","-","-","-"
-,-,2106-HS19F7.5A-ND,HS19F7.5A,SolaHD,7.5KVA 120X240-12/24 BB,0,0,"1157.69000","0","1","*","Active","-","-","-","-","-","-"
-,-,2106-HS20F7.5A-ND,HS20F7.5A,SolaHD,7.5KVA 120X240-16/32 BB,0,0,"1157.69000","0","1","*","Active","-","-","-","-","-","-"
-,-,2106-HS22F7.5A-ND,HS22F7.5A,SolaHD,7.5KVA 240X480-24/48 BB,0,0,"1157.69000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-ES12H15S-ND,ES12H15S,SolaHD,15KVA 120//277-120/240,0,0,"1202.99000","0","1","*","Active","-","-","-","-","-","-"
