Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Applications","Intended Chipset","Chipset Manufacturer","Voltage - Primary","Voltage - Auxiliary","Voltage - Isolation","Inductance @ Frequency","Frequency","Operating Temperature","Mounting Type","Size / Dimension","Height - Seated (Max)","Footprint","Style"
https://katalog.we-online.de/pbs/datasheet/749196141.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_749196141.jpg,1297-1196-6-ND,749196141,Wurth Electronics Midcom,WE-FLEX FLEXIBLE TRANSFORMER FOR,678,0,"Digi-Reel","0","1","Digi-Reel®","WE-FLEX","Active","For DC/DC Converters","Flexible","-","-","-","-","500Vrms","8.5µH @ 10kHz","-","-40°C ~ 125°C","Surface Mount","0.508"" L x 0.362"" W (12.90mm x 9.20mm)","0.244"" (6.20mm)","0.508"" L x 0.559"" W (12.90mm x 14.20mm)","-"
https://katalog.we-online.de/ctm/datasheet/750313974.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_TRANS%20FLYBACK.jpg,1297-1141-2-ND,750313974,Wurth Electronics Midcom,TRANS FLYBACK LT8301,750,0,"3.43000","0","250","Tape & Reel (TR)","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8301","Linear Technology","8 ~ 32V","-","1500Vrms","40µH @ 10kHz","200 ~ 300kHz","-","Surface Mount","-","0.450"" (11.43mm)","0.525"" L x 0.600"" W (13.34mm x 15.24mm)","-"
https://katalog.we-online.de/ctm/datasheet/750313974.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_TRANS%20FLYBACK.jpg,1297-1141-1-ND,750313974,Wurth Electronics Midcom,TRANS FLYBACK LT8301,912,0,"4.93000","0","1","Cut Tape (CT)","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8301","Linear Technology","8 ~ 32V","-","1500Vrms","40µH @ 10kHz","200 ~ 300kHz","-","Surface Mount","-","0.450"" (11.43mm)","0.525"" L x 0.600"" W (13.34mm x 15.24mm)","-"
https://katalog.we-online.de/ctm/datasheet/750313974.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_TRANS%20FLYBACK.jpg,1297-1141-6-ND,750313974,Wurth Electronics Midcom,TRANS FLYBACK LT8301,912,0,"Digi-Reel","0","1","Digi-Reel®","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8301","Linear Technology","8 ~ 32V","-","1500Vrms","40µH @ 10kHz","200 ~ 300kHz","-","Surface Mount","-","0.450"" (11.43mm)","0.525"" L x 0.600"" W (13.34mm x 15.24mm)","-"
https://katalog.we-online.de/pbs/datasheet/750312559.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/75031255x.JPG,1297-1021-2-ND,750312559,Wurth Electronics Midcom,FLYBACK TRANSFORMER WE-FB LT8300,1200,0,"3.47400","0","400","Tape & Reel (TR)","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8300","Linear Technology","36 ~ 72V","-","1500Vrms","300µH @ 10kHz","70kHz","-40°C ~ 125°C","Surface Mount","-","0.342"" (8.69mm)","0.400"" L x 0.526"" W (10.16mm x 13.36mm)","-"
https://katalog.we-online.de/pbs/datasheet/750312559.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/75031255x.JPG,1297-1021-1-ND,750312559,Wurth Electronics Midcom,FLYBACK TRANSFORMER WE-FB LT8300,1337,0,"4.17000","0","1","Cut Tape (CT)","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8300","Linear Technology","36 ~ 72V","-","1500Vrms","300µH @ 10kHz","70kHz","-40°C ~ 125°C","Surface Mount","-","0.342"" (8.69mm)","0.400"" L x 0.526"" W (10.16mm x 13.36mm)","-"
https://katalog.we-online.de/pbs/datasheet/750312559.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/75031255x.JPG,1297-1021-6-ND,750312559,Wurth Electronics Midcom,FLYBACK TRANSFORMER WE-FB LT8300,1337,0,"Digi-Reel","0","1","Digi-Reel®","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8300","Linear Technology","36 ~ 72V","-","1500Vrms","300µH @ 10kHz","70kHz","-40°C ~ 125°C","Surface Mount","-","0.342"" (8.69mm)","0.400"" L x 0.526"" W (10.16mm x 13.36mm)","-"
https://katalog.we-online.de/ctm/datasheet/750312366.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/75031236x.jpg,1297-1016-2-ND,750312366,Wurth Electronics Midcom,POE TRANSFORMER WE-POE LT8300,800,0,"3.47400","0","400","Tape & Reel (TR)","WE-UNIT, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8300","Linear Technology","18 ~ 75V","-","1500Vrms","400µH @ 10kHz","100kHz","-40°C ~ 125°C","Surface Mount","-","0.340"" (8.64mm)","0.400"" L x 0.526"" W (10.16mm x 13.36mm)","-"
https://katalog.we-online.de/ctm/datasheet/750312366.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/75031236x.jpg,1297-1016-1-ND,750312366,Wurth Electronics Midcom,POE TRANSFORMER WE-POE LT8300,1154,0,"4.17000","0","1","Cut Tape (CT)","WE-UNIT, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8300","Linear Technology","18 ~ 75V","-","1500Vrms","400µH @ 10kHz","100kHz","-40°C ~ 125°C","Surface Mount","-","0.340"" (8.64mm)","0.400"" L x 0.526"" W (10.16mm x 13.36mm)","-"
https://katalog.we-online.de/ctm/datasheet/750312366.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/75031236x.jpg,1297-1016-6-ND,750312366,Wurth Electronics Midcom,POE TRANSFORMER WE-POE LT8300,1154,0,"Digi-Reel","0","1","Digi-Reel®","WE-UNIT, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8300","Linear Technology","18 ~ 75V","-","1500Vrms","400µH @ 10kHz","100kHz","-40°C ~ 125°C","Surface Mount","-","0.340"" (8.64mm)","0.400"" L x 0.526"" W (10.16mm x 13.36mm)","-"
https://katalog.we-online.com/ctm/download/750342879.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_750342879.jpg,1297-1219-2-ND,750342879,Wurth Electronics Midcom,PUSH-PULL TRANSFORMER WE-PP,500,0,"3.56840","0","500","Tape & Reel (TR)","WE-FB, MID-IBTI","Active","For DC/DC Converters","Forward, Push-Pull Converters","-","Texas Instruments","5V","-","3750Vrms","50µH @ 100kHz","420kHz","-40°C ~ 125°C","Surface Mount","0.360"" L x 0.315"" W (9.14mm x 8.00mm)","0.300"" (7.62mm)","-","-"
https://katalog.we-online.com/ctm/download/750342879.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_750342879.jpg,1297-1219-1-ND,750342879,Wurth Electronics Midcom,PUSH-PULL TRANSFORMER WE-PP,863,0,"4.87000","0","1","Cut Tape (CT)","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://katalog.we-online.com/ctm/download/750342879.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_750342879.jpg,1297-1219-6-ND,750342879,Wurth Electronics Midcom,PUSH-PULL TRANSFORMER WE-PP,863,0,"Digi-Reel","0","1","Digi-Reel®","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://katalog.we-online.de/ctm/datasheet/750313972.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_TRANS%20FLYBACK.jpg,1297-1139-2-ND,750313972,Wurth Electronics Midcom,TRANS FLYBACK LT8301,1000,0,"3.82400","0","250","Tape & Reel (TR)","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8301","Linear Technology","18 ~ 42V","-","1500Vrms","40µH @ 10kHz","200 ~ 300kHz","-","Surface Mount","-","0.450"" (11.43mm)","0.525"" L x 0.600"" W (13.34mm x 15.24mm)","-"
https://katalog.we-online.de/ctm/datasheet/750313972.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_TRANS%20FLYBACK.jpg,1297-1139-1-ND,750313972,Wurth Electronics Midcom,TRANS FLYBACK LT8301,1278,0,"5.50000","0","1","Cut Tape (CT)","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8301","Linear Technology","18 ~ 42V","-","1500Vrms","40µH @ 10kHz","200 ~ 300kHz","-","Surface Mount","-","0.450"" (11.43mm)","0.525"" L x 0.600"" W (13.34mm x 15.24mm)","-"
