Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Turns Ratio - Primary:Secondary","Impedance - Primary (Ohms)","Impedance - Secondary (Ohms)","DC Resistance (DCR) - Primary","DC Resistance (DCR) - Secondary","Transformer Type","Frequency Range","Frequency Response","Voltage - Isolation","Insertion Loss","Return Loss","Power Level","Operating Temperature","Approvals","Mounting Type","Size / Dimension","Height - Seated (Max)","Termination Style"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-59.pdf,"//media.digikey.com/photos/Tamura%20Photos/MET-01,%20MET-05,%20MET-09,%20MET-11,%20MET-17,%20MET-32,%20MET-31,%20MET-38,%20MET-59.jpg",MT4152-ND,MET-59,Tamura,TRANSFORMER 600:600CT 3.0MADC,497,0,"12.67000","0","1","Bulk","MET","Active","2:1:1","600","600, 150/150","70Ohm","95Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 30 Seconds","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-31.pdf,"//media.digikey.com/photos/Tamura%20Photos/MET-01,%20MET-05,%20MET-09,%20MET-11,%20MET-17,%20MET-32,%20MET-31,%20MET-38,%20MET-59.jpg",MT4111-ND,MET-31,Tamura,TRANSFORMER 600CT:600CT 3.0MADC,5826,0,"12.83000","0","1","Bulk","MET","Active","1:1","600CT","600CT","70Ohm","95Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 30 Seconds","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
http://catalog.triadmagnetics.com/Asset/MET-09-T.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/MET-Series.jpg,237-1468-ND,MET-09-T,Triad Magnetics,TRANSFORMER 10KCT:10KCT 1.0MADC,3217,0,"12.93000","0","1","Bulk","MET","Active","1:1","10kCT","10kCT","1kOhm","1.3kOhm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","500VRMS @ 1 Second","-","-","40mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-01.pdf,"//media.digikey.com/photos/Tamura%20Photos/MET-01,%20MET-05,%20MET-09,%20MET-11,%20MET-17,%20MET-32,%20MET-31,%20MET-38,%20MET-59.jpg",MT4143-ND,MET-01,Tamura,TRANSFORMER 200KCT:1KCT 0.0MADC,2541,0,"14.06000","0","1","Bulk","MET","Active","14.1:1","200kCT","1kCT","5.3kOhm","120Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","500VRMS @ 30 Seconds","-","-","10mW Max @ 300Hz","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-09.pdf,"//media.digikey.com/photos/Tamura%20Photos/MET-01,%20MET-05,%20MET-09,%20MET-11,%20MET-17,%20MET-32,%20MET-31,%20MET-38,%20MET-59.jpg",MT4145-ND,MET-09,Tamura,TRANSFORMER 10KCT:10KCT 1.0MADC,4432,0,"15.07000","0","1","Bulk","MET","Active","1:1","10kCT","10kCT","1kOhm","1.3kOhm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","500VRMS @ 30 Seconds","-","-","40mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
http://catalog.triadmagnetics.com/Asset/SP-33.pdf,"//media.digikey.com/photos/Triad%20Magnetics%20Photos/SP-33,%20SP-70.jpg",237-1144-ND,SP-33,Triad Magnetics,TRANS 1K/50 OHM IMPEDANCE AUDIO,1953,1967,"16.27000","0","1","Bulk","Red-Spec","Active","4.4:1","1k","50","145Ohm","8Ohm","Audio Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-40°C ~ 85°C","-","Through Hole","0.410"" L x 0.310"" W (10.41mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
http://catalog.triadmagnetics.com/Asset/SP-66.pdf,"//media.digikey.com/photos/Triad%20Magnetics%20Photos/SP-4,%20SP-21,%20SP-66,%20SP-67,%20SP-69.jpg",237-1151-ND,SP-66,Triad Magnetics,TRANSER 10K CT/ 10K CT AUDIO,2300,513,"16.29000","0","1","Bulk","Red-Spec","Active","1:1","10kCT","10kCT","1kOhm","1.3kOhm","Audio Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-40°C ~ 85°C","-","Through Hole","0.410"" L x 0.310"" W (10.41mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
http://catalog.triadmagnetics.com/Asset/SP-48.pdf,"//media.digikey.com/photos/Triad%20Magnetics%20Photos/SP-42,%20SP-48,%20SP-51.jpg",237-1146-ND,SP-48,Triad Magnetics,TRANSER 7.5K CT/ 12 OHM AUDIO,3343,1965,"16.44000","0","1","Bulk","Red-Spec","Active","25:1","7.5kCT","12","796Ohm","2.9Ohm","Audio Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-40°C ~ 85°C","-","Through Hole","0.410"" L x 0.310"" W (10.41mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
http://catalog.triadmagnetics.com/Asset/SP-67.pdf,"//media.digikey.com/photos/Triad%20Magnetics%20Photos/SP-4,%20SP-21,%20SP-66,%20SP-67,%20SP-69.jpg",237-1152-ND,SP-67,Triad Magnetics,TRANSER 600 CT/ 600 CT AUDIO,4965,0,"17.63000","0","1","Bulk","Red-Spec","Active","1:1","600CT","600CT","72Ohm","92Ohm","Audio Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-40°C ~ 85°C","-","Through Hole","0.410"" L x 0.310"" W (10.41mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
http://catalog.triadmagnetics.com/Asset/SP-70.pdf,"//media.digikey.com/photos/Triad%20Magnetics%20Photos/SP-33,%20SP-70.jpg",237-1155-ND,SP-70,Triad Magnetics,TRANS 600/ 600 OHM AUDIO,4497,6035,"17.63000","0","1","Bulk","Red-Spec","Active","1:1","600","600","72Ohm","92Ohm","Audio Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-40°C ~ 85°C","-","Through Hole","0.410"" L x 0.310"" W (10.41mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
