Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Inductance","For Use With/Related Products","Mounting Type","Size / Dimension","Height - Seated (Max)"
https://www.murata-ps.com/data/magnetics/kmp_78253.pdf,//media.digikey.com/Photos/Murata%20Photos/78253T-SERIES.jpg,811-1271-5-ND,78253/55C,Murata Power Solutions Inc.,XFRMR 5V IN/OUT MAX 253 DIP,4485,0,"2.66000","0","1","78253","Active","830µH","MAX253","Through Hole","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.260"" (6.60mm)"
https://www.murata-ps.com/data/magnetics/kmp_78253.pdf,//media.digikey.com/Photos/Murata%20Photos/78253S-SERIES.jpg,811-1270-5-ND,78253/55MC,Murata Power Solutions Inc.,XFRMR 5V IN/OUT MAX 253 SMD,4009,0,"2.66000","0","1","78253","Not For New Designs","830µH","MAX253","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.260"" (6.60mm)"
https://www.murata-ps.com/data/magnetics/kmp_78253j.pdf,//media.digikey.com/Photos/Murata%20Photos/DA103MC.JPG,811-2415-ND,78253/55JC,Murata Power Solutions Inc.,XFRMR 1:1.31 SMD MAX253,347,0,"2.66000","0","1","78253J","Active","360µH","MAX253","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.260"" (6.60mm)"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20PDFs/PE-65x12_Rev2006.pdf,//media.digikey.com/Photos/Pulse%20Photos/MFG_PE-65812NL.JPG,553-1775-2-ND,PE-65812NLT,Pulse Electronics Network,XFRMR DIGITAL AUDIO 1:1 2.5MH,1750,0,"2.68952","0","250","-","Active","2.5mH","-","Surface Mount","0.475"" L x 0.460"" W (12.07mm x 11.68mm)","0.340"" (8.64mm)"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20PDFs/PE-65x12_Rev2006.pdf,//media.digikey.com/Photos/Pulse%20Photos/MFG_PE-65812NL.JPG,553-1775-1-ND,PE-65812NLT,Pulse Electronics Network,XFRMR DIGITAL AUDIO 1:1 2.5MH,1920,0,"5.20000","0","1","-","Active","2.5mH","-","Surface Mount","0.475"" L x 0.460"" W (12.07mm x 11.68mm)","0.340"" (8.64mm)"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20PDFs/PE-65x12_Rev2006.pdf,//media.digikey.com/Photos/Pulse%20Photos/MFG_PE-65812NL.JPG,553-1775-6-ND,PE-65812NLT,Pulse Electronics Network,XFRMR DIGITAL AUDIO 1:1 2.5MH,1920,0,"Digi-Reel","0","1","-","Active","2.5mH","-","Surface Mount","0.475"" L x 0.460"" W (12.07mm x 11.68mm)","0.340"" (8.64mm)"
https://www.murata-ps.com/data/magnetics/kmp_78253.pdf,//media.digikey.com/Photos/Murata%20Photos/78253S-SERIES.jpg,811-2317-2-ND,78253/55MVC-R,Murata Power Solutions Inc.,XFRMR 5V IN/OUT MAX 253 SMD,16000,0,"2.71000","0","500","78253","Not For New Designs","240µH","MAX253","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.260"" (6.60mm)"
https://www.murata-ps.com/data/magnetics/kmp_78253.pdf,//media.digikey.com/Photos/Murata%20Photos/78253S-SERIES.jpg,811-2317-1-ND,78253/55MVC-R,Murata Power Solutions Inc.,XFRMR 5V IN/OUT MAX 253 SMD,16331,0,"2.97000","0","1","78253","Not For New Designs","240µH","MAX253","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.260"" (6.60mm)"
https://www.murata-ps.com/data/magnetics/kmp_78253.pdf,//media.digikey.com/Photos/Murata%20Photos/78253S-SERIES.jpg,811-2317-6-ND,78253/55MVC-R,Murata Power Solutions Inc.,XFRMR 5V IN/OUT MAX 253 SMD,16331,0,"Digi-Reel","0","1","78253","Not For New Designs","240µH","MAX253","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.260"" (6.60mm)"
http://productfinder.pulseeng.com/products/datasheets/P774.pdf,//media.digikey.com/Photos/Pulse%20Photos/MFG_PH9400.jpg,553-3354-2-ND,PH9400.111ANLT,Pulse Electronics Power,XFMR GATE DRIVE SIDE CAR SMT,2100,0,"2.94100","0","150","PH9400","Active","1.21mH","-","Surface Mount","0.657"" L x 0.500"" W (16.70mm x 12.70mm)","0.559"" (14.20mm)"
