Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Specifications"
http://downloadt.advantech.com/ProductFile/PIS/ARK-2150L/Product%20-%20Datasheet/ARK-2150L_DS(04.20.16)20160422104551.pdf,-,1700000237-ND,1700000237,Advantech Corp,PWR CBL 180CM PSE 1757004523-01,0,0,"3.99000","0","1","-","Active","Power Cord","Power Cable, 180cm, PSE"
http://downloadt.advantech.com/ProductFile/PIS/ARK-3360L/Product%20-%20Datasheet/ARK-3360L_DS(12.25.15)20151225171345.pdf,-,1700008921-ND,1700008921,Advantech Corp,PWR CBL PSE 183CM 1757004096-01,0,0,"3.99000","0","1","-","Active","Power Cord","Power Cable, 183cm, PSE"
http://downloadt.advantech.com/ProductFile/PIS/UBC-200/Product%20-%20Datasheet/UBC-200_DS(03.10.16)20160316105517.pdf,-,1700017968-ND,1700017968,Advantech Corp,CABLE DC-JACK PLUG-IN,0,0,"3.99000","0","1","-","Active","Cable","DC-Jack/Plug-in cable"
http://downloadt.advantech.com/ProductFile/PIS/UNO-P166/Product%20-%20Datasheet/UNO-P166_DS20120823135212.pdf,-,1702002600-ND,1702002600,Advantech Corp,POWER CBL FOR 1757002742 US PLUG,0,0,"3.99000","0","1","-","Active","Power Cord","Power Cable, 180cm, USA"
http://downloadt.advantech.com/ProductFile/PIS/UNO-P166/Product%20-%20Datasheet/UNO-P166_DS20120823135212.pdf,-,1702002605-ND,1702002605,Advantech Corp,POWER CBL FOR 1757002742 EU PLUG,0,0,"3.99000","0","1","-","Active","Power Cord","Power Cable, 180cm, EU"
http://downloadt.advantech.com/ProductFile/PIS/UNO-P166/Product%20-%20Datasheet/UNO-P166_DS20120823135212.pdf,-,1700001524-ND,1700001524,Advantech Corp,PWR CORD 180CM 1757004096-01 USA,0,0,"3.99000","0","1","-","Active","Power Cord","Power Cable, 180cm, USA"
//media.digikey.com/pdf/Data%20Sheets/VersaLogic%20PDFs/VL-CBR-0702.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/MFG_VL-CBR-0702.jpg,VL-CBR-0702-ND,VL-CBR-0702,VersaLogic Corporation,CABLE SATA LATCHING 19.75"",0,0,"4.00000","0","10","-","Active","Cable","19.75"" SATA Cable, Latching"
http://downloadt.advantech.com/ProductFile/PIS/PCM-3355/Product%20-%20Datasheet/PCM-3355_DS(01.15.14)20140205144837.pdf,-,165312022B-ND,165312022B,Advantech Corp,PC/104 CONN 40PIN LONG,0,0,"4.04000","0","1","-","Active","Hardware","PC/104 Connector 40-Pin (Long Pin)"
http://advdownload.advantech.com/productfile/PIS/DS-370/Product%20-%20Datasheet/DS-370_DS(05.02.17)20170502133633.pdf,-,1700019146-ND,1700019146,Advantech Corp,POWER CORD 3PIN CCC CHINA,0,0,"4.07000","0","1","-","Active","Power Cord","Power Cable, China"
http://downloadt.advantech.com/ProductFile/PIS/UBC-200/Product%20-%20Datasheet/UBC-200_DS(03.10.16)20160316105517.pdf,-,1750007050-01-ND,1750007050-01,Advantech Corp,CBL WIFI RF-SMA SHORT-UFL 100MM,0,0,"4.10000","0","1","-","Active","Cable","WiFi Cable"
http://downloadt.advantech.com/ProductFile/PIS/UBC-200/Product%20-%20Datasheet/UBC-200_DS(03.10.16)20160316105517.pdf,-,1750007156-01-ND,1750007156-01,Advantech Corp,CBL 3G CELL GPS SMA SHORT JACK,0,0,"4.92000","0","1","-","Active","Cable","3G Cable"
http://advdownload.advantech.com/productfile/PIS/UTX-3115/Product%20-%20Datasheet/UTX-3115%20A2_DS(06.01.17)20170601133644.pdf,-,1700018705-ND,1700018705,Advantech Corp,PWR CBL 183CM 1757004522-01 EU,0,0,"5.00000","0","1","-","Active","Power Cord","Power Cable, 183cm, EU"
-,-,1700000237-01-ND,1700000237-01,Advantech Corp,PWR CBL 183CM 1757004522-01 UK,0,0,"5.01000","0","1","-","Active","Power Cord","Power Cable, 183cm, PSE"
http://advdownload.advantech.com/productfile/Downloadfile/1-150B8J/1701340700_ds.pdf,-,1701400181-ND,1701400181,Advantech Corp,CABLE KIT 1 - 4 SERIAL PORT 18CM,0,0,"5.32000","0","1","-","Active","Cable Kit","1-4 Serial Ports, 18cm"
http://downloadt.advantech.com/ProductFile/PIS/AIMB-274/Product%20-%20Datasheet/AIMB-274_DS(06.16.16)20160616160654.pdf,-,1703100350-ND,1703100350,Advantech Corp,USB CABLE W/2 PORTS 34.5CM,0,0,"5.61000","0","1","-","Active","Cable","USB Cable, 34.5cm"
http://downloadt.advantech.com/ProductFile/PIS/PCM-3355/Product%20-%20Datasheet/PCM-3355_DS(01.15.14)20140205144837.pdf,-,165313222B-ND,165313222B,Advantech Corp,PC/104 CONN 64PIN LONG,0,0,"5.85000","0","1","-","Active","Hardware","PC/104 Connector 64-Pin (Long Pin)"
http://downloadt.advantech.com/download/downloadlit.aspx?LIT_ID=1-241KPJ,-,1700003195-ND,1700003195,Advantech Corp,USB CABLE W/2 PORTS 17.5CM,0,0,"6.56000","0","1","-","Active","Cable","USB Cable, 17.5cm"
//media.digikey.com/pdf/Data%20Sheets/VersaLogic%20PDFs/VL-CBR-0701.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/MFG_L-CBR-0701.jpg,VL-CBR-0701-ND,VL-CBR-0701,VersaLogic Corporation,CABLE SATA 40 CABLE NONLATCH,0,0,"6.56300","0","10","-","Active","Cable","19.75"" SATA Cable"
http://downloadt.advantech.com/ProductFile/PIS/PCI-7032/Product%20-%20Datasheet/PCI-7032_DS(02.13.15)20150213142735.pdf,-,1703100261-ND,1703100261,Advantech Corp,USB CABLE W/2 PORTS 26CM,0,0,"7.02000","0","1","-","Active","Cable Kit","USB Cable"
//media.digikey.com/pdf/Data%20Sheets/Advantech%20PDFs/AIMB-267_KIOSK.pdf,-,1700000447-ND,1700000447,Advantech Corp,CABLE KIT 1 - 4 SERIAL PORT 45CM,0,0,"7.26000","0","1","-","Active","Cable Kit","1-4 Serial Ports, 45cm"
http://advdownload.advantech.com/productfile/Downloadfile1/1-TLBP7D/UTC-500_Series_User_Manual_Ed%201-FINAL.pdf,-,1700018704-ND,1700018704,Advantech Corp,PWR CBL 183CM 1757004522-01 UK,0,0,"7.39000","0","1","-","Active","Power Cord","Power Cable, 183cm, UK"
http://advdownload.advantech.com/productfile/PIS/PCM-9375/Product%20-%20Datasheet/PCM-9375_DS(03.21.18)20180321173256.pdf,-,1700002212-ND,1700002212,Advantech Corp,CABLE LPT FOR 9696937580E,0,0,"7.98000","0","1","-","Active","Cable","LPT Cable, 10cm, 1.27mm Pitch"
http://downloadt.advantech.com/ProductFile/PIS/UNO-P166/Product%20-%20Datasheet/UNO-P166_DS20120823135212.pdf,-,1702031801-ND,1702031801,Advantech Corp,POWER CBL FOR 1757002742 UK PLUG,0,0,"7.98000","0","1","-","Active","Power Cord","Power Cable, 180cm, UK"
http://advdownload.advantech.com/productfile/Downloadfile/1-150B8J/1701340700_ds.pdf,-,1703100121-ND,1703100121,Advantech Corp,USB CABLE W/2 PORTS 12CM,0,0,"7.98000","0","1","-","Active","Cable","USB Cable"
http://downloadt.advantech.com/ProductFile/PIS/ARK-3360L/Product%20-%20Datasheet/ARK-3360L_DS(12.25.15)20151225171345.pdf,-,170203180A-ND,170203180A,Advantech Corp,PWR CBL 180CM 175004096-01 UK,0,0,"7.98000","0","1","-","Active","Power Cord","Power Cable, 180cm, UK"
http://advdownload.advantech.com/productfile/PIS/ARK-1122F/Product%20-%20Datasheet/ARK-1122F_DS(07.25.17)20170817142851.pdf,-,170203183C-ND,170203183C,Advantech Corp,PWR CBL 180CM 175004096-01 EU,0,0,"7.98000","0","1","-","Active","Power Cord","Power Cable, 180cm, EU"
//media.digikey.com/pdf/Data%20Sheets/Advantech%20PDFs/AIMB-T1000_Series_Feb2015.pdf,-,1700022989-01-ND,1700022989-01,Advantech Corp,CABLE A USB-A/F 2/2 5P 2.0,0,0,"8.01000","0","1","-","Active","Cable","USB Cable, 345mm"
//media.digikey.com/pdf/Data%20Sheets/Advantech%20PDFs/Accessories_20-Jun-2012.pdf,-,1700008822-ND,1700008822,Advantech Corp,DVI CABLE SIMPLE TYPE,0,0,"8.19000","0","1","-","Active","Cable","DVI Cable"
//media.digikey.com/pdf/Data%20Sheets/VersaLogic%20PDFs/VL-CBR-4004A.pdf,-,VL-CBR-4004A-ND,VL-CBR-4004A,VersaLogic Corporation,CABLE IDE 12 40-PIN 2 MM,0,0,"8.43800","0","10","-","Active","Cable","I/O Cable and Paddleboard"
//media.digikey.com/pdf/Data%20Sheets/Advantech%20PDFs/PCA-6010_25-Apr-2011.pdf,-,1700008461-ND,1700008461,Advantech Corp,USB CABLE W/4 PORTS 30.5CM,0,0,"9.18000","0","1","-","Active","Cable","USB Cable, 30.5cm"
