Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Edition","License Length","License - User Details","Operating System","For Use With/Related Products","Media Delivery Type"
https://www.intel.com/content/dam/www/programmable/us/en/pdfs/literature/hb/qts/qts-qps-handbook.pdf,//media.digikey.com/Photos/Intel%20Photos/MFG_QUARTUS-PRIME.jpg,544-1247-ND,SW-QUARTUS-SE-FIX,Intel,QUARTUS PRIME SEFIX SUBSCRIPTION,4,0,"2995.01000","0","1","-","Active","Design Software","Programming","Standard","1 Year","Fixed Node","Linux, Windows","Altera","Electronically Delivered"
https://www.intel.com/content/dam/www/programmable/us/en/pdfs/literature/hb/qts/qts-qps-handbook.pdf,//media.digikey.com/Photos/Intel%20Photos/MFG_QUARTUS-PRIME.jpg,544-2692-ND,SW-QUARTUS-SE-FLT,Intel,QUARTUS PRIME SEFLT SUBSCRIPTION,3,0,"3995.02000","0","1","-","Active","Design Software","Programming","Standard","1 Year","Floating Node (1)","Linux, Windows","Altera","Electronically Delivered"
http://www.keil.com/product/brochures/uv4.pdf,//media.digikey.com/Photos/Keil%20Photos/CA51.jpg,PK51-T-ND,PK51-T,ARM,KIT PRO DEVELOPER 1 YR LICENSE,1,0,"1320.01000","0","1","-","Active","Professional Developer's Kit","Programming","Professional","-","-","Windows Vista, 7, 8","8051","-"
-,//media.digikey.com/Photos/Keil%20Photos/MFG_KEIL.jpg,MDK-PLUS-T-LC-ND,MDK-PLUS-T-LC,ARM,MDK-PLUS EDITION TERM,0,0,"2640.01000","0","1","-","Active","Integrated Development Environment (IDE)","Programming","Plus","1 Year","Fixed Node","Windows Vista, 7, 8 10","ARM®","Electronically Delivered"
http://www.keil.com/product/brochures/cx51.pdf,//media.digikey.com/Photos/Keil%20Photos/MFG_KEIL.jpg,PK51-ND,PK51,ARM,KIT PROFESSIONAL DEVELOPER 8051,0,0,"3295.02000","0","1","-","Active","Professional Developer's Kit","Programming","Professional","-","-","Windows Vista, 7, 8","8051","-"
-,//media.digikey.com/Photos/Keil%20Photos/MFG_KEIL.jpg,MDK-PLUS-LC-ND,MDK-PLUS-LC,ARM,MDK-PLUS EDITION PERP,0,0,"6600.03000","0","1","-","Active","Integrated Development Environment (IDE)","Programming","Plus","Perpetual","Fixed Node","Windows Vista, 7, 8 10","ARM®","Electronically Delivered"
//media.digikey.com/pdf/Data%20Sheets/KEIL%20PDFs/STM3240G4_LAB.PDF,//media.digikey.com/Photos/Keil%20Photos/MFG_KEIL.jpg,MDK-PRO-ND,MDK-PRO,ARM,MDK-ARM PRO WITH RL-ARM,1,0,"9500.05000","0","1","-","Active","Integrated Development Environment (IDE)","Programming","Professional","Perpetual","Fixed Node","Windows Vista, 7, 8 10","ARM®","-"
http://www.lcd-module.de/eng/pdf/zubehoer/usbstick-font.pdf,//media.digikey.com/photos/Electronic%20Assembly%20GmbH%20photos/EA%20USBSTICK-FONT.JPG,1481-1207-ND,EA USBSTICK-FONT,Display Visions,USB CHARACTER SET AND FONT EDITO,1,0,"140.96000","0","1","-","Active","Font Package","Display","-","-","-","-","-","USB Flash Drive"
http://cache.freescale.com/files/soft_dev_tools/doc/fact_sheet/BRCWPPI.pdf,//media.digikey.com/Photos/Freescale%20Photos/CWA-BASIC-NL.jpg,CWA-BASIC-NL-ND,CWA-BASIC-NL,NXP USA Inc.,SOFTWARE SUPPORT ANNUAL CW BASIC,1,0,"429.76000","0","1","CodeWarrior™","Active","Integrated Development Environment (IDE)","Programming","Basic","1 Year","Fixed Node","Linux, Windows","Code Warrior™ Software","USB Flash Drive"
-,//media.digikey.com/Photos/Renesas%20Tech%20Photos/YRTA-HEWSH-1U.jpg,YRTA-HEWSH-1U-ND,YRTA-HEWSH-1U,Renesas Electronics America,C COMPILER SH 1 USER,1,0,"2430.00000","0","1","HEW","Active","Integrated Development Environment (IDE)","Programming","Professional","Perpetual","1 User","Windows","SH","CD/DVD, USB Flash Drive"
//media.digikey.com/pdf/Data%20Sheets/KEIL%20PDFs/STM3240G4_LAB.PDF,//media.digikey.com/Photos/Keil%20Photos/MFG_KEIL.jpg,MDK-PRO-T-ND,MDK-PRO-T,ARM,MDK-ARM PRO RL-ARM 1 YR,1,0,"3800.02000","0","1","-","Active","Integrated Development Environment (IDE)","Programming","Professional","1 Year","Fixed Node","Windows Vista, 7, 8 10","ARM®","-"
https://www.analog.com/media/en/news-marketing-collateral/product-highlight/644646051VisualDSP___5.0_Product_Highlight.pdf,-,VDSP-21XX-PCFLOAT-ND,VDSP-21XX-PCFLOAT,Analog Devices Inc.,SOFTWARE VISUALDSP++FOR ADSP21XX,1,4,"4496.31000","0","1","Visual DSP++™","Active","Integrated Development Environment (IDE)","Programming","-","-","Floating Node","Windows","ADSP-21xx","-"
https://www.analog.com/media/en/news-marketing-collateral/product-highlight/644646051VisualDSP___5.0_Product_Highlight.pdf,-,VDSP-SHARCPCFLOAT-ND,VDSP-SHARC-PCFLOAT,Analog Devices Inc.,SOFTWARE VISUALDSP++ FOR SHARC,1,0,"4496.31000","0","1","Visual DSP++™","Active","Integrated Development Environment (IDE)","Programming","-","-","Floating Node","Windows","SHARC®","-"
https://www.nxp.com/docs/en/quick-reference-guide/926-76000.pdf,//media.digikey.com/Photos/Freescale%20Photos/CWP-PRO-FL.jpg,CWP-PRO-FL-ND,CWP-PRO-FL,NXP USA Inc.,SOFTWARE CW PRO PERP FLOAT,1,0,"5307.19000","0","1","CodeWarrior™","Active","Integrated Development Environment (IDE)","Programming","Professional","Perpetual","Floating Node","Windows XP, 7","Code Warrior™ Software","Electronically Delivered"
-,//media.digikey.com/Photos/Keil%20Photos/MFG_KEIL.jpg,MDKPL-KD-40000-ND,MDKPL-KD-40000,ARM,MDK-PLUS FLEX FLOATING PERP,0,0,"7920.04000","0","1","-","Active","Integrated Development Environment (IDE)","Programming","Plus","Perpetual","Floating Node","Windows Vista, 7, 8 10","ARM®","Electronically Delivered"
-,//media.digikey.com/Photos/MikroElektronika/MFG_MIKROE-724.jpg,1471-1274-ND,MIKROE-724,MikroElektronika,MIKROBASIC PRO USB KEY DSPIC/PIC,1,0,"274.38000","0","1","-","Active","Integrated Development Environment (IDE)","Programming","Professional","Perpetual","Fixed Node","Windows","-","USB Flash Drive"
http://download.mikroe.com/documents/compilers/mikroc/avr/mikroc-avr-manual-v100.pdf,//media.digikey.com/Photos/MikroElektronika/MFG_MIKROE-732.JPG,1471-1277-ND,MIKROE-732,MikroElektronika,MIKROC PRO USB KEY AVR,1,0,"274.38000","0","1","-","Active","Integrated Development Environment (IDE)","Programming","Professional","Perpetual","Fixed Node","Windows","-","USB Flash Drive"
-,//media.digikey.com/Photos/MikroElektronika/MFG_MIKROE-734.jpg,1471-1278-ND,MIKROE-734,MikroElektronika,MIKROC PRO KEY DSPIC30/33 PIC24,1,0,"274.38000","0","1","-","Active","Integrated Development Environment (IDE)","Programming","Professional","Perpetual","Fixed Node","Windows","-","USB Flash Drive"
