Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status"
-,-,587-6433-6-ND,MCEE1005T1R0MHN,Taiyo Yuden,"INDUCTOR,MCOIL HIGH CURRENT, 1.0",0,0,"Digi-Reel","0","0","*","Active"
-,-,AON6440-ND,AON6440,Alpha & Omega Semiconductor Inc.,MOSFET N-CH 40V 5X6 DFN,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,1754-M12L-05PFFP-EE0001-ND,M12L-05PFFP-EE0001,Amphenol LTW,M12 L CODE PANEL THRU HOLE TYPE,0,0,"Active","0","0","*","Active"
-,-,AON6734-ND,AON6734,Alpha & Omega Semiconductor Inc.,MOSFET N-CH 5X6 DFN,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,1754-M12L-05BMMM-SL8H01-ND,M12L-05BMMM-SL8H01,Amphenol LTW,M12 L CODE CABLE 5P M CONN M PIN,0,0,"Active","0","0","*","Active"
-,-,445-181636-2-ND,HHM1944A1,TDK Corporation,MULTILAYER BALUN FOR 758 - 821MH,0,0,"Active","0","0","*","Active"
-,-,1754-M12L-05BMMM-SR8H02-ND,M12L-05BMMM-SR8H02,Amphenol LTW,M12 L CODE CABLE 5P M CONN M PIN,0,0,"Active","0","0","*","Active"
-,-,AOT418L_001-ND,AOT418L_001,Alpha & Omega Semiconductor Inc.,MOSFET N-CH 100V TO-220,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,1754-M12L-05BMMM-SR8H05-ND,M12L-05BMMM-SR8H05,Amphenol LTW,M12 L CODE CABLE 5P M CONN M PIN,0,0,"Active","0","0","*","Active"
-,-,1754-M12L-05BMMM-SR8H01-ND,M12L-05BMMM-SR8H01,Amphenol LTW,M12 L CODE CABLE 5P M CONN M PIN,0,0,"Active","0","0","*","Active"
-,-,1754-M12L-05BMMM-SL8H02-ND,M12L-05BMMM-SL8H02,Amphenol LTW,M12 L CODE CABLE 5P M CONN M PIN,0,0,"Active","0","0","*","Active"
