Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance Range","Adjustment Type","Voltage - Rated","Dielectric Material","Q @ Freq","Size / Dimension","Height - Seated (Max)","Operating Temperature","Mounting Type","Features"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1014-1-ND,2322-10GR1,Johanson Manufacturing,CAP TRIMMER,500,0,"13.04000","0","1","Cut Tape (CT)","Cera-Trim®","Active","-","-","-","Ceramic","1000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","-","-"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1014-6-ND,2322-10GR1,Johanson Manufacturing,CAP TRIMMER,500,0,"Digi-Reel","0","1","Digi-Reel®","Cera-Trim®","Active","-","-","-","Ceramic","1000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","-","-"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1022-2-ND,2322-12GR1,Johanson Manufacturing,CAP TRIMMER,500,0,"7.54110","0","500","Tape & Reel (TR)","Cera-Trim®","Active","-","-","-","Ceramic","1000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","-","-"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1022-1-ND,2322-12GR1,Johanson Manufacturing,CAP TRIMMER,500,0,"13.04000","0","1","Cut Tape (CT)","Cera-Trim®","Active","-","-","-","Ceramic","1000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","-","-"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1022-6-ND,2322-12GR1,Johanson Manufacturing,CAP TRIMMER,500,0,"Digi-Reel","0","1","Digi-Reel®","Cera-Trim®","Active","-","-","-","Ceramic","1000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","-","-"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1025-2-ND,2320-0R1,Johanson Manufacturing,CAP TRIMMER 0.6-2.5PF 250V SMD,2000,0,"7.83370","0","500","Tape & Reel (TR)","Cera-Trim®","Active","0.6 ~ 2.5pF","Top","250V","Ceramic","3000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","Surface Mount","Sealed"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1025-1-ND,2320-0R1,Johanson Manufacturing,CAP TRIMMER 0.6-2.5PF 250V SMD,2000,0,"13.55000","0","1","Cut Tape (CT)","Cera-Trim®","Active","0.6 ~ 2.5pF","Top","250V","Ceramic","3000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","Surface Mount","Sealed"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1025-6-ND,2320-0R1,Johanson Manufacturing,CAP TRIMMER 0.6-2.5PF 250V SMD,2000,0,"Digi-Reel","0","1","Digi-Reel®","Cera-Trim®","Active","0.6 ~ 2.5pF","Top","250V","Ceramic","3000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","Surface Mount","Sealed"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1020-2-ND,2322-0GR1,Johanson Manufacturing,CAP TRIMMER 0.6-2.5PF 250V SMD,2000,0,"7.99330","0","500","Tape & Reel (TR)","Cera-Trim®","Active","0.6 ~ 2.5pF","Top","250V","Ceramic","3000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","Surface Mount","Sealed"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1020-1-ND,2322-0GR1,Johanson Manufacturing,CAP TRIMMER 0.6-2.5PF 250V SMD,2000,0,"13.82000","0","1","Cut Tape (CT)","Cera-Trim®","Active","0.6 ~ 2.5pF","Top","250V","Ceramic","3000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","Surface Mount","Sealed"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1020-6-ND,2322-0GR1,Johanson Manufacturing,CAP TRIMMER 0.6-2.5PF 250V SMD,2000,0,"Digi-Reel","0","1","Digi-Reel®","Cera-Trim®","Active","0.6 ~ 2.5pF","Top","250V","Ceramic","3000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","Surface Mount","Sealed"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1021-2-ND,2322-0GSLR1,Johanson Manufacturing,CAP TRIMMER 0.6-2.5PF 250V SMD,1000,0,"7.99330","0","500","Tape & Reel (TR)","Cera-Trim®","Active","0.6 ~ 2.5pF","Top","250V","Ceramic","3000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","Surface Mount","Sealed"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1021-1-ND,2322-0GSLR1,Johanson Manufacturing,CAP TRIMMER 0.6-2.5PF 250V SMD,1490,0,"13.82000","0","1","Cut Tape (CT)","Cera-Trim®","Active","0.6 ~ 2.5pF","Top","250V","Ceramic","3000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","Surface Mount","Sealed"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1021-6-ND,2322-0GSLR1,Johanson Manufacturing,CAP TRIMMER 0.6-2.5PF 250V SMD,1490,0,"Digi-Reel","0","1","Digi-Reel®","Cera-Trim®","Active","0.6 ~ 2.5pF","Top","250V","Ceramic","3000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","Surface Mount","Sealed"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1016-2-ND,2322-1GSLR1,Johanson Manufacturing,CAP TRIMMER 1-5PF 250V SMD,500,0,"7.99330","0","500","Tape & Reel (TR)","Cera-Trim®","Active","1 ~ 5pF","Top","250V","Ceramic","1000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","Surface Mount","Sealed"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1016-1-ND,2322-1GSLR1,Johanson Manufacturing,CAP TRIMMER 1-5PF 250V SMD,500,0,"13.82000","0","1","Cut Tape (CT)","Cera-Trim®","Active","1 ~ 5pF","Top","250V","Ceramic","1000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","Surface Mount","Sealed"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1016-6-ND,2322-1GSLR1,Johanson Manufacturing,CAP TRIMMER 1-5PF 250V SMD,500,0,"Digi-Reel","0","1","Digi-Reel®","Cera-Trim®","Active","1 ~ 5pF","Top","250V","Ceramic","1000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","Surface Mount","Sealed"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1018-2-ND,2322-11GR1,Johanson Manufacturing,CAP TRIMMER,500,0,"7.99330","0","500","Tape & Reel (TR)","Cera-Trim®","Active","-","-","-","Ceramic","1000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","-","-"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1018-1-ND,2322-11GR1,Johanson Manufacturing,CAP TRIMMER,500,0,"13.82000","0","1","Cut Tape (CT)","Cera-Trim®","Active","-","-","-","Ceramic","1000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","-","-"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1018-6-ND,2322-11GR1,Johanson Manufacturing,CAP TRIMMER,500,0,"Digi-Reel","0","1","Digi-Reel®","Cera-Trim®","Active","-","-","-","Ceramic","1000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","-","-"
