Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage Rating - AC","Voltage Rating - DC","Dielectric Material","ESR (Equivalent Series Resistance)","Operating Temperature","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Termination","Lead Spacing","Applications","Ratings","Features"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1H333JX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(G3).jpg,PCF1346CT-ND,ECH-U1H333JX5,Panasonic Electronic Components,CAP FILM 0.033UF 5% 50VDC 1210,67502,0,"0.63000","0","1","Cut Tape (CT)","ECH-U(X)","Active","0.033µF","±5%","-","50V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.091"" (2.30mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1H333JX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(G3).jpg,PCF1346DKR-ND,ECH-U1H333JX5,Panasonic Electronic Components,CAP FILM 0.033UF 5% 50VDC 1210,67502,0,"Digi-Reel","0","1","Digi-Reel®","ECH-U(X)","Active","0.033µF","±5%","-","50V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.091"" (2.30mm)","Solder Pads","-","General Purpose","-","-"
https://www.tdk-electronics.tdk.com/inf/20/20/db/fc_2009/X2_B32921_928.pdf,"//media.digikey.com/photos/Epcos%20Photos/MKP%20SERIES%2010.5H,18.0L.jpg",495-4911-3-ND,B32922C3104K289,EPCOS (TDK),CAP FILM 0.1UF 10% 305VAC RADIAL,91260,0,"0.15521","0","1170","Tape & Box (TB)","B32922","Active","0.1µF","±10%","305V","630V","Polypropylene (PP)","-","-40°C ~ 110°C","Through Hole","Radial","0.709"" L x 0.197"" W (18.00mm x 5.00mm)","0.413"" (10.50mm)","PC Pins","0.591"" (15.00mm)","EMI, RFI Suppression","X2","-"
https://www.tdk-electronics.tdk.com/inf/20/20/db/fc_2009/X2_B32921_928.pdf,"//media.digikey.com/photos/Epcos%20Photos/MKP%20SERIES%2010.5H,18.0L.jpg",495-4911-1-ND,B32922C3104K289,EPCOS (TDK),CAP FILM 0.1UF 10% 305VAC RADIAL,92196,0,"0.61000","0","1","Cut Tape (CT)","B32922","Active","0.1µF","±10%","305V","630V","Polypropylene (PP)","-","-40°C ~ 110°C","Through Hole","Radial","0.709"" L x 0.197"" W (18.00mm x 5.00mm)","0.413"" (10.50mm)","PC Pins","0.591"" (15.00mm)","EMI, RFI Suppression","X2","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0012+ECPU1C104MA5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECPU%20(A)%20J1.jpg,PCF1126TR-ND,ECP-U1C104MA5,Panasonic Electronic Components,CAP FILM 0.1UF 20% 16VDC 0805,369000,0,"0.15776","0","3000","Tape & Reel (TR)","ECP-U(A)","Active","0.1µF","±20%","-","16V","Acrylic, Metallized - Stacked","-","-40°C ~ 85°C","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.047"" (1.20mm)","Solder Pads","-","EMI, RFI Suppression","-","Low ESR"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0012+ECPU1C104MA5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECPU%20(A)%20J1.jpg,PCF1126CT-ND,ECP-U1C104MA5,Panasonic Electronic Components,CAP FILM 0.1UF 20% 16VDC 0805,370437,0,"0.66000","0","1","Cut Tape (CT)","ECP-U(A)","Active","0.1µF","±20%","-","16V","Acrylic, Metallized - Stacked","-","-40°C ~ 85°C","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.047"" (1.20mm)","Solder Pads","-","EMI, RFI Suppression","-","Low ESR"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0012+ECPU1C104MA5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECPU%20(A)%20J1.jpg,PCF1126DKR-ND,ECP-U1C104MA5,Panasonic Electronic Components,CAP FILM 0.1UF 20% 16VDC 0805,370437,0,"Digi-Reel","0","1","Digi-Reel®","ECP-U(A)","Active","0.1µF","±20%","-","16V","Acrylic, Metallized - Stacked","-","-40°C ~ 85°C","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.047"" (1.20mm)","Solder Pads","-","EMI, RFI Suppression","-","Low ESR"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C473GX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(H3).jpg,PCF1185TR-ND,ECH-U1C473GX5,Panasonic Electronic Components,CAP FILM 0.047UF 2% 16VDC 1206,30000,0,"0.16016","0","2000","Tape & Reel (TR)","ECH-U(X)","Active","0.047µF","±2%","-","16V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.067"" (1.70mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C473GX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(H3).jpg,PCF1185CT-ND,ECH-U1C473GX5,Panasonic Electronic Components,CAP FILM 0.047UF 2% 16VDC 1206,32101,0,"0.67000","0","1","Cut Tape (CT)","ECH-U(X)","Active","0.047µF","±2%","-","16V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.067"" (1.70mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C473GX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(H3).jpg,PCF1185DKR-ND,ECH-U1C473GX5,Panasonic Electronic Components,CAP FILM 0.047UF 2% 16VDC 1206,32101,0,"Digi-Reel","0","1","Digi-Reel®","ECH-U(X)","Active","0.047µF","±2%","-","16V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.067"" (1.70mm)","Solder Pads","-","General Purpose","-","-"
