Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Type","ESR (Equivalent Series Resistance)","Operating Temperature","Lifetime @ Temp.","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Lead Spacing","Manufacturer Size Code","Ratings","Features"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-5271-6-ND,T520A226M006ATE100,KEMET,CAP TANT POLY 22UF 6.3V 1206,2559,0,"Digi-Reel","0","1","Digi-Reel®","KO-CAP® T520","Active","22µF","±20%","6.3V","Molded","100mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4022-2-ND,T520B336M010ATE070,KEMET,CAP TANT POLY 33UF 10V 3528,18000,0,"0.22500","0","2000","Tape & Reel (TR)","KO-CAP® T520","Active","33µF","±20%","10V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4022-1-ND,T520B336M010ATE070,KEMET,CAP TANT POLY 33UF 10V 3528,20495,0,"0.82000","0","1","Cut Tape (CT)","KO-CAP® T520","Active","33µF","±20%","10V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4022-6-ND,T520B336M010ATE070,KEMET,CAP TANT POLY 33UF 10V 3528,20495,0,"Digi-Reel","0","1","Digi-Reel®","KO-CAP® T520","Active","33µF","±20%","10V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-10526-2-ND,T520A107M006ATE070,KEMET,CAP TANT POLY 100UF 6.3V 1206,94000,0,"0.26700","0","2000","Tape & Reel (TR)","KO-CAP® T520","Active","100µF","±20%","6.3V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-10526-1-ND,T520A107M006ATE070,KEMET,CAP TANT POLY 100UF 6.3V 1206,96476,0,"0.88000","0","1","Cut Tape (CT)","KO-CAP® T520","Active","100µF","±20%","6.3V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-10526-6-ND,T520A107M006ATE070,KEMET,CAP TANT POLY 100UF 6.3V 1206,96476,0,"Digi-Reel","0","1","Digi-Reel®","KO-CAP® T520","Active","100µF","±20%","6.3V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4024-2-ND,T520B476M006ATE070,KEMET,CAP TANT POLY 47UF 6.3V 3528,56000,0,"0.26700","0","2000","Tape & Reel (TR)","KO-CAP® T520","Active","47µF","±20%","6.3V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4024-1-ND,T520B476M006ATE070,KEMET,CAP TANT POLY 47UF 6.3V 3528,56060,0,"0.88000","0","1","Cut Tape (CT)","KO-CAP® T520","Active","47µF","±20%","6.3V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4024-6-ND,T520B476M006ATE070,KEMET,CAP TANT POLY 47UF 6.3V 3528,56060,0,"Digi-Reel","0","1","Digi-Reel®","KO-CAP® T520","Active","47µF","±20%","6.3V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
http://datasheets.avx.com/f38.pdf,//media.digikey.com/Renders/AVX%20Renders/F38%20Series%200805.jpg,478-9700-2-ND,F380J476MSAAH1,AVX Corporation,CAP TANT POLY 47UF 6.3V SMD,16000,0,"0.26898","0","4000","Tape & Reel (TR)","F38","Active","47µF","±20%","6.3V","Molded","150mOhm @ 100kHz","-55°C ~ 105°C","1000 Hrs @ 85°C","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.035"" (0.90mm)","-","S","-","General Purpose"
http://datasheets.avx.com/f38.pdf,//media.digikey.com/Renders/AVX%20Renders/F38%20Series%200805.jpg,478-9700-1-ND,F380J476MSAAH1,AVX Corporation,CAP TANT POLY 47UF 6.3V SMD,18058,0,"0.85000","0","1","Cut Tape (CT)","F38","Active","47µF","±20%","6.3V","Molded","150mOhm @ 100kHz","-55°C ~ 105°C","1000 Hrs @ 85°C","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.035"" (0.90mm)","-","S","-","General Purpose"
http://datasheets.avx.com/f38.pdf,//media.digikey.com/Renders/AVX%20Renders/F38%20Series%200805.jpg,478-9700-6-ND,F380J476MSAAH1,AVX Corporation,CAP TANT POLY 47UF 6.3V SMD,18058,0,"Digi-Reel","0","1","Digi-Reel®","F38","Active","47µF","±20%","6.3V","Molded","150mOhm @ 100kHz","-55°C ~ 105°C","1000 Hrs @ 85°C","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.035"" (0.90mm)","-","S","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4021-2-ND,T520B336M010ATE040,KEMET,CAP TANT POLY 33UF 10V 3528,26000,0,"0.27550","0","2000","Tape & Reel (TR)","KO-CAP® T520","Active","33µF","±20%","10V","Molded","40mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4021-1-ND,T520B336M010ATE040,KEMET,CAP TANT POLY 33UF 10V 3528,31806,0,"0.93000","0","1","Cut Tape (CT)","KO-CAP® T520","Active","33µF","±20%","10V","Molded","40mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4021-6-ND,T520B336M010ATE040,KEMET,CAP TANT POLY 33UF 10V 3528,31806,0,"Digi-Reel","0","1","Digi-Reel®","KO-CAP® T520","Active","33µF","±20%","10V","Molded","40mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4982-2-ND,T520B476M010ATE070,KEMET,CAP TANT POLY 47UF 10V 3528,48000,0,"0.28710","0","2000","Tape & Reel (TR)","KO-CAP® T520","Active","47µF","±20%","10V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4982-1-ND,T520B476M010ATE070,KEMET,CAP TANT POLY 47UF 10V 3528,49536,0,"0.97000","0","1","Cut Tape (CT)","KO-CAP® T520","Active","47µF","±20%","10V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4982-6-ND,T520B476M010ATE070,KEMET,CAP TANT POLY 47UF 10V 3528,49536,0,"Digi-Reel","0","1","Digi-Reel®","KO-CAP® T520","Active","47µF","±20%","10V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4719-2-ND,T520A336M006ATE070,KEMET,CAP TANT POLY 33UF 6.3V 1206,12000,0,"0.28710","0","2000","Tape & Reel (TR)","KO-CAP® T520","Active","33µF","±20%","6.3V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4719-1-ND,T520A336M006ATE070,KEMET,CAP TANT POLY 33UF 6.3V 1206,12403,0,"0.97000","0","1","Cut Tape (CT)","KO-CAP® T520","Active","33µF","±20%","6.3V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4719-6-ND,T520A336M006ATE070,KEMET,CAP TANT POLY 33UF 6.3V 1206,12403,0,"Digi-Reel","0","1","Digi-Reel®","KO-CAP® T520","Active","33µF","±20%","6.3V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-5756-2-ND,T520B227M006ATE070,KEMET,CAP TANT POLY 220UF 6.3V 3528,58000,0,"0.31610","0","2000","Tape & Reel (TR)","KO-CAP® T520","Active","220µF","±20%","6.3V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-5756-1-ND,T520B227M006ATE070,KEMET,CAP TANT POLY 220UF 6.3V 3528,62041,0,"0.95000","0","1","Cut Tape (CT)","KO-CAP® T520","Active","220µF","±20%","6.3V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-5756-6-ND,T520B227M006ATE070,KEMET,CAP TANT POLY 220UF 6.3V 3528,62041,0,"Digi-Reel","0","1","Digi-Reel®","KO-CAP® T520","Active","220µF","±20%","6.3V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4023-2-ND,T520B476M006ATE040,KEMET,CAP TANT POLY 47UF 6.3V 3528,56000,0,"0.31610","0","2000","Tape & Reel (TR)","KO-CAP® T520","Active","47µF","±20%","6.3V","Molded","40mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4023-1-ND,T520B476M006ATE040,KEMET,CAP TANT POLY 47UF 6.3V 3528,57006,0,"0.95000","0","1","Cut Tape (CT)","KO-CAP® T520","Active","47µF","±20%","6.3V","Molded","40mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
