Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Breakdown","ESR (Equivalent Series Resistance)","ESL (Equivalent Series Inductance)","Applications","Features","Operating Temperature","Package / Case","Height","Size / Dimension"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1023-2-ND,RFCS04022700BJTT1,Vishay Electro-Films,CAP SILICON 27PF 5% 10V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","27pF","±5%","10V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1023-1-ND,RFCS04022700BJTT1,Vishay Electro-Films,CAP SILICON 27PF 5% 10V 0402,0,0,"Obsolete","0","1","Cut Tape (CT)","RFCS","Obsolete","27pF","±5%","10V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1023-6-ND,RFCS04022700BJTT1,Vishay Electro-Films,CAP SILICON 27PF 5% 10V 0402,0,0,"Digi-Reel","0","1","Digi-Reel®","RFCS","Obsolete","27pF","±5%","10V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1032-2-ND,RFCS04023900CJTTS,Vishay Electro-Films,CAP SILICON 3.9PF 5% 25V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","3.9pF","±5%","25V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1034-2-ND,RFCS04024000DBTTS,Vishay Electro-Films,CAP SILICON 0.4PF 50V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","0.4pF","±0.1pF","50V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1027-2-ND,RFCS04023000DBTT1,Vishay Electro-Films,CAP SILICON 0.3PF 50V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","0.3pF","±0.1pF","50V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1027-1-ND,RFCS04023000DBTT1,Vishay Electro-Films,CAP SILICON 0.3PF 50V 0402,0,0,"Obsolete","0","1","Cut Tape (CT)","RFCS","Obsolete","0.3pF","±0.1pF","50V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1027-6-ND,RFCS04023000DBTT1,Vishay Electro-Films,CAP SILICON 0.3PF 50V 0402,0,0,"Digi-Reel","0","1","Digi-Reel®","RFCS","Obsolete","0.3pF","±0.1pF","50V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1040-2-ND,RFCS04021200BJTTS,Vishay Electro-Films,CAP SILICON 12PF 5% 16V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","12pF","±5%","16V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1042-2-ND,RFCS04021200CBTTS,Vishay Electro-Films,CAP SILICON 1.2PF 50V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","1.2pF","±0.1pF","50V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
