Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Dielectric Material","Number of Capacitors","Circuit Type","Temperature Coefficient","Ratings","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)"
https://api.kemet.com/component-edge/download/datasheet/CA064X222K2RACAUTO.pdf,//media.digikey.com/Renders/Kemet%20Renders/0612%20(1632%20Metric)%20Kemet.jpg,399-12380-2-ND,CA064X222K2RACAUTO,KEMET,CAP ARRAY 2200PF 200V X7R 0612,16000,0,"0.10982","0","4000","Tape & Reel (TR)","-","Active","2200pF","±10%","200V","Ceramic","4","Isolated","X7R","AEC-Q200","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.035"" (0.90mm)"
https://api.kemet.com/component-edge/download/datasheet/CA064X222K2RACAUTO.pdf,//media.digikey.com/Renders/Kemet%20Renders/0612%20(1632%20Metric)%20Kemet.jpg,399-12380-1-ND,CA064X222K2RACAUTO,KEMET,CAP ARRAY 2200PF 200V X7R 0612,19733,0,"0.43000","0","1","Cut Tape (CT)","-","Active","2200pF","±10%","200V","Ceramic","4","Isolated","X7R","AEC-Q200","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.035"" (0.90mm)"
https://api.kemet.com/component-edge/download/datasheet/CA064X222K2RACAUTO.pdf,//media.digikey.com/Renders/Kemet%20Renders/0612%20(1632%20Metric)%20Kemet.jpg,399-12380-6-ND,CA064X222K2RACAUTO,KEMET,CAP ARRAY 2200PF 200V X7R 0612,19733,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2200pF","±10%","200V","Ceramic","4","Isolated","X7R","AEC-Q200","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.035"" (0.90mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200612.jpg,478-2877-2-ND,W3A45C103KAT2A,AVX Corporation,CAP ARRAY 10000PF 50V X7R 0612,12000,0,"0.11220","0","4000","Tape & Reel (TR)","IPC","Active","10000pF","±10%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0612 (1632 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.053"" (1.35mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200612.jpg,478-2877-1-ND,W3A45C103KAT2A,AVX Corporation,CAP ARRAY 10000PF 50V X7R 0612,15294,0,"0.55000","0","1","Cut Tape (CT)","IPC","Active","10000pF","±10%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0612 (1632 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.053"" (1.35mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200612.jpg,478-2877-6-ND,W3A45C103KAT2A,AVX Corporation,CAP ARRAY 10000PF 50V X7R 0612,15294,0,"Digi-Reel","0","1","Digi-Reel®","IPC","Active","10000pF","±10%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0612 (1632 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.053"" (1.35mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200612.jpg,478-2872-2-ND,W3A41A470KAT2A,AVX Corporation,CAP ARRAY 47PF 100V NP0 0612,20000,0,"0.12454","0","4000","Tape & Reel (TR)","IPC","Active","47pF","±10%","100V","Ceramic","4","Isolated","C0G, NP0","-","Surface Mount","0612 (1632 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.053"" (1.35mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200612.jpg,478-2872-1-ND,W3A41A470KAT2A,AVX Corporation,CAP ARRAY 47PF 100V NP0 0612,22458,0,"0.49000","0","1","Cut Tape (CT)","IPC","Active","47pF","±10%","100V","Ceramic","4","Isolated","C0G, NP0","-","Surface Mount","0612 (1632 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.053"" (1.35mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200612.jpg,478-2872-6-ND,W3A41A470KAT2A,AVX Corporation,CAP ARRAY 47PF 100V NP0 0612,22458,0,"Digi-Reel","0","1","Digi-Reel®","IPC","Active","47pF","±10%","100V","Ceramic","4","Isolated","C0G, NP0","-","Surface Mount","0612 (1632 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.053"" (1.35mm)"
//media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/COG_Dielectric_Rev_Mar_2015.pdf,//media.digikey.com/Renders/Kemet%20Renders/0612%20(1632%20Metric)%20Kemet.jpg,399-10025-2-ND,CA064C100K5GAC7800,KEMET,CAP ARRAY 10PF 50V NP0 0612,8000,0,"0.13580","0","4000","Tape & Reel (TR)","-","Active","10pF","±10%","50V","Ceramic","4","Isolated","C0G, NP0","-","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.035"" (0.90mm)"
