Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Type","ESR (Equivalent Series Resistance)","Operating Temperature","Lifetime @ Temp.","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Lead Spacing","Manufacturer Size Code","Ratings","Features","Failure Rate"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2350-1-ND,TAJA475K010RNJ,AVX Corporation,CAP TANT 4.7UF 10% 10V 1206,52538,262000,"0.39000","0","1","Cut Tape (CT)","TAJ","Active","4.7µF","±10%","10V","Molded","5Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2350-6-ND,TAJA475K010RNJ,AVX Corporation,CAP TANT 4.7UF 10% 10V 1206,52538,262000,"Digi-Reel","0","1","Digi-Reel®","TAJ","Active","4.7µF","±10%","10V","Molded","5Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-8875-2-ND,TAJA106K016SNJ,AVX Corporation,CAP TANT 10UF 10% 16V 1206,48000,0,"0.08618","0","8000","Tape & Reel (TR)","TAJ","Active","10µF","±10%","16V","Molded","3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-8875-1-ND,TAJA106K016SNJ,AVX Corporation,CAP TANT 10UF 10% 16V 1206,56434,0,"0.46000","0","1","Cut Tape (CT)","TAJ","Active","10µF","±10%","16V","Molded","3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-8875-6-ND,TAJA106K016SNJ,AVX Corporation,CAP TANT 10UF 10% 16V 1206,56434,0,"Digi-Reel","0","1","Digi-Reel®","TAJ","Active","10µF","±10%","16V","Molded","3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-3865-2-ND,TAJA226K006RNJ,AVX Corporation,CAP TANT 22UF 10% 6.3V 1206,536000,2476000,"0.08640","0","2000","Tape & Reel (TR)","TAJ","Active","22µF","±10%","6.3V","Molded","3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-3865-1-ND,TAJA226K006RNJ,AVX Corporation,CAP TANT 22UF 10% 6.3V 1206,538017,2476000,"0.40000","0","1","Cut Tape (CT)","TAJ","Active","22µF","±10%","6.3V","Molded","3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-3865-6-ND,TAJA226K006RNJ,AVX Corporation,CAP TANT 22UF 10% 6.3V 1206,538017,2476000,"Digi-Reel","0","1","Digi-Reel®","TAJ","Active","22µF","±10%","6.3V","Molded","3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1657-2-ND,TAJA106M010RNJ,AVX Corporation,CAP TANT 10UF 20% 10V 1206,170000,336000,"0.08640","0","2000","Tape & Reel (TR)","TAJ","Active","10µF","±20%","10V","Molded","3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1657-1-ND,TAJA106M010RNJ,AVX Corporation,CAP TANT 10UF 20% 10V 1206,172038,336000,"0.40000","0","1","Cut Tape (CT)","TAJ","Active","10µF","±20%","10V","Molded","3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
