Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Dielectric Material","Operating Temperature","Mounting Type","Package / Case","Lead Spacing","Features","Size / Dimension","Height - Seated (Max)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD15ED680FO3F.jpg,338-2589-ND,CD15FD101JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 100PF 5% 500V RADIAL,1308,25800,"2.07000","0","1","Bulk","CD15","Active","100pF","±5%","500V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.232"" (5.90mm)","General Purpose","0.461"" L x 0.181"" W (11.70mm x 4.60mm)","0.358"" (9.10mm)"
http://www.cde.com/resources/catalogs/CD17-CDV18.pdf,"//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD17%20SERIES%209.1H,11.4L.jpg",338-3002-ND,CD17CD150JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 15PF 5% 500V RADIAL,7569,2800,"2.18000","0","1","Bulk","CD17","Active","15pF","±5%","500V","Mica","-55°C ~ 150°C","Through Hole","Radial","0.232"" (5.90mm)","RF, High Q, Low Loss","0.449"" L x 0.169"" W (11.40mm x 4.30mm)","0.358"" (9.10mm)"
http://www.cde.com/resources/catalogs/MC.pdf,//media.digikey.com/photos/Cornell%20Dubilier%20Photos/338-0805(2012).jpg,338-1099-ND,MC08CA100D-F,Cornell Dubilier Electronics (CDE),CAP MICA 10PF 0.5PF 100V 0805,1105,2600,"2.31000","0","1","Bulk","MC","Active","10pF","±0.5pF","100V","Mica","-55°C ~ 125°C","Surface Mount","0805 (2012 Metric)","-","RF, High Q, Low Loss","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.055"" (1.40mm)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD15ED680FO3F.jpg,338-2598-ND,CD15FD151JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 150PF 5% 500V RADIAL,5612,15700,"2.41000","0","1","Bulk","CD15","Active","150pF","±5%","500V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.232"" (5.90mm)","General Purpose","0.461"" L x 0.189"" W (11.70mm x 4.80mm)","0.370"" (9.40mm)"
http://www.cde.com/resources/catalogs/MINI-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD5EC300JO3F.jpg,338-2650-ND,CD5EC220JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 22PF 5% 300V RADIAL,2441,3600,"2.82000","0","1","Bulk","CD5","Active","22pF","±5%","300V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.118"" (3.00mm)","General Purpose","0.272"" L x 0.118"" W (6.90mm x 3.00mm)","0.201"" (5.10mm)"
http://www.cde.com/resources/catalogs/MC.pdf,//media.digikey.com/photos/Cornell%20Dubilier%20Photos/338-1210(3225).jpg,338-1118-ND,MC12FD470J-F,Cornell Dubilier Electronics (CDE),CAP MICA 47PF 5% 500V 1210,2388,2100,"2.92000","0","1","Bulk","MC","Active","47pF","±5%","500V","Mica","-55°C ~ 125°C","Surface Mount","1210 (3225 Metric)","-","RF, High Q, Low Loss","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.079"" (2.00mm)"
http://www.cde.com/resources/catalogs/MINI-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD5EC300JO3F.jpg,338-2643-ND,CD5EC470JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 47PF 5% 300V RADIAL,9604,7100,"3.10000","0","1","Bulk","CD5","Active","47pF","±5%","300V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.118"" (3.00mm)","General Purpose","0.272"" L x 0.142"" W (6.90mm x 3.60mm)","0.209"" (5.30mm)"
http://www.cde.com/resources/catalogs/MINI-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD5EC300JO3F.jpg,338-3059-ND,CD5CC010DO3F,Cornell Dubilier Electronics (CDE),CAP MICA 1PF 0.5PF 300V RADIAL,1015,1600,"3.19000","0","1","Bulk","CD5","Active","1pF","±0.5pF","300V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.118"" (3.00mm)","General Purpose","0.272"" L x 0.110"" W (6.90mm x 2.80mm)","0.189"" (4.80mm)"
http://www.cde.com/resources/catalogs/CD-CDV16.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CDV16F.jpg,338-2627-ND,CDV16FF471JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 470PF 5% 1KV RADIAL,2113,2350,"3.22000","0","1","Bulk","CDV16","Active","470pF","±5%","1kV","Mica","-55°C ~ 150°C","Through Hole","Radial","0.234"" (5.94mm)","RF, High Q, Low Loss","0.449"" L x 0.161"" W (11.40mm x 4.10mm)","0.469"" (11.90mm)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD15ED680FO3F.jpg,338-2634-ND,CD15FD101FO3F,Cornell Dubilier Electronics (CDE),CAP MICA 100PF 1% 500V RADIAL,8094,11400,"3.30000","0","1","Bulk","CD15","Active","100pF","±1%","500V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.232"" (5.90mm)","General Purpose","0.461"" L x 0.181"" W (11.70mm x 4.60mm)","0.358"" (9.10mm)"
