Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Mounting Type","Package / Case","Operating Temperature","Features","Size / Dimension","Height - Seated (Max)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/photos/AVX%20Photos/ACCU-P%200603.jpg,478-4441-6-ND,06035J0R5PBSTR,AVX Corporation,CAP THIN FILM 0.5PF 50V 0603,3090,0,"Digi-Reel","0","1","Digi-Reel®","Accu-P®","Active","0.5pF","±0.02pF","50V","Surface Mount","0603 (1608 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","0.029"" (0.73mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4412-2-ND,04023J2R2BBSTR,AVX Corporation,CAP THIN FILM 2.2PF 25V 0402,5000,0,"0.16830","0","5000","Tape & Reel (TR)","Accu-P®","Active","2.2pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4412-1-ND,04023J2R2BBSTR,AVX Corporation,CAP THIN FILM 2.2PF 25V 0402,9610,0,"0.75000","0","1","Cut Tape (CT)","Accu-P®","Active","2.2pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4412-6-ND,04023J2R2BBSTR,AVX Corporation,CAP THIN FILM 2.2PF 25V 0402,9610,0,"Digi-Reel","0","1","Digi-Reel®","Accu-P®","Active","2.2pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4429-2-ND,04023J5R6BBSTR,AVX Corporation,CAP THIN FILM 5.6PF 25V 0402,10000,0,"0.19800","0","5000","Tape & Reel (TR)","Accu-P®","Active","5.6pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4429-1-ND,04023J5R6BBSTR,AVX Corporation,CAP THIN FILM 5.6PF 25V 0402,11579,0,"0.72000","0","1","Cut Tape (CT)","Accu-P®","Active","5.6pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4429-6-ND,04023J5R6BBSTR,AVX Corporation,CAP THIN FILM 5.6PF 25V 0402,11579,0,"Digi-Reel","0","1","Digi-Reel®","Accu-P®","Active","5.6pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-11433-2-ND,04023J6R2BBSTR,AVX Corporation,CAP THIN FILM 6.2PF 25V 0402,10000,0,"0.19800","0","5000","Tape & Reel (TR)","Accu-P®","Active","6.2pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-11433-1-ND,04023J6R2BBSTR,AVX Corporation,CAP THIN FILM 6.2PF 25V 0402,10340,0,"0.72000","0","1","Cut Tape (CT)","Accu-P®","Active","6.2pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-11433-6-ND,04023J6R2BBSTR,AVX Corporation,CAP THIN FILM 6.2PF 25V 0402,10340,0,"Digi-Reel","0","1","Digi-Reel®","Accu-P®","Active","6.2pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
