Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Device Size","Specifications"
http://www.cde.com/resources/catalogs/hardware.pdf,-,TH21-ND,TH21,Cornell Dubilier Electronics (CDE),MOUNTING CLIP HORIZ .875IN DIA,0,0,"Obsolete","0","56","TH","Obsolete","Mounting Clip","Round Can Types","0.875"" Dia (22.2mm)","-"
http://www.cde.com/resources/catalogs/hardware.pdf,-,TH23-ND,TH23,Cornell Dubilier Electronics (CDE),MOUNTING CLIP HORIZ 1.0IN DIA,0,0,"Obsolete","0","55","TH","Obsolete","Mounting Clip","Round Can Types","1.000"" Dia (25.4mm)","-"
http://www.cde.com/resources/catalogs/hardware.pdf,-,VRNUT-ND,VRNUT,Cornell Dubilier Electronics (CDE),NUT FOR VERT MOUNTING CLAMP,0,91200,"Active","0","0","VR","Active","Hex Nut","Mounting Bracket","-","6-32 Thread"
http://www.cde.com/resources/catalogs/hardware.pdf,-,VRSCREW-ND,VRSCREW,Cornell Dubilier Electronics (CDE),SCREW FOR VERT MOUNTING CLAMP,0,92100,"Active","0","0","VR","Active","Screw","Mounting Bracket","-","6-32 Thread, 9/16"" Long"
-,-,30434-32-ND,30434-32,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","23","30434","Obsolete","Mounting Bracket","-","-","-"
http://www.cde.com/resources/catalogs/hardware.pdf,-,30434-33-ND,30434-33,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","2.130"" H (54.1mm)","End Mount"
http://www.cde.com/resources/catalogs/hardware.pdf,-,30434-49-ND,30434-49,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","3.130"" H (79.5mm)","End Mount"
-,-,30393-3-ND,30393-3,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Active","0","0","-","Active","Mounting Bracket","Oval Can Types","-","-"
http://www.cde.com/resources/catalogs/hardware.pdf,-,30434-61-ND,30434-61,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","23","30434","Obsolete","Mounting Bracket","Oval Can Types","3.880"" H (98.55mm)","End Mount"
http://www.cde.com/resources/catalogs/hardware.pdf,-,30434-41-ND,30434-41,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","2.630"" H (66.8mm)","End Mount"
http://www.cde.com/resources/catalogs/hardware.pdf,-,30434-67-ND,30434-67,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","23","30434","Obsolete","Mounting Bracket","Oval Can Types","4.250"" H (107.95mm)","End Mount"
http://www.cde.com/resources/catalogs/hardware.pdf,-,31762-45-ND,31762-45,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","2.130"" H (54.1mm)","Side Mount"
http://www.cde.com/resources/catalogs/hardware.pdf,-,31762-51-ND,31762-51,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","3.880"" H (98.55mm)","Side Mount"
