Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Operating Temperature","Ratings","Applications","Ripple Current @ Low Frequency","Ripple Current @ High Frequency","Impedance","Lead Spacing","Size / Dimension","Height - Seated (Max)","Surface Mount Land Size","Mounting Type","Package / Case"
https://industrial.panasonic.com/cdbs/www-data/pdf/ABE0000/ABE0000C106.pdf,"//media.digikey.com/Photos/Panasonic%20Photos/MFG_CY,SY-Series.jpg",P122483CT-ND,ECG-SY0J331R,Panasonic Electronic Components,CAP ALUM POLY 330UF 20% 6.3V SMD,3379,0,"1.81000","0","1","Cut Tape (CT)","SP-Cap SY","Active","Polymer","330µF","±20%","6.3V","9mOhm","2000 Hrs @ 85°C","-55°C ~ 85°C","-","General Purpose","-","6.3A @ 100kHz","-","-","0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.118"" (3.00mm)","0.287"" L x 0.169"" W (7.30mm x 4.30mm)","Surface Mount","2917 (7343 Metric)"
https://industrial.panasonic.com/cdbs/www-data/pdf/ABE0000/ABE0000C106.pdf,"//media.digikey.com/Photos/Panasonic%20Photos/MFG_CY,SY-Series.jpg",P122483DKR-ND,ECG-SY0J331R,Panasonic Electronic Components,CAP ALUM POLY 330UF 20% 6.3V SMD,3379,0,"Digi-Reel","0","1","Digi-Reel®","SP-Cap SY","Active","Polymer","330µF","±20%","6.3V","9mOhm","2000 Hrs @ 85°C","-55°C ~ 85°C","-","General Purpose","-","6.3A @ 100kHz","-","-","0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.118"" (3.00mm)","0.287"" L x 0.169"" W (7.30mm x 4.30mm)","Surface Mount","2917 (7343 Metric)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C256.pdf,"//media.digikey.com/photos/Panasonic%20Photos/OS-CON,%20SVPC%208mm.jpg",P16442TR-ND,10SVPC270M,Panasonic Electronic Components,CAP ALUM POLY 270UF 20% 10V SMD,4000,0,"0.65130","0","1000","Tape & Reel (TR)","OS-CON™, SVPC","Active","Polymer","270µF","±20%","10V","22mOhm","2000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","161mA @ 120Hz","3.22A @ 100kHz","-","-","0.315"" Dia (8.00mm)","0.276"" (7.00mm)","0.327"" L x 0.327"" W (8.30mm x 8.30mm)","Surface Mount","Radial, Can - SMD"
https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C256.pdf,"//media.digikey.com/photos/Panasonic%20Photos/OS-CON,%20SVPC%208mm.jpg",P16442CT-ND,10SVPC270M,Panasonic Electronic Components,CAP ALUM POLY 270UF 20% 10V SMD,4453,0,"1.99000","0","1","Cut Tape (CT)","OS-CON™, SVPC","Active","Polymer","270µF","±20%","10V","22mOhm","2000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","161mA @ 120Hz","3.22A @ 100kHz","-","-","0.315"" Dia (8.00mm)","0.276"" (7.00mm)","0.327"" L x 0.327"" W (8.30mm x 8.30mm)","Surface Mount","Radial, Can - SMD"
https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C256.pdf,"//media.digikey.com/photos/Panasonic%20Photos/OS-CON,%20SVPC%208mm.jpg",P16442DKR-ND,10SVPC270M,Panasonic Electronic Components,CAP ALUM POLY 270UF 20% 10V SMD,4453,0,"Digi-Reel","0","1","Digi-Reel®","OS-CON™, SVPC","Active","Polymer","270µF","±20%","10V","22mOhm","2000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","161mA @ 120Hz","3.22A @ 100kHz","-","-","0.315"" Dia (8.00mm)","0.276"" (7.00mm)","0.327"" L x 0.327"" W (8.30mm x 8.30mm)","Surface Mount","Radial, Can - SMD"
http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxa,//media.digikey.com/photos/United%20Chemi-Con%20Photos/HXA%20Series.JPG,565-4539-2-ND,HHXA500ARA470MHA0G,United Chemi-Con,CAP ALUM POLY HYB 47UF 50V SMD,3500,0,"0.65620","0","500","Tape & Reel (TR)","HXA","Active","Hybrid","47µF","±20%","50V","30mOhm","4000 Hrs @ 125°C","-55°C ~ 125°C","AEC-Q200","Automotive","-","1.25A @ 100kHz","-","-","0.315"" Dia (8.00mm)","0.406"" (10.30mm)","0.327"" L x 0.327"" W (8.30mm x 8.30mm)","Surface Mount","Radial, Can - SMD"
http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxa,//media.digikey.com/photos/United%20Chemi-Con%20Photos/HXA%20Series.JPG,565-4539-1-ND,HHXA500ARA470MHA0G,United Chemi-Con,CAP ALUM POLY HYB 47UF 50V SMD,3635,0,"1.77000","0","1","Cut Tape (CT)","HXA","Active","Hybrid","47µF","±20%","50V","30mOhm","4000 Hrs @ 125°C","-55°C ~ 125°C","AEC-Q200","Automotive","-","1.25A @ 100kHz","-","-","0.315"" Dia (8.00mm)","0.406"" (10.30mm)","0.327"" L x 0.327"" W (8.30mm x 8.30mm)","Surface Mount","Radial, Can - SMD"
http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxa,//media.digikey.com/photos/United%20Chemi-Con%20Photos/HXA%20Series.JPG,565-4539-6-ND,HHXA500ARA470MHA0G,United Chemi-Con,CAP ALUM POLY HYB 47UF 50V SMD,3635,0,"Digi-Reel","0","1","Digi-Reel®","HXA","Active","Hybrid","47µF","±20%","50V","30mOhm","4000 Hrs @ 125°C","-55°C ~ 125°C","AEC-Q200","Automotive","-","1.25A @ 100kHz","-","-","0.315"" Dia (8.00mm)","0.406"" (10.30mm)","0.327"" L x 0.327"" W (8.30mm x 8.30mm)","Surface Mount","Radial, Can - SMD"
http://industrial.panasonic.com/cdbs/www-data/pdf/ABE0000/ABE0000C49.pdf,//media.digikey.com/Photos/Panasonic%20Photos/SP-Cap-CT-Series.jpg,P16808-2-ND,EEF-CT1E220R,Panasonic Electronic Components,CAP ALUM POLY 22UF 20% 25V SMD,7000,0,"0.66038","0","3500","Tape & Reel (TR)","SP-Cap CT","Active","Polymer","22µF","±20%","25V","40mOhm","2000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","-","3.2A @ 100kHz","-","-","0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.059"" (1.50mm)","-","Surface Mount","2917 (7343 Metric)"
http://industrial.panasonic.com/cdbs/www-data/pdf/ABE0000/ABE0000C49.pdf,//media.digikey.com/Photos/Panasonic%20Photos/SP-Cap-CT-Series.jpg,P16808-1-ND,EEF-CT1E220R,Panasonic Electronic Components,CAP ALUM POLY 22UF 20% 25V SMD,13328,0,"1.84000","0","1","Cut Tape (CT)","SP-Cap CT","Active","Polymer","22µF","±20%","25V","40mOhm","2000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","-","3.2A @ 100kHz","-","-","0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.059"" (1.50mm)","-","Surface Mount","2917 (7343 Metric)"
