Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R61E103KA12-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-7194-6-ND,GRM033R61E103KA12D,Murata Electronics North America,CAP CER 10000PF 25V X5R 0201,1992021,0,"Digi-Reel","0","1","Digi-Reel®","GRM","Active","10000pF","±10%","25V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL05F104ZO5NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1004-2-ND,CL05F104ZO5NNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 16V Y5V 0402,9860000,0,"0.00315","0","10000","Tape & Reel (TR)","CL","Active","0.1µF","-20%, +80%","16V","Y5V (F)","-30°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL05F104ZO5NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1004-1-ND,CL05F104ZO5NNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 16V Y5V 0402,9860983,0,"0.10000","0","1","Cut Tape (CT)","CL","Active","0.1µF","-20%, +80%","16V","Y5V (F)","-30°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL05F104ZO5NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1004-6-ND,CL05F104ZO5NNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 16V Y5V 0402,9861313,0,"Digi-Reel","0","1","Digi-Reel®","CL","Active","0.1µF","-20%, +80%","16V","Y5V (F)","-30°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL05B103KB5NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1028-2-ND,CL05B103KB5NNNC,Samsung Electro-Mechanics,CAP CER 10000PF 50V X7R 0402,8490000,0,"0.00315","0","10000","Tape & Reel (TR)","CL","Active","10000pF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL05B103KB5NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1028-1-ND,CL05B103KB5NNNC,Samsung Electro-Mechanics,CAP CER 10000PF 50V X7R 0402,8499614,0,"0.10000","0","1","Cut Tape (CT)","CL","Active","10000pF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL05B103KB5NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1028-6-ND,CL05B103KB5NNNC,Samsung Electro-Mechanics,CAP CER 10000PF 50V X7R 0402,8499614,0,"Digi-Reel","0","1","Digi-Reel®","CL","Active","10000pF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL05A104MP5NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1443-2-ND,CL05A104MP5NNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 10V X5R 0402,7000000,0,"0.00315","0","10000","Tape & Reel (TR)","CL","Active","0.1µF","±20%","10V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL05A104MP5NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1443-1-ND,CL05A104MP5NNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 10V X5R 0402,7008985,0,"0.10000","0","1","Cut Tape (CT)","CL","Active","0.1µF","±20%","10V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL05A104MP5NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1443-6-ND,CL05A104MP5NNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 10V X5R 0402,7008985,0,"Digi-Reel","0","1","Digi-Reel®","CL","Active","0.1µF","±20%","10V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
