Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
http://datasheets.avx.com/AVX-SCM.pdf,//media.digikey.com/Photos/AVX%20Photos/MFG_SCM.jpg,478-11479-ND,SCMR14C474PSBA0H,AVX Corporation,CAP 470MF 0% +100% 5V T/H,346,0,"3.69000","0","1","Bulk","SCM","Active","470mF","0%, +100%","5V","300mOhm @ 1kHz","2000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.453"" (11.50mm)","0.728"" L x 0.374"" W (18.50mm x 9.50mm)","0.689"" (17.50mm)","-40°C ~ 85°C"
https://industrial.panasonic.com/cdbs/www-data/pdf/RDH0000/ABC0000C112.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFG_Panasonic-HL-Series.jpg,P122240-ND,EEC-HL0E255,Panasonic Electronic Components,CAP 2.5F 20% 2.7V T/H,510,0,"3.70000","0","1","Bulk","HL","Active","2.5F","±20%","2.7V","70mOhm @ 1kHz","2000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.866"" (22.00mm)","-40°C ~ 70°C"
http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dvn_e.pdf,//media.digikey.com/Photos/Elna%20America%20Photos/DVN%20SERIES.JPG,604-1167-2-ND,DVN-5R5D224T-R5,Elna America,CAP 220MF -20% +80% 5.5V SMD,900,0,"3.76957","0","300","Tape & Reel (TR)","DVN","Active","220mF","-20%, +80%","5.5V","30Ohm","1000 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","Radial, Can - SMD","-","0.492"" Dia (12.50mm)","0.335"" (8.50mm)","-25°C ~ 70°C"
http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dvn_e.pdf,//media.digikey.com/Photos/Elna%20America%20Photos/DVN%20SERIES.JPG,604-1167-1-ND,DVN-5R5D224T-R5,Elna America,CAP 220MF -20% +80% 5.5V SMD,1369,0,"6.73000","0","1","Cut Tape (CT)","DVN","Active","220mF","-20%, +80%","5.5V","30Ohm","1000 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","Radial, Can - SMD","-","0.492"" Dia (12.50mm)","0.335"" (8.50mm)","-25°C ~ 70°C"
http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dvn_e.pdf,//media.digikey.com/Photos/Elna%20America%20Photos/DVN%20SERIES.JPG,604-1167-6-ND,DVN-5R5D224T-R5,Elna America,CAP 220MF -20% +80% 5.5V SMD,1369,0,"Digi-Reel","0","1","Digi-Reel®","DVN","Active","220mF","-20%, +80%","5.5V","30Ohm","1000 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","Radial, Can - SMD","-","0.492"" Dia (12.50mm)","0.335"" (8.50mm)","-25°C ~ 70°C"
http://www.illinoiscapacitor.com/pdf/seriesDocuments/DGH%20series.pdf,//media.digikey.com/Photos/Illinois%20Capacitor/DGHx55Q5R5.jpg,1572-1774-ND,DGH255Q5R5,Illinois Capacitor,CAPACITOR 2.5F -10% +30% 5.5V TH,644,0,"3.78000","0","1","Bulk","DGH","Active","2.5F","-10%, +30%","5.5V","140mOhm","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.610"" (15.50mm)","0.827"" L x 0.433"" W (21.00mm x 11.00mm)","0.945"" (24.00mm)","-40°C ~ 65°C"
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4327_KR_Series.pdf,//media.digikey.com/photos/Cooper%20Bussmann%20Photos/KR-5R5H474-R.jpg,283-2818-ND,KR-5R5H104-R,Eaton - Electronics Division,CAP 100MF -20% +80% 5.5V T/H,11539,0,"3.81000","0","1","Bulk","PowerStor KR","Active","100mF","-20%, +80%","5.5V","75Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can - Horizontal","0.394"" (10.00mm)","0.453"" Dia (11.50mm)","0.197"" (5.00mm)","-25°C ~ 70°C"
http://www.illinoiscapacitor.com/pdf/seriesDocuments/DGH%20series.pdf,//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DGH.JPG,1572-1764-ND,DGH256Q2R7,Illinois Capacitor,CAPACITOR 25F -10% +30% 2.7V TH,4283,0,"3.84000","0","1","Bulk","DGH","Active","25F","-10%, +30%","2.7V","25mOhm","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","1.063"" (27.00mm)","-40°C ~ 65°C"
http://www.illinoiscapacitor.com/pdf/seriesDocuments/DGH%20series.pdf,//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DGH.JPG,1572-1770-ND,DGH506Q2R7,Illinois Capacitor,CAPACITOR 50F -10% +30% 2.7V TH,912,300,"3.90000","0","1","Bulk","DGH","Active","50F","-10%, +30%","2.7V","15mOhm","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.709"" Dia (18.00mm)","1.654"" (42.00mm)","-40°C ~ 65°C"
http://www.illinoiscapacitor.com/pdf/seriesDocuments/DGH%20series.pdf,//media.digikey.com/Photos/Illinois%20Capacitor/DGHx55Q5R5.jpg,1572-1766-ND,DGH355Q5R5,Illinois Capacitor,CAPACITOR 3.5F -10% +30% 5.5V TH,763,2400,"3.90000","0","1","Bulk","DGH","Active","3.5F","-10%, +30%","5.5V","110mOhm","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.610"" (15.50mm)","0.827"" L x 0.433"" W (21.00mm x 11.00mm)","1.102"" (28.00mm)","-40°C ~ 65°C"
https://api.kemet.com/component-edge/download/datasheet/FG0H105ZF.pdf,//media.digikey.com/Photos/Kemet%20Photos/FG(R)0H105ZF.jpg,399-10805-ND,FG0H105ZF,KEMET,CAP 1F -20% +80% 5.5V T/H,1645,0,"3.91000","0","1","Bulk","FG","Active","1F","-20%, +80%","5.5V","65Ohm @ 1kHz","-","PC Pins","Through Hole","Radial, Can","0.200"" (5.08mm)","0.650"" Dia (16.50mm)","0.748"" (19.00mm)","-25°C ~ 70°C"
