Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Shape","Thread/Screw/Hole Size","Material"
http://www.keyelco.com/product-pdf.cfm?p=2523,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1567.jpg,36-1567-ND,1567,Keystone Electronics,BRACKET BOARD L STEEL 2 1/8""L,1065,1200,"0.58000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Tall L","0.156"" (3.96mm) (2), Oval 0.218"" L x 0.156"" W (5.54 x 3.96mm)","Steel, Nickel Plated"
http://www.essentracomponents.com.sg/images-line/pdfs/PCB-MB.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_PCB-MB-01.jpg,RPC1760-ND,PCB-MB-01,Essentra Components,MOUNTING BLOCK #4SCREW,6903,0,"0.61000","0","1","PCB-MB","Active","Mounting Block","Block","0.100"" (2.54mm) (2), M3","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=2528,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_4325.jpg,36-4325-ND,4325,Keystone Electronics,BRACKET BOARD,1094,200,"0.67000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Z Shape","0.130"" (3.30mm), 0.187"" (4.75mm)","Steel, Nickel Plated"
//media.digikey.com/pdf/Data%20Sheets/Keystone%20Electronics%20PDFs/ClearHoleMountingBrackets.pdf,//media.digikey.com/Photos/Keystone%20Elect%20Photos/625.JPG,36-625-ND,625,Keystone Electronics,BRACKET MOUNTIG ALUM,16507,13500,"0.77000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Tall L","0.156"" (3.96mm) (2), Oval 0.218"" L x 0.156"" W (5.54 x 3.96mm)","Aluminum"
http://www.keyelco.com/product-pdf.cfm?p=2511,//media.digikey.com/photos/Keystone%20Elect%20Photos/4332.jpg,36-4332-ND,4332,Keystone Electronics,BRACKET RT ANG MOUNT 6-32 BRASS,3768,28100,"0.87000","0","1","-","Active","Bracket, Threaded Hole(s)","Short L","0.156"" (3.96mm), 6-32","Brass, Nickel Plated"
http://www.keyelco.com/product-pdf.cfm?p=2523,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1571.jpg,36-1571-ND,1571,Keystone Electronics,BRACKET BOARD L STEEL 1 5/8""L,1044,1400,"0.55000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Tall L","0.156"" (3.96mm) (2), Oval 0.218"" L x 0.156"" W (5.54 x 3.96mm)","Steel, Nickel Plated"
http://www.keyelco.com/product-pdf.cfm?p=2529,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_4326.jpg,36-4326-ND,4326,Keystone Electronics,BRACKET UNIVERSAL CLEAR HOLE,1101,3700,"0.61000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Short L","0.140"" (3.56mm) (2)","Steel, Nickel Plated"
http://www.keyelco.com/product-pdf.cfm?p=2517,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_619.jpg,36-619-ND,619,Keystone Electronics,BRACKET UNIVERSAL .687X.687"" TIN,650,36400,"0.30000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Short L","0.144"" (3.66mm) (2)","Steel, Tin Plated"
//media.digikey.com/pdf/Data%20Sheets/Parallax%20PDFs/720-00012_Drawing.pdf,//media.digikey.com/Photos/Parallax%20Photos/720-00012.JPG,720-00012-ND,720-00012,Parallax Inc.,BRACKET UNIVERSAL STRAIGHT,157,0,"0.50000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Straight","0.118"" (3.00mm)","Aluminum"
//media.digikey.com/pdf/Data%20Sheets/Keystone%20Electronics%20PDFs/ClearHoleMountingBrackets.pdf,//media.digikey.com/Photos/Keystone%20Elect%20Photos/622.jpg,36-622-ND,622,Keystone Electronics,BOARD BRACKET 1 5/8"" LONG ALUM,646,3600,"0.61000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Tall L","0.156"" (3.96mm) (2), Oval 0.218"" L x 0.156"" W (5.54 x 3.96mm)","Aluminum"
http://www.keyelco.com/product-pdf.cfm?p=2522,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1564.jpg,36-1564-ND,1564,Keystone Electronics,BRACKET BOARD L STEEL 1.562""L,812,10300,"0.63000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Tall L","0.177"" (4.50mm) (3)","Steel, Nickel Plated"
http://www.keyelco.com/product-pdf.cfm?p=2523,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1569.jpg,36-1569-ND,1569,Keystone Electronics,BRACKET BOARD L STEEL 3 1/8""L,655,0,"0.66000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Tall L","0.156"" (3.96mm) (2), Oval 0.218"" L x 0.156"" W (5.54 x 3.96mm)","Steel, Nickel Plated"
http://www.keyelco.com/product-pdf.cfm?p=2512,//media.digikey.com/photos/Keystone%20Elect%20Photos/4333.JPG,36-4333-ND,4333,Keystone Electronics,BRACKET RT ANG MOUNT 8-32 BRASS,909,1000,"0.87000","0","1","-","Active","Bracket, Threaded Hole(s)","Short L","0.156"" (3.96mm), 8-32","Brass, Nickel Plated"
