Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Color","Size / Dimension"
http://www.essentracomponents.com.sg/images-line/pdfs/RFRT-G2-XXXGX.pdf,-,RFRT-G2-600-G1-ND,RFRT-G2-600-G1,Essentra Components,DAMPER ROTARY SNAP IN BLK,0,0,"2.32840","0","1000","-","Active","Rotary Damper","Black","0.94"" L x 0.59"" W x 0.26"" H (23.9mm x 15.0mm x 6.6mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/RFRT-G2-XXXGX.pdf,-,RFRT-G2-600-G2-ND,RFRT-G2-600-G2,Essentra Components,DAMPER ROTARY SNAP IN BLK,0,0,"2.32840","0","1000","-","Active","Rotary Damper","Black","0.94"" L x 0.59"" W x 0.23"" H (23.9mm x 15.0mm x 5.8mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/RFRT-G2-XXXGX.pdf,-,RFRT-G2-600-G3-ND,RFRT-G2-600-G3,Essentra Components,DAMPER ROTARY SNAP IN BLK,0,0,"2.32840","0","1000","-","Active","Rotary Damper","Black","0.94"" L x 0.59"" W x 0.26"" H (23.9mm x 15.0mm x 6.6mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/RFRT-G2-XXXGX.pdf,-,RFRT-G2-101-G2-ND,RFRT-G2-101-G2,Essentra Components,DAMPER ROTARY SNAP IN BLK,0,0,"2.33075","0","1000","-","Active","Rotary Damper","Black","0.94"" L x 0.59"" W x 0.23"" H (23.9mm x 15.0mm x 5.8mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/RFRT-G2-XXXGX.pdf,-,RFRT-G2-101-G3-ND,RFRT-G2-101-G3,Essentra Components,DAMPER ROTARY SNAP IN BLK,0,0,"2.33075","0","1000","-","Active","Rotary Damper","Black","0.94"" L x 0.59"" W x 0.26"" H (23.9mm x 15.0mm x 6.6mm)"
-,-,PBB0115BLK-ND,PBB0115BLK,Panduit Corp,PLASTIC CHAIN 2 BLACK,0,0,"2.53000","0","1","-","Active","Chain Link","Black","2.00"" L x 1.00"" W x 0.25"" H (50.8mm x 25.4mm x 6.4mm)"
-,-,PBB0115RED-ND,PBB0115RED,Panduit Corp,PLASTIC CHAIN 2 RED,0,0,"2.53000","0","1","-","Active","Chain Link","Red","2.00"" L x 1.00"" W x 0.25"" H (50.8mm x 25.4mm x 6.4mm)"
-,-,PBB0115WHT-ND,PBB0115WHT,Panduit Corp,PLASTIC CHAIN 2 WHITE,0,0,"2.53000","0","1","-","Active","Chain Link","White","2.00"" L x 1.00"" W x 0.25"" H (50.8mm x 25.4mm x 6.4mm)"
-,-,PBB0115YEL-ND,PBB0115YEL,Panduit Corp,PLASTIC CHAIN 2 YELLOW,0,0,"2.53000","0","1","-","Active","Chain Link","Yellow","2.00"" L x 1.00"" W x 0.25"" H (50.8mm x 25.4mm x 6.4mm)"
-,-,PBB0115BY-ND,PBB0115BY,Panduit Corp,PLASTIC CHAIN 2 ALT. BLACK-YEL,0,0,"3.59000","0","1","-","Active","Chain Link","Black, Yellow","2.00"" L x 1.00"" W x 0.25"" H (50.8mm x 25.4mm x 6.4mm)"
-,-,PBB0115RW-ND,PBB0115RW,Panduit Corp,PLASTIC CHAIN 2 ALT. RED-WHITE,0,0,"3.59000","0","1","-","Active","Chain Link","Red, White","2.00"" L x 1.00"" W x 0.25"" H (50.8mm x 25.4mm x 6.4mm)"
-,-,BATH17-ES-ND,BATH17-ES,3M,COMMAND LARGE TOWEL HOOK WIT,0,0,"3.81500","0","4","Command™","Active","-","-","-"
-,-,BATH18-ES-ND,BATH18-ES,3M,COMMAND MEDIUM BATH HOOKS WI,0,0,"3.81500","0","4","Command™","Active","-","-","-"
-,-,BATH22-ES-ND,BATH22-ES,3M,COMMAND WATER-RESISTANT REFI,0,0,"3.81833","0","6","Command™","Active","-","-","-"
-,-,FPA00-2PK-24-ND,FPA00-2PK-24,3M,FILTRETE FLAT PANEL AIR FILTER F,0,0,"3.82083","0","24","-","Active","-","-","-"
-,-,FPA01-2PK-24-ND,FPA01-2PK-24,3M,FILTRETE FLAT PANEL AIR FILTER F,0,0,"3.82083","0","24","-","Active","-","-","-"
-,-,FPA02-2PK-24-ND,FPA02-2PK-24,3M,FILTRETE FLAT PANEL AIR FILTER F,0,0,"3.82083","0","24","-","Active","-","-","-"
-,-,FPA03-2PK-24-ND,FPA03-2PK-24,3M,FILTRETE FLAT PANEL AIR FILTER F,0,0,"3.82083","0","24","-","Active","-","-","-"
-,-,FPA22-2PK-24-ND,FPA22-2PK-24,3M,FILTRETE FLAT PANEL AIR FILTER F,0,0,"3.82083","0","24","-","Active","-","-","-"
-,-,BATH16-ES-ND,BATH16-ES,3M,COMMAND RAZOR HOLDER WITH WA,0,0,"4.77500","0","2","Command™","Active","-","-","-"
-,-,BATH19-ES-ND,BATH19-ES,3M,COMMAND SHOWER CADDY HANGER,0,0,"4.82250","0","4","Command™","Active","-","-","-"
-,//media.digikey.com/Photos/3M%20Photos/MFG_BATH21-ES.jpg,BATH21-ES-ND,BATH21-ES,3M,COMMAND MULTI-HOOK WITH WATE,0,0,"4.84500","0","2","Command™","Active","-","-","-"
-,-,FBA00DC-H-6-ND,FBA00DC-H-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
