Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Holding Type","Mounting Type","Between Board Height","Length - Overall","Support Hole Diameter","Support Panel Thickness","Mounting Hole Diameter","Mounting Panel Thickness","Features","Material"
http://www.keyelco.com/product-pdf.cfm?p=9716,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_888x.jpg,36-8882-ND,8882,Keystone Electronics,BRD SPT SNAP FIT/LOCK NYLON 3/8"",10284,4100,"0.24000","0","1","-","Active","Snap Fit","Snap Lock","0.375"" (9.53mm) 3/8""","0.665"" (16.90mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","Tension Fit","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9716,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_888x.jpg,36-8881-ND,8881,Keystone Electronics,BRD SPT SNAP FIT/LOCK NYLON 1/4"",9986,12300,"0.24000","0","1","-","Active","Snap Fit","Snap Lock","0.250"" (6.35mm) 1/4""","0.540"" (13.72mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","Tension Fit","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9658,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_88xy.jpg,36-8809-ND,8809,Keystone Electronics,BRD SPT SNAP LOCK NYLON 3/8"",9465,38100,"0.24000","0","1","-","Active","Snap Lock","Snap Lock","0.375"" (9.53mm) 3/8""","1.055"" (26.80mm)","0.156"" (3.96mm) 5/32""","0.062"" (1.57mm) 1/16""","0.187"" (4.75mm) 3/16""","0.062"" (1.57mm) 1/16""","Winged","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9679,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_90xy.jpg,36-9021-ND,9021,Keystone Electronics,BRD SPT SNAP LOCK NYLON 3/8"",4112,11300,"0.24000","0","1","-","Active","Snap Lock","Snap Lock","0.375"" (9.53mm) 3/8""","0.655"" (16.64mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9702,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_883x.jpg,36-8833-ND,8833,Keystone Electronics,BRD SPT SNAP FIT SCREW MNT 1/2"",34632,19600,"0.26000","0","1","-","Active","Snap Fit","Screw Mount","0.500"" (12.70mm) 1/2""","0.625"" (15.88mm) 5/8""","0.187"" (4.75mm) 3/16""","0.062"" (1.57mm) 1/16""","0.187"" (4.75mm) 3/16""","-","Stackable","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9708,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_883x.jpg,36-8835-ND,8835,Keystone Electronics,BRD SPT SNAP FIT SCREW MNT 1/4"",10858,7000,"0.26000","0","1","-","Active","Snap Fit","Snap Lock","0.250"" (6.35mm) 1/4""","0.375"" (9.53mm) 3/8""","0.234"" (5.94mm)","0.062"" (1.57mm) 1/16""","0.234"" (5.94mm)","-","Stackable","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9679,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_90xy.jpg,36-9022-ND,9022,Keystone Electronics,BRD SPT SNAP LOCK NYLON 1/2"",12718,13600,"0.27000","0","1","-","Active","Snap Lock","Snap Lock","0.500"" (12.70mm) 1/2""","0.780"" (19.81mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9712,//media.digikey.com/Renders/Keystone%20Elect%20Renders/Stacking%20Spacer.jpg,36-8841-ND,8841,Keystone Electronics,BRD SPT SNAP FIT SCREW MNT 1/2"",4856,14000,"0.27000","0","1","-","Active","Snap Fit","Snap Lock","0.500"" (12.70mm) 1/2""","0.625"" (15.88mm) 5/8""","0.234"" (5.94mm)","0.062"" (1.57mm) 1/16""","0.234"" (5.94mm)","-","Stackable","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9725,//media.digikey.com/Renders/Keystone%20Elect%20Renders/Stacking%20Spacer.jpg,36-9030-ND,9030,Keystone Electronics,BRD SPT SNAP LOCK SCREW MNT 3/8"",3600,8600,"0.27000","0","1","-","Active","Snap Lock","Screw Mount","0.375"" (9.53mm) 3/8""","0.500"" (12.70mm) 1/2""","0.187"" (4.75mm) 3/16""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","-","-","Nylon"
//media.digikey.com/pdf/Data%20Sheets/Panduit%20PDFs/CPB_Series.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/CBP25-C.jpg,298-1129-ND,CBP25-C,Panduit Corp,BRD SPT SNAP FIT/LOCK NYLON 1/4"",2787,0,"0.29000","0","1","CBP","Active","Snap Fit","Snap Lock","0.250"" (6.35mm) 1/4""","0.531"" (13.50mm)","0.156"" (3.96mm) 5/32""","0.060"" (1.50mm)","0.156"" (3.96mm) 5/32""","0.060"" (1.50mm)","-","Nylon"
