Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Threaded/Unthreaded","Gender","Screw, Thread Size","Diameter - Inside","Diameter - Outside","Between Board Height","Length - Overall","Features","Material","Plating","Color"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9913-187.jpg,492-1043-ND,9913-187,Bivar Inc.,ROUND SPACER #2 NYLON 3/16"",18862,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#2","0.091"" (2.31mm)","0.188"" (4.78mm) 3/16""","0.188"" (4.78mm) 3/16""","0.188"" (4.78mm) 3/16""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/9911-062.JPG,492-1086-ND,9911-062,Bivar Inc.,ROUND SPACER #4 NYLON 1/16"",18152,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#4","0.125"" (3.18mm) 1/8""","0.250"" (6.35mm) 1/4""","0.063"" (1.60mm) 1/16""","0.063"" (1.60mm) 1/16""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9905-125.JPG,492-1102-ND,9905-125,Bivar Inc.,ROUND SPACER #6 NYLON 1/8"",17300,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#6","0.147"" (3.73mm)","0.250"" (6.35mm) 1/4""","0.125"" (3.18mm) 1/8""","0.125"" (3.18mm) 1/8""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9911-312.jpg,492-1090-ND,9911-312,Bivar Inc.,ROUND SPACER #4 NYLON 5/16"",14354,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#4","0.125"" (3.18mm) 1/8""","0.250"" (6.35mm) 1/4""","0.313"" (7.95mm) 5/16""","0.313"" (7.95mm) 5/16""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9905-187.JPG,492-1103-ND,9905-187,Bivar Inc.,ROUND SPACER #6 NYLON 3/16"",13168,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#6","0.147"" (3.73mm)","0.250"" (6.35mm) 1/4""","0.188"" (4.78mm) 3/16""","0.188"" (4.78mm) 3/16""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9905-062.JPG,492-1101-ND,9905-062,Bivar Inc.,ROUND SPACER #6 NYLON 1/16"",12601,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#6","0.147"" (3.73mm)","0.250"" (6.35mm) 1/4""","0.063"" (1.60mm) 1/16""","0.063"" (1.60mm) 1/16""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9905-312.jpg,492-1105-ND,9905-312,Bivar Inc.,ROUND SPACER #6 NYLON 5/16"",13610,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#6","0.147"" (3.73mm)","0.250"" (6.35mm) 1/4""","0.313"" (7.95mm) 5/16""","0.313"" (7.95mm) 5/16""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9912-375.JPG,492-1121-ND,9912-375,Bivar Inc.,ROUND SPACER #8 NYLON 3/8"",13197,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#8","0.171"" (4.34mm)","0.250"" (6.35mm) 1/4""","0.375"" (9.53mm) 3/8""","0.375"" (9.53mm) 3/8""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9911-250.jpg,492-1089-ND,9911-250,Bivar Inc.,ROUND SPACER #4 NYLON 1/4"",11001,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#4","0.125"" (3.18mm) 1/8""","0.250"" (6.35mm) 1/4""","0.250"" (6.35mm) 1/4""","0.250"" (6.35mm) 1/4""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9913-250.jpg,492-1044-ND,9913-250,Bivar Inc.,ROUND SPACER #2 NYLON 1/4"",11788,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#2","0.091"" (2.31mm)","0.188"" (4.78mm) 3/16""","0.250"" (6.35mm) 1/4""","0.250"" (6.35mm) 1/4""","-","Nylon","-","Natural"
