Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Color","Material","Hole Diameter","Flange Diameter","Panel Thickness"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,-,16233B-ND,16233B,Essentra Components,BODY PLUG BLK 0.630"" ELASTOMER,0,0,"0.23640","0","5000","-","Active","Body Plug","Black","Thermoplastic Elastomer","0.630"" (16.00mm)","0.980"" (24.90mm)","0.031"" ~ 0.079"" (0.79mm ~ 2.00mm)"
-,-,HP-3-ND,HP-3,Molex,HARDWARE 1/2"" HOLE PLUG,0,0,"0.25080","0","1000","-","Active","Body Plug","Natural","Steel, Nickel Plated","0.500"" (12.70mm) 1/2""","-","-"
http://www.keyelco.com/product-pdf.cfm?p=2728,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_8611.jpg,36-8611-ND,8611,Keystone Electronics,PLUG HOLE NYLON 1.500"" DIA,0,1700,"0.45730","0","100","-","Active","Body Plug","Black","Nylon","1.500"" (38.10mm) 1 1/2""","1.671"" (42.44mm)","0.125"" (3.18mm) 1/8"""
http://www.keyelco.com/product-pdf.cfm?p=2685,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_76xy.jpg,36-7604-ND,7604,Keystone Electronics,PLUG HOLE .625""DIA STEEL 8 PRONG,0,0,"0.67520","0","100","-","Active","Body Plug","Natural","Steel, Nickel Plated","0.625"" (15.88mm) 5/8""","0.812"" (20.62mm) 13/16""","0.062"" ~ 0.093"" (1.57mm ~ 2.36mm)"
http://www.keyelco.com/product-pdf.cfm?p=2686,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_76xy.jpg,36-7605-ND,7605,Keystone Electronics,PLUG HOLE .750""DIA STL 12 PRONG,0,3900,"0.67520","0","100","-","Active","Body Plug","Natural","Steel, Nickel Plated","0.750"" (19.05mm) 3/4""","0.921"" (23.39mm)","0.062"" ~ 0.093"" (1.57mm ~ 2.36mm)"
http://www.keyelco.com/product-pdf.cfm?p=2687,//media.digikey.com/Photos/Keystone%20Elect%20Photos/7606.JPG,36-7606-ND,7606,Keystone Electronics,PLUG HOLE .875""DIA STL 12 PRONG,0,9200,"0.77820","0","100","-","Active","Body Plug","Natural","Steel, Nickel Plated","0.875"" (22.23mm) 7/8""","1.062"" (26.97mm) 1 1/16""","0.062"" ~ 0.093"" (1.57mm ~ 2.36mm)"
http://www.keyelco.com/product-pdf.cfm?p=2688,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_76xy.jpg,36-7607-ND,7607,Keystone Electronics,PLUG HOLE 1.00""DIA STL 12 PRONG,0,1400,"0.89880","0","100","-","Active","Body Plug","Natural","Steel, Nickel Plated","1.000"" (25.40mm) 1""","1.140"" (28.96mm)","0.062"" ~ 0.156"" (1.57mm ~ 3.96mm)"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Enclosures&Cable_Glands_Cat.pdf,-,1776920000-ND,1776920000,Weidmüller,BLANKING PLUG VP M16 K54,0,600,"0.99530","0","100","VP","Active","Body Plug","Gray","Nylon","-","0.787"" (19.99mm)","0.276"" (7.01mm)"
http://www.keyelco.com/product-pdf.cfm?p=2689,//media.digikey.com/photos/Keystone%20Elect%20Photos/7608.JPG,36-7608-ND,7608,Keystone Electronics,PLUG HOLE 1.125""DIA STL 12 PRONG,0,5900,"1.12000","0","100","-","Active","Body Plug","Natural","Steel, Nickel Plated","1.125"" (28.58mm) 1 1/8""","1.312"" (33.32mm) 1 5/16""","0.031"" ~ 0.125"" (0.79mm ~ 3.18mm)"
http://www.keyelco.com/product-pdf.cfm?p=2690,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_76xy.jpg,36-7609-ND,7609,Keystone Electronics,PLUG HOLE 1.250""DIA STL 12 PRONG,0,2300,"1.21000","0","100","-","Active","Body Plug","Natural","Steel, Nickel Plated","1.250"" (31.75mm) 1 1/4""","1.437"" (36.50mm) 1 7/16""","0.062"" ~ 0.093"" (1.57mm ~ 2.36mm)"
