Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Rotation Angle","Material","Plating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/9001x_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90012.jpg,RPC2697-ND,90012,Essentra Access Solutions,HEAVY DUTY LEAF HINGE 90X60 ZAMA,40,0,"10.30000","0","1","-","Active","Leaf Hinge","270°","Zamak","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Leaf_Hinge_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_1699122002.jpg,RPC2465-ND,1699121002,Essentra Access Solutions,STYLED LIFT OFF HINGE LH ZAMAK B,40,0,"10.49000","0","1","-","Active","Lift Off Hinge","180°","Zamak","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/13991xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_1399111.jpg,RPC2431-ND,1399111,Essentra Access Solutions,STYLED LEAF HINGE 80X70 ZAMAK CH,75,0,"10.60000","0","1","-","Active","Leaf Hinge","270°","Zamak","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/13991xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_1399121.jpg,RPC2434-ND,1399121,Essentra Access Solutions,STYLED LEAF HINGE 80X70 ZAMAK BL,71,0,"10.60000","0","1","-","Active","Leaf Hinge","270°","Zamak","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Access_Solutions_Cat.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_29331.jpg,RPC2528-ND,29331,Essentra Access Solutions,SIDE MOUNTED HINGE BRASS CHROME,50,0,"10.67000","0","1","-","Active","Side Hinge","180°","Brass","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Leaf_Hinge_DS.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/1699111001.JPG,RPC2462-ND,1699111001,Essentra Access Solutions,STYLED LIFT OFF HINGE RH ZAMAK C,40,0,"10.91000","0","1","-","Active","Lift Off Hinge","180°","Zamak","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Leaf_Hinge_DS.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/1699111002.JPG,RPC2463-ND,1699111002,Essentra Access Solutions,STYLED LIFT OFF HINGE LH ZAMAK C,40,0,"10.91000","0","1","-","Active","Lift Off Hinge","180°","Zamak","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Leaf_Hinge_DS.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/1699121001.JPG,RPC2464-ND,1699121001,Essentra Access Solutions,STYLED LIFT OFF HINGE RH ZAMAK B,39,0,"10.91000","0","1","-","Active","Lift Off Hinge","180°","Zamak","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Lift_off_Hinge_DS.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/14991200x.JPG,RPC2446-ND,149912001,Essentra Access Solutions,STYLED LIFT OFF HINGE RH ZAMAK B,32,0,"10.91000","0","1","-","Active","Lift Off Hinge","180°","Zamak","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Access_Solutions_Cat.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_09330.jpg,RPC2390-ND,09330,Essentra Access Solutions,SIDE MOUNTED HINGE BRASS NONE FI,50,0,"11.18000","0","1","-","Active","Side Hinge","100°","Brass","-"
