Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Specifications"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/photos/Rose%20&%20Bopla%20Enclosures/4014101.JPG,1758-1024-ND,4014101,Rose+Krieger,"ANGLE BRACKET 40MM, 1 SIDE",26,0,"5.36000","0","1","Frameworks®","Active","Bracket","-"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/photos/Rose%20&%20Bopla%20Enclosures/4816702.jpg,1758-1019-ND,4816702,Rose+Krieger,"FLANGE BRACKET, 90 DEGREE FOR F-",62,0,"5.53000","0","1","Frameworks®","Active","Bracket","-"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/photos/Rose%20&%20Bopla%20Enclosures/4014102.JPG,1758-1025-ND,4014102,Rose+Krieger,"ANGLE BRACKET '40MM, 2 SIDES",64,0,"6.04000","0","1","Frameworks®","Active","Bracket","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1178_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1178.jpg,1528-1909-ND,1178,Adafruit Industries LLC,RADIAL BALL BEARING 608ZZ 4PK,99,0,"6.95000","0","1","-","Active","Bearing, Radial Ball","0.315"" (8.00mm) Inner Diameter"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/photos/Rose%20&%20Bopla%20Enclosures/4034101.JPG,1758-1026-ND,4034101,Rose+Krieger,"ANGLE BRACKET '40X80MM, 1 SIDE",32,0,"7.13000","0","1","Frameworks®","Active","Bracket","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1297_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1297.jpg,1528-1178-ND,1297,Adafruit Industries LLC,STEPPER MOTOR MNT/HDWR NEMA-17SZ,42,0,"8.95000","0","1","-","Active","Stepper Mount","NEMA 17"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/775_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/775.JPG,1528-1157-ND,775,Adafruit Industries LLC,SLIP RING 12MM 6WR MAX 240V 2A,75,0,"17.50000","0","1","-","Active","Slip Ring","6 Wire, 26 AWG"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/photos/Rose%20&%20Bopla%20Enclosures/4034100.JPG,1758-1027-ND,4034100,Rose+Krieger,"ANGLE BRACKET '40X80MM, 2 SIDES",18,0,"19.19000","0","1","Frameworks®","Active","Bracket","90° Angle"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1196_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/1196.JPG,1528-1176-ND,1196,Adafruit Industries LLC,SLIP RING FLANGE 22MM DIA 12WIRE,81,0,"19.95000","0","1","-","Active","Slip Ring","12 Wire, 28 AWG"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4815000.jpg,1758-1006-ND,4815000.1000,Rose+Krieger,F-40X40L 40X40MM LIGHT EXTRUSION,12,0,"20.05000","0","1","Frameworks®","Active","Extruded Aluminum Profile","39.370"" L x 1.575"" W x 1.575"" H (1000.00mm x 40.00mm x 40.00mm)"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4575000.jpg,1758-1001-ND,4575000.1500,Rose+Krieger,F-30X30 30X30MM EXTRUSION 1.5 ME,10,0,"22.27000","0","1","Frameworks®","Active","Extruded Aluminum Profile","59.055"" L x 1.181"" W x 1.181"" H (1500.00mm x 30.00mm x 30.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1195_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/1195.JPG,1528-1175-ND,1195,Adafruit Industries LLC,SLIP RING MINI 12MM DIA 12WIRE,9,0,"24.95000","0","1","-","Active","Slip Ring","12 Wire, 28 AWG"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4D35000.jpg,1758-1003-ND,4D35000.1000,Rose+Krieger,F-40X40 40X40MM EXTRUSION 1 METE,9,0,"26.19000","0","1","Frameworks®","Active","Extruded Aluminum Profile","39.370"" L x 1.575"" W x 1.575"" H (1000.00mm x 40.00mm x 40.00mm)"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4575000.jpg,1758-1002-ND,4575000.2000,Rose+Krieger,F-30X30 30X30MM EXTRUSION 2 METE,10,0,"29.11000","0","1","Frameworks®","Active","Extruded Aluminum Profile","78.740"" L x 1.181"" W x 1.181"" H (2000.00mm x 30.00mm x 30.00mm)"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4D35000.jpg,1758-1004-ND,4D35000.1500,Rose+Krieger,F-40X40 40X40MM EXTRUSION 1.5 ME,16,0,"38.38000","0","1","Frameworks®","Active","Extruded Aluminum Profile","59.055"" L x 1.575"" W x 1.575"" H (1500.00mm x 40.00mm x 40.00mm)"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4D45000.jpg,1758-1012-ND,4D45000.1000,Rose+Krieger,F-40X80/3 40X80MM ""3 SLOT"" EXTRU,10,0,"47.43000","0","1","Frameworks®","Active","Extruded Aluminum Profile","39.370"" L x 3.150"" W x 1.575"" H (1000.00mm x 80.00mm x 40.00mm)"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/4016201.JPG,1758-1065-ND,4016201,Rose+Krieger,"HAMMERHEAD BOLT 40MM, M8X25, WIT",49,0,"2.33000","0","1","Frameworks®","Active","T-Head Bolt","M8 Thread"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/4024111.JPG,1758-1064-ND,4024111,Rose+Krieger,"FIXATION SET TYPE K T-NUT, WASHE",30,0,"2.89000","0","1","Frameworks®","Active","Fixing Set","M8 Thread"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/photos/Rose%20&%20Bopla%20Enclosures/4816700.jpg,1758-1021-ND,4816700,Rose+Krieger,"FLANGE BRACKET, 90 DEGREE FOR F-",49,0,"6.96000","0","1","Frameworks®","Active","Bracket","-"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/4246702.jpg,1758-1020-ND,4246702,Rose+Krieger,"FLANGE BRACKET, 90 DEGREE F40X80",46,0,"7.46000","0","1","Frameworks®","Active","Bracket","-"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/photos/Rose%20&%20Bopla%20Enclosures/4246700.jpg,1758-1022-ND,4246700,Rose+Krieger,"FLANGE BRACKET, 90 DEGREE F80X80",30,0,"7.46000","0","1","Frameworks®","Active","Bracket","-"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/4014111.JPG,1758-1063-ND,4014111,Rose+Krieger,"FIXATION SET TYPE K T-NUT, WASHE",30,0,"7.71000","0","1","Frameworks®","Active","Fixing Set","M8 Thread"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4815000.jpg,1758-1007-ND,4815000.1500,Rose+Krieger,F-40X40L 40X40MM LIGHT EXTRUSION,18,0,"29.18000","0","1","Frameworks®","Active","Extruded Aluminum Profile","59.055"" L x 1.575"" W x 1.575"" H (1500.00mm x 40.00mm x 40.00mm)"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4285000.jpg,1758-1009-ND,4285000.1000,Rose+Krieger,F-40X80L 40X80MM LIGHT EXTRUSION,10,0,"36.88000","0","1","Frameworks®","Active","Extruded Aluminum Profile","39.370"" L x 3.150"" W x 1.575"" H (1000.00mm x 80.00mm x 40.00mm)"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4815000.jpg,1758-1008-ND,4815000.2000,Rose+Krieger,F-40X40L 40X40MM LIGHT EXTRUSION,20,0,"38.30000","0","1","Frameworks®","Active","Extruded Aluminum Profile","78.740"" L x 1.575"" W x 1.575"" H (2000.00mm x 40.00mm x 40.00mm)"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4D35000.jpg,1758-1005-ND,4D35000.2000,Rose+Krieger,F-40X40 40X40MM EXTRUSION 2 METE,20,0,"50.58000","0","1","Frameworks®","Active","Extruded Aluminum Profile","78.740"" L x 1.575"" W x 1.575"" H (2000.00mm x 40.00mm x 40.00mm)"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4285000.jpg,1758-1010-ND,4285000.1500,Rose+Krieger,F-40X80L 40X80MM LIGHT EXTRUSION,20,0,"54.43000","0","1","Frameworks®","Active","Extruded Aluminum Profile","59.055"" L x 3.150"" W x 1.575"" H (1500.00mm x 80.00mm x 40.00mm)"
