Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Screw Size","Head Diameter","Mounting Hole Diameter","Head Height","Material","Color"
http://multimedia.3m.com/mws/media/1252515O/e-a-r-g-512-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-512.jpg",EAR1198-ND,G-512-1,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,1420,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.625"" (15.88mm) 5/8""","0.437"" (11.10mm) 7/16""","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252178O/e-a-r-g-461-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-461.jpg",EAR1152-ND,G-461-1,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,1193,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","-","-","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252509O/e-a-r-g-507-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-507.jpg",EAR1265-ND,G-507-V2325,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,1188,0,"0.34000","0","1","VersaDamp™ V-2000","Active","-","-","-","-","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252180O/e-a-r-g-427-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-427-1.jpg",EAR1138-ND,G-427-1,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,1165,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.441"" (11.20mm)","0.312"" (7.92mm) 5/16""","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252186O/e-a-r-g-403-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-403.jpg",EAR1104-ND,G-403-1,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPLSTC,1161,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.625"" (15.88mm) 5/8""","0.375"" (9.53mm) 3/8""","0.313"" (7.95mm) 5/16""","Thermoplastic","-"
http://multimedia.3m.com/mws/media/1252173O/e-a-r-g-411-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-411-3.jpg",EAR1122-ND,G-411-3,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPLSTC,1110,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.563"" (14.30mm)","0.375"" (9.53mm) 3/8""","-","Thermoplastic","-"
http://multimedia.3m.com/mws/media/1252180O/e-a-r-g-427-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-427.jpg",EAR1140-ND,G-427-3,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPLSTC,1078,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.441"" (11.20mm)","0.312"" (7.92mm) 5/16""","-","Thermoplastic","-"
http://www.essentracomponents.com.sg/images-line/pdfs/EG-X.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_1153434.jpg,RPC1953-ND,EG-6-01,Essentra Components,EXPANSION GROMMET NATURAL 3/8"",9894,0,"0.35000","0","1","EG-x","Active","#8 or #10 Self Tapping Screw","0.380"" (9.65mm) Square","0.260"" L x 0.305"" W (6.60mm x 7.75mm) Rectangular","0.375"" (9.53mm) 3/8""","Nylon","Natural"
http://multimedia.3m.com/mws/media/1252503O/e-a-r-si-430-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_SI-430-C1002.jpg",EAR1232-ND,SI-430-C1002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPLSTC,3780,0,"0.35000","0","1","ISODAMP™ C-1000","Active","-","-","-","-","Thermoplastic","-"
http://multimedia.3m.com/mws/media/1252179O/e-a-r-g-401-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-401-C8002.jpg",EAR1097-ND,G-401-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPLSTC,3153,0,"0.35000","0","1","ISODAMP™ C-8000","Active","-","0.563"" (14.30mm)","0.375"" (9.53mm) 3/8""","-","Thermoplastic","-"
http://multimedia.3m.com/mws/media/1252176O/e-a-r-g-501-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-501.jpg",EAR1167-ND,G-501-C8012,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,3114,0,"0.35000","0","1","ISODAMP™ C-8000","Active","-","0.500"" (12.70mm) 1/2""","0.360"" (9.14mm)","-","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252515O/e-a-r-g-512-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-512.jpg",EAR1202-ND,G-512-C8012,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,2879,0,"0.35000","0","1","ISODAMP™ C-8000","Active","-","0.625"" (15.88mm) 5/8""","0.437"" (11.10mm) 7/16""","-","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252185O/e-a-r-g-412-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-412-C8002.jpg",EAR1130-ND,G-412-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,2594,0,"0.35000","0","1","ISODAMP™ C-8000","Active","-","0.379"" (9.63mm)","0.250"" (6.35mm) 1/4""","0.230"" (5.84mm)","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252170O/e-a-r-g-430-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-430-C8002.jpg",EAR1146-ND,G-430-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,1996,0,"0.35000","0","1","ISODAMP™ C-8000","Active","-","-","-","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252169O/e-a-r-g-431-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-431.jpg",EAR1150-ND,G-431-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,1996,0,"0.35000","0","1","ISODAMP™ C-8000","Active","-","-","0.560"" (14.22mm)","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252178O/e-a-r-g-461-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-461.jpg",EAR1156-ND,G-461-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,1996,0,"0.35000","0","1","ISODAMP™ C-8000","Active","-","-","-","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252510O/e-a-r-g-506-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-506-C8002.jpg",EAR1188-ND,G-506-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPLSTC,1996,0,"0.35000","0","1","ISODAMP™ C-8000","Active","-","0.460"" (11.68mm)","0.315"" (8.00mm)","-","Thermoplastic","-"
-,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-507.jpg",EAR1192-ND,G-507-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,1996,0,"0.35000","0","1","ISODAMP™ C-8000","Active","-","-","-","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252516O/e-a-r-g-511-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-511.jpg",EAR1196-ND,G-511-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,1991,0,"0.35000","0","1","ISODAMP™ C-8000","Active","-","0.753"" (19.13mm)","0.562"" (14.27mm)","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252512O/e-a-r-g-504-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-504.jpg",EAR1180-ND,G-504-C8012,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,1988,0,"0.35000","0","1","ISODAMP™ C-8000","Active","-","0.438"" (11.13mm) 7/16""","0.309"" (7.85mm)","-","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252176O/e-a-r-g-501-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-501.jpg",EAR1166-ND,G-501-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,1985,0,"0.35000","0","1","ISODAMP™ C-8000","Active","-","0.500"" (12.70mm) 1/2""","0.360"" (9.14mm)","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252171O/e-a-r-g-404-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-404.jpg",EAR1112-ND,G-404-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPLSTC,1974,0,"0.35000","0","1","ISODAMP™ C-8000","Active","-","0.625"" (15.88mm) 5/8""","0.380"" (9.65mm)","-","Thermoplastic","-"
http://multimedia.3m.com/mws/media/1252513O/e-a-r-g-521-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-521-C8002.jpg",EAR1209-ND,G-521-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,1973,0,"0.35000","0","1","ISODAMP™ C-8000","Active","-","0.625"" (15.88mm) 5/8""","0.375"" (9.53mm) 3/8""","-","Thermoplastic","Blue"
