Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Color","Size","Size / Dimension"
-,//media.digikey.com/Photos/3M%20Photos/17072-BN.jpg,3M12078-ND,17072-BN,3M,SMALL METALLIC COATED NCKL HOOK,0,0,"4.14000","0","4","Command™","Active","Hook","Nickel","Small","2.13"" L x 1.00"" W (54.1mm x 25.4mm)"
-,-,17200CLR-ES-ND,17200CLR-ES,3M,COMMAND CLEAR ASSORTED REFIL,0,0,"4.16167","0","6","Command™","Active","-","-","-","-"
-,-,17201-4PK-ES-ND,17201-4PK-ES,3M,COMMAND MEDIUM PICTURE HANGI,0,0,"4.18333","0","6","Command™","Active","-","-","-","-"
-,-,17207-ES-ND,17207-ES,3M,COMMAND NARROW PICTURE HANGI,0,0,"4.18333","0","6","Command™","Active","-","-","-","-"
-,-,17093CLR-AWES-ND,17093CLR-AWES,3M,COMMAND OUTDOOR LARGE CLEAR,0,0,"4.30500","0","4","Command™","Active","-","-","-","-"
-,-,17206BLK-ES-ND,17206BLK-ES,3M,COMMAND LARGE BLACK PICTURE,0,0,"4.33167","0","6","Command™","Active","-","-","-","-"
-,-,17206-ES-ND,17206-ES,3M,COMMAND LARGE PICTURE HANGIN,0,0,"4.33167","0","6","Command™","Active","-","-","-","-"
-,-,17210CLR-ND,17210CLR,3M,COMMAND CLEAR FRIDGE CLIPS W,0,0,"4.34500","0","4","Command™","Active","-","-","-","-"
-,//media.digikey.com/Photos/3M%20Photos/17061-BN.jpg,3M12075-ND,17061-BN,3M,METALLIC COATED NICKEL MED HOOK,0,0,"4.48750","0","4","Command™","Active","Hook","Nickel","Medium","3.13"" L x 1.13"" W (79.5mm x 28.7mm)"
-,-,17006CLR-CS-ND,17006CLR-CS,3M,COMMAND CLEAR MINI HOOKS CLI,0,0,"4.50750","0","12","Command™","Active","-","-","-","-"
-,-,17088Q-ES-ND,17088Q-ES,3M,COMMAND QUARTZ JUMBO HOOK 17,0,0,"4.52500","0","4","Command™","Active","-","-","-","-"
-,-,17088S-ES-ND,17088S-ES,3M,COMMAND SLATE JUMBO HOOK 170,0,0,"4.52500","0","4","Command™","Active","-","-","-","-"
-,-,17069-ALT-ND,17069-ALT,3M,COMMAND LARGE WIRE HOOK 1706,0,0,"4.53000","0","4","Command™","Active","-","-","-","-"
-,-,17091CLR-AWES-ND,17091CLR-AWES,3M,COMMAND OUTDOOR MEDIUM CLEAR,0,0,"4.53500","0","4","Command™","Active","-","-","-","-"
-,-,SRA-4-ND,SRA-4,3M,SMALL RUG GRIPPER SRA-4 4 PAIR/P,0,0,"4.61200","0","10","-","Active","-","-","-","-"
-,-,SRA-4CLIP-ND,SRA-4 CLIP,3M,SMALL RUG GRIPPER SRA-4 CLIP,0,0,"4.61250","0","12","-","Active","-","-","-","-"
-,//media.digikey.com/Photos/3M%20Photos/17084-P.jpg,3M12068-ND,17084-P,3M,MEDIUM PINK BALL HOOKS,0,0,"4.64417","0","24","Command™","Active","Hook","Pink","Medium","4.13"" L x 1.50"" W (104.9mm x 38.1mm)"
-,-,17022AW-ES-ND,17022AW-ES,3M,COMMAND OUTDOOR SMALL FOAM S,0,0,"4.65167","0","6","Command™","Active","-","-","-","-"
http://multimedia.3m.com/mws/media/1308738O/us-scotch-fastening-brochure-2016-price-page-info-removed-pdf.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_RF7060X.jpg,RF7060X-ND,RF7060X,3M,INTERLOCKING TAPE FOR MOUNTING I,0,0,"4.72792","0","24","Scotch®","Active","Hanger","White","-","0.63"" Dia (15.9mm)"
-,//media.digikey.com/Photos/3M%20Photos/17051BN-B.jpg,3M12054-ND,17051BN-B,3M,METALLIC COAT NICKEL MED HOOK,0,0,"4.76500","0","4","Command™","Active","Hook","Nickel","Medium","3.13"" L x 1.25"" W (79.5mm x 31.8mm)"
-,-,17615CLRAW-ES-ND,17615CLRAW-ES,3M,COMMAND OUTDOOR MEDIUM AND L,0,0,"4.76500","0","4","Command™","Active","-","-","-","-"
