Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Style","Type","Shaft Size","Diameter","Height","Indicator","Material","Color","Features"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3ba689de4bb23fd59ba3c/1471396458004/JD_PNB_fv3-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/JD-50%20BLK.jpg,226-1010-ND,JD-50-2-6,Kilo International,KNOB KNURLED 0.125"" METAL,230,0,"8.10000","0","1","JD","Active","Cylindrical","Knurled, Straight","0.125"" (3.18mm)","0.500"" (12.70mm)","0.625"" (15.88mm)","Line on Top and Side","Metal","Black Gloss","6-32 Set Screw (2)"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3ba689de4bb23fd59ba3c/1471396458004/JD_PNB_fv3-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/JD-50%20BLK.jpg,226-4013-ND,JD-50-4-7,Kilo International,KNOB KNURLED 0.236"" METAL,200,0,"8.10000","0","1","JD","Active","Cylindrical","Knurled, Straight","0.236"" (6.00mm)","0.500"" (12.70mm)","0.625"" (15.88mm)","Line on Top and Side","Metal","Black Matte","6-32 Set Screw (2)"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3b9c4f5e231ee4296b8cb/1471396292549/DD_PNB_fv3-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/DD-50%20BLK.jpg,226-1005-ND,DD-50-2-6,Kilo International,KNOB KNURLED 0.125"" METAL,200,0,"8.10000","0","1","DD","Active","Cylindrical","Knurled, Straight","0.125"" (3.18mm)","0.500"" (12.70mm)","0.625"" (15.88mm)","Line on Side","Metal","Black Gloss","6-32 Set Screw (2)"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3ba689de4bb23fd59ba3c/1471396458004/JD_PNB_fv3-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/JD-75%20BLK.jpg,226-1011-ND,JD-75-2-5,Kilo International,KNOB KNURLED 0.250"" METAL,208,0,"8.24000","0","1","JD","Active","Cylindrical","Knurled, Straight","0.250"" (6.35mm)","0.750"" (19.05mm)","0.625"" (15.88mm)","Line on Top and Side","Metal","Black Gloss","6-32 Set Screw (2)"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3b9c4f5e231ee4296b8cb/1471396292549/DD_PNB_fv3-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/DD-75%20BLK.jpg,226-1006-ND,DD-75-2-5,Kilo International,KNOB KNURLED 0.250"" METAL,202,0,"8.24000","0","1","DD","Active","Cylindrical","Knurled, Straight","0.250"" (6.35mm)","0.750"" (19.05mm)","0.625"" (15.88mm)","Line on Side","Metal","Black Gloss","6-32 Set Screw (2)"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3ba689de4bb23fd59ba3c/1471396458004/JD_PNB_fv3-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/JD-75%20BLK.jpg,226-4034-ND,JD-75-4-6,Kilo International,KNOB KNURLED 0.125"" METAL,165,0,"8.24000","0","1","JD","Active","Cylindrical","Knurled, Straight","0.125"" (3.18mm)","0.750"" (19.05mm)","0.625"" (15.88mm)","Line on Top and Side","Metal","Black Matte","6-32 Set Screw (2)"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3ba689de4bb23fd59ba3c/1471396458004/JD_PNB_fv3-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/JD-75%20BLK.jpg,226-4014-ND,JD-75-4-7,Kilo International,KNOB KNURLED 0.236"" METAL,115,0,"8.24000","0","1","JD","Active","Cylindrical","Knurled, Straight","0.236"" (6.00mm)","0.750"" (19.05mm)","0.625"" (15.88mm)","Line on Top and Side","Metal","Black Matte","6-32 Set Screw (2)"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Alcoswitch%20PDFs/Knobs%20cat.pdf,//media.digikey.com/Photos/Tyco%20Photos/KB700B1%5E4.jpg,KB700B1/4-ND,KB700B1/4,TE Connectivity ALCOSWITCH Switches,KNOB KNURLED 0.250"" METAL,543,0,"8.36000","0","1","KB","Active","Cylindrical","Knurled, Straight","0.250"" (6.35mm)","0.750"" (19.05mm)","0.787"" (19.99mm)","Line on Top","Metal","Black","6-32 Set Screw (2)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=6-1437622-0&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/KN700B1%204.JPG,450-1710-ND,KN700B1/4,TE Connectivity ALCOSWITCH Switches,KNOB KNURLED 0.250"" METAL,1324,0,"10.92000","0","1","KN","Active","Cylindrical","Knurled, Straight","0.250"" (6.35mm)","0.750"" (19.05mm)","0.625"" (15.88mm)","Line on Side","Metal","Black","6-32 Set Screw (2)"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb3cb3db2b80ee0600f0/1471396669238/SC_PNB_fv3_2.png,//media.digikey.com/photos/Kilo%20International%20Photos/SC-50%20BLK.jpg,226-4076-ND,SC-50-4-5,Kilo International,KNOB KNURLED W/SKRT 0.250"" METAL,209,0,"9.47000","0","1","SC","Active","Cylindrical with Skirt","Knurled, Straight","0.250"" (6.35mm)","0.500"" (12.70mm), 0.685"" (17.40mm) Skirt","0.625"" (15.88mm)","Numbers on Skirt","Metal","Black Matte","6-32 Set Screw (2)"
http://www.keyelco.com/product-pdf.cfm?p=1631,//media.digikey.com/photos/Keystone%20Elect%20Photos/8559.jpg,36-8559-ND,8559,Keystone Electronics,KNOB KNURLED W/SKRT 0.250"" PLAST,204,383,"9.99000","0","1","-","Active","Cylindrical with Skirt","Knurled, Straight","0.250"" (6.35mm)","0.700"" (17.78mm), 1.150"" (29.21mm) Skirt","0.780"" (19.80mm)","Arrow on Skirt","Plastic","Black","4-40 Set Screw (2)"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3b9aef5e231ee4296b7fc/1471396272470/DDS_PNB_fv3_2.png,//media.digikey.com/photos/Kilo%20International%20Photos/DDS-50%20BLK.jpg,226-4037-ND,DDS-50-4-5,Kilo International,KNOB KNURLED W/SKRT 0.250"" METAL,300,0,"10.01000","0","1","DDS","Active","Cylindrical with Skirt","Knurled, Straight","0.250"" (6.35mm)","0.500"" (12.70mm), 0.685"" (17.40mm) Skirt","0.625"" (15.88mm)","Arrow on Skirt","Metal","Black Matte","6-32 Set Screw (2)"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3b9aef5e231ee4296b7fc/1471396272470/DDS_PNB_fv3_2.png,//media.digikey.com/photos/Kilo%20International%20Photos/DDS-75%20BLK.jpg,226-4021-ND,DDS-75-4-5,Kilo International,KNOB KNURLED W/SKRT 0.250"" METAL,342,0,"10.28000","0","1","DDS","Active","Cylindrical with Skirt","Knurled, Straight","0.250"" (6.35mm)","0.750"" (19.05mm), 1.000"" (25.40mm) Skirt","0.625"" (15.88mm)","Arrow on Skirt","Metal","Black Matte","6-32 Set Screw (2)"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3b9aef5e231ee4296b7fc/1471396272470/DDS_PNB_fv3_2.png,//media.digikey.com/photos/Kilo%20International%20Photos/DDS-90%20BLK.jpg,226-1022-ND,DDS-90-2-5,Kilo International,KNOB KNURLED W/SKRT 0.250"" METAL,484,0,"10.53000","0","1","DDS","Active","Cylindrical with Skirt","Knurled, Straight","0.250"" (6.35mm)","0.925"" (23.50mm), 1.250"" (31.75mm) Skirt","0.625"" (15.88mm)","Arrow on Skirt","Metal","Black Gloss","6-32 Set Screw (2)"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3b9aef5e231ee4296b7fc/1471396272470/DDS_PNB_fv3_2.png,//media.digikey.com/photos/Kilo%20International%20Photos/DDS-90%20BLK.jpg,226-4022-ND,DDS-90-4-5,Kilo International,KNOB KNURLED W/SKRT 0.250"" METAL,226,0,"10.53000","0","1","DDS","Active","Cylindrical with Skirt","Knurled, Straight","0.250"" (6.35mm)","0.925"" (23.50mm), 1.250"" (31.75mm) Skirt","0.625"" (15.88mm)","Arrow on Skirt","Metal","Black Matte","6-32 Set Screw (2)"
https://www.ohmite.com/assets/docs/hardware_rheostat.pdf?r=false,//media.digikey.com/photos/Ohmite%20Photos/5150e.JPG,5150E-ND,5150E,Ohmite,KNOB FLUTED W/SKIRT 0.250"" ALUM,147,0,"10.60000","0","1","-","Active","Cylindrical with Skirt","Fluted","0.250"" (6.35mm)","1.500"" (38.10mm)","-","Line on Top","Aluminum","Black","-"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3ba2e9de4bb23fd59b7d0/1471396400649/HD_PNB_fv3-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/HD-50%20BLK.jpg,226-4029-ND,HD-50-4-5,Kilo International,KNOB SMOOTH 0.250"" METAL,698,0,"10.69000","0","1","HD","Active","Cylindrical, Wedged","Smooth","0.250"" (6.35mm)","0.500"" (12.70mm)","1.000"" (25.40mm)","Line on Top and Side","Metal","Black Matte","6-32 Set Screw (2)"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3ba2e9de4bb23fd59b7d0/1471396400649/HD_PNB_fv3-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/HD-75%20BLK.jpg,226-4016-ND,HD-75-4-5,Kilo International,KNOB SMOOTH 0.250"" METAL,134,0,"11.81000","0","1","HD","Active","Cylindrical, Wedged","Smooth","0.250"" (6.35mm)","0.750"" (19.05mm)","1.000"" (25.40mm)","Line on Top and Side","Metal","Black Matte","6-32 Set Screw (2)"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Alcoswitch%20PDFs/Knobs%20cat.pdf,//media.digikey.com/photos/Tyco%20Photos/KB500B1^4.JPG,450-1691-ND,KB500B1/4,TE Connectivity ALCOSWITCH Switches,KNOB KNURLED 0.250"" METAL,209,0,"11.91000","0","1","KB","Active","Cylindrical","Knurled, Straight","0.250"" (6.35mm)","0.500"" (12.70mm)","0.787"" (19.99mm)","Line on Top","Metal","Black","6-32 Set Screw (2)"
