Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Size / Dimension","Thickness","Density","Material","Material Flammability Rating","Color"
http://multimedia.3m.com/mws/media/1278450O/e-a-r-confor-cfnt-egs-product-bulletin.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CFNT-EGS-xxxxx.jpg",EAR1044-ND,CFNT-EGS 19MM,"3M - Aearo Technologies, LLC",CONFOR CFNT-EGS 19 MMT X 5"" X 7"",25,0,"4.83000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.748"" (19.00mm)","83 kg/m³","Polyurethane","UL94 HBF","Yellow"
http://multimedia.3m.com/mws/media/1426623O/confor-eg-mss50.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF40EG.jpg",EAR1366-ND,CF40EG/PSA 1.5MM,"3M - Aearo Technologies, LLC",CF-40EG/PSA 1.5MM X 5"" X 7"",100,0,"0.69000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.059"" (1.50mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Yellow"
http://multimedia.3m.com/mws/media/1426623O/confor-eg-mss50.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF47EG.jpg",EAR1379-ND,CF47EG/PSA 1.5MM,"3M - Aearo Technologies, LLC",CF-47EG/PSA 1.5MM X 5"" X 7"",99,0,"0.69000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.059"" (1.50mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Green"
http://multimedia.3m.com/mws/media/1426623O/confor-eg-mss50.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF42EG.jpg",EAR1369-ND,CF42EG/PSA 1.5MM,"3M - Aearo Technologies, LLC",CF-42EG/PSA 1.5MM X 5"" X 7"",96,0,"0.69000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.059"" (1.50mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Pink"
http://multimedia.3m.com/mws/media/1426623O/confor-eg-mss50.pdf,-,EAR1376-ND,CF45EG/PSA 1.5MM,"3M - Aearo Technologies, LLC",CF-45EG/PSA 1.5MM X 5"" X 7"",96,0,"0.69000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.059"" (1.50mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Blue"
http://multimedia.3m.com/mws/media/1426623O/confor-eg-mss50.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF40EG.jpg",EAR1367-ND,CF40EG/PSA 2MM,"3M - Aearo Technologies, LLC",CF-40EG/PSA 2.0MM X 5"" X 7"",100,0,"0.80000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.079"" (2.00mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Yellow"
http://multimedia.3m.com/mws/media/1426623O/confor-eg-mss50.pdf,-,EAR1380-ND,CF47EG/PSA 2MM,"3M - Aearo Technologies, LLC",CF-47EG/PSA 2.0MM X 5"" X 7"",100,0,"0.80000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.079"" (2.00mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Green"
http://multimedia.3m.com/mws/media/1426623O/confor-eg-mss50.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF42EG.jpg",EAR1370-ND,CF42EG/PSA 2MM,"3M - Aearo Technologies, LLC",CF-42EG/PSA 2.0MM X 5"" X 7"",96,0,"0.80000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.079"" (2.00mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Pink"
http://multimedia.3m.com/mws/media/1426623O/confor-eg-mss50.pdf,-,EAR1377-ND,CF45EG/PSA 2MM,"3M - Aearo Technologies, LLC",CF-45EG/PSA 2.0MM X 5"" X 7"",96,0,"0.80000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.079"" (2.00mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Blue"
http://multimedia.3m.com/mws/media/1383349O/e-a-r-confor-disk-pad-print.pdf,-,CFNT-EGS0.125DISKPAD-ND,CFNT-EGS 0.125 DISK PAD,"3M - Aearo Technologies, LLC",CONFOR CFNT-EGS 0.125 DISK PAD,0,0,"0.35000","0","1200","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.125"" (3.18mm)","83 kg/m³","Polyurethane","UL94 HBF","Yellow"
