Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Thread Size","Thickness","Width","Material","Plating"
-,//media.digikey.com/Photos/B%20&%20F%20Fastener%20Supply/MHNZ%20002%204.jpg,H761-ND,MHNZ 002 4,B&F Fastener Supply,HEX NUT 0.157"" M2,56900,0,"0.05400","0","100","-","Active","Hex","M2","-","0.157"" (4.00mm)","-","Zinc"
http://www.fasnetdirect.com/refguide/Nutshexmachine.pdf,//media.digikey.com/Photos/B%20&%20F%20Fastener%20Supply/HNSS256.JPG,H723-ND,HNSS256,B&F Fastener Supply,HEX NUT 3/16"" STN STEEL 2-56,37900,0,"0.05490","0","100","-","Active","Hex","#2-56","0.062"" (1.57mm) 1/16""","0.187"" (4.75mm) 3/16""","Stainless Steel","-"
http://www.fasnetdirect.com/refguide/Nutshexmachine.pdf,//media.digikey.com/Photos/B%20&%20F%20Fastener%20Supply/HNZ-256.jpg,H212-ND,HNZ 256,B&F Fastener Supply,HEX NUT 3/16"" STEEL 2-56,21899,0,"0.05850","0","100","-","Active","Hex","#2-56","0.062"" (1.57mm) 1/16""","0.187"" (4.75mm) 3/16""","Steel","Zinc"
http://www.fasnetdirect.com/refguide/Nutshexmachine.pdf,//media.digikey.com/photos/Building%20Fasteners%20Photos/HNSS440.jpg,H724-ND,HNSS440,B&F Fastener Supply,HEX NUT 1/4"" STN STEEL 4-40,21200,0,"0.06200","0","100","-","Active","Hex","#4-40","0.094"" (2.39mm) 3/32""","0.250"" (6.35mm) 1/4""","Stainless Steel","-"
http://www.fasnetdirect.com/refguide/Nutshexmachine.pdf,//media.digikey.com/Photos/B%20&%20F%20Fastener%20Supply/HNSS%20632.JPG,H725-ND,HNSS 632,B&F Fastener Supply,HEX NUT 5/16"" STN STEEL 6-32,5200,0,"0.09020","0","100","-","Active","Hex","#6-32","0.109"" (2.77mm) 7/64""","0.312"" (7.92mm) 5/16""","Stainless Steel","-"
http://www.fasnetdirect.com/refguide/Nylhexnut.pdf,//media.digikey.com/photos/Building%20Fasteners%20Photos/NY%20HN%20440.jpg,H616-ND,NY HN 440,B&F Fastener Supply,HEX NUT 1/4"" NYLON 4-40,42217,0,"0.10500","0","100","-","Active","Hex","#4-40","0.094"" (2.39mm) 3/32""","0.250"" (6.35mm) 1/4""","Nylon","-"
http://www.fasnetdirect.com/refguide/Nutshexmachine.pdf,//media.digikey.com/photos/Building%20Fasteners%20Photos/HNSS102.JPG,H727-ND,HNSS 102,B&F Fastener Supply,HEX NUT 3/8"" STN STEEL 10-32,2600,0,"0.10610","0","100","-","Active","Hex","#10-32","0.125"" (3.18mm) 1/8""","0.375"" (9.53mm) 3/8""","Stainless Steel","-"
http://www.fasnetdirect.com/refguide/Nylhexnut.pdf,//media.digikey.com/Photos/B%20&%20F%20Fastener%20Supply/NY%20HN%20102.JPG,H628-ND,NY HN 102,B&F Fastener Supply,HEX NUT 3/8"" NYLON 10-32,57120,0,"0.11300","0","100","-","Active","Hex","#10-32","0.125"" (3.18mm) 1/8""","0.375"" (9.53mm) 3/8""","Nylon","-"
http://www.fasnetdirect.com/refguide/Nylhexnut.pdf,//media.digikey.com/Photos/B%20&%20F%20Fastener%20Supply/NY%20HN%20256.JPG,H612-ND,NY HN 256,B&F Fastener Supply,HEX NUT 3/16"" NYLON 2-56,13891,0,"0.11780","0","100","-","Active","Hex","#2-56","0.062"" (1.57mm) 1/16""","0.187"" (4.75mm) 3/16""","Nylon","-"
http://www.fasnetdirect.com/refguide/Nylhexnut.pdf,//media.digikey.com/Photos/B%20&%20F%20Fastener%20Supply/NY%20HN%20632.JPG,H620-ND,NY HN 632,B&F Fastener Supply,HEX NUT 5/16"" NYLON 6-32,23400,0,"0.12040","0","100","-","Active","Hex","#6-32","0.109"" (2.77mm) 7/64""","0.312"" (7.92mm) 5/16""","Nylon","-"
http://www.fasnetdirect.com/refguide/Nylhexnut.pdf,//media.digikey.com/Photos/B%20&%20F%20Fastener%20Supply/NY%20HN%20832.JPG,H624-ND,NY HN 832,B&F Fastener Supply,HEX NUT 11/32"" NYLON 8-32,3000,0,"0.12120","0","100","-","Active","Hex","#8-32","0.125"" (3.18mm) 1/8""","0.344"" (8.74mm) 11/32""","Nylon","-"
