Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Panel Cutout Dimensions","Mounting Type","Material"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/T_Handle_Vers1_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_2402110000.jpg,RPC2502-ND,2402110000,Essentra Access Solutions,ADJUSTABLE T HANDLE COMP CAM LAT,25,0,"35.26000","0","1","-","Active","T-Handle Compression Latch","Square (Rounded Corners) - 20.20mm","Panel Mount","Zamak, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_All_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90812111500.jpg,RPC2711-ND,90812111500,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,30,0,"37.66000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_All_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90812112000.jpg,RPC2712-ND,90812112000,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,30,0,"37.66000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_All_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90811110000.jpg,RPC2698-ND,90811110000,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,25,0,"37.66000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_All_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90811120000.jpg,RPC2702-ND,90811120000,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,25,0,"37.66000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_All_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90811120700.jpg,RPC2703-ND,90811120700,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,25,0,"37.66000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_All_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90812110000.jpg,RPC2709-ND,90812110000,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,25,0,"37.66000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_All_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90812110700.jpg,RPC2710-ND,90812110700,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,25,0,"37.66000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_10811111500.jpg,RPC2411-ND,10811111500,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,25,0,"37.93000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_10812121500.jpg,RPC2413-ND,10812121500,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,25,0,"37.93000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/T_Handle_Vers1_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_2401110300.jpg,RPC2499-ND,2401110300,Essentra Access Solutions,T-HANDLE COMPRESSION CAM LATCH 2,50,0,"38.39000","0","1","-","Active","T-Handle Compression Lock","Square (Rounded Corners) - 20.20mm","Panel Mount","Zamak, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_All_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90811111500.jpg,RPC2700-ND,90811111500,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,30,0,"40.17000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_All_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90811112000.jpg,RPC2701-ND,90811112000,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,30,0,"40.17000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_All_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90811121500.jpg,RPC2704-ND,90811121500,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,30,0,"40.17000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_All_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90811122000.jpg,RPC2705-ND,90811122000,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,30,0,"40.17000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_All_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90812122000.jpg,RPC2715-ND,90812122000,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,30,0,"40.17000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_All_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90811110700.jpg,RPC2699-ND,90811110700,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,25,0,"40.17000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_All_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90812120700.jpg,RPC2714-ND,90812120700,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,25,0,"40.17000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_10811110700.jpg,RPC2410-ND,10811110700,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,25,0,"40.22000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_10812120700.jpg,RPC2412-ND,10812120700,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,25,0,"40.22000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Access_Solutions_Cat.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_2402110300.jpg,RPC2503-ND,2402110300,Essentra Access Solutions,ADJUSTABLE T HANDLE COMP CAM LAT,25,0,"40.73000","0","1","-","Active","T-Handle Compression Lock","Square (Rounded Corners) - 20.20mm","Panel Mount","Zamak, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_008-1-2-20-00.jpg,RPC2299-ND,008122000,Essentra Access Solutions,SWING HANDLE LATCH SPRING LOADED,25,0,"51.49000","0","1","-","Active","Swinghandle","Rectangular - 150.00mm x 25.00mm","Screw Holes, Back","Plastic, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_008-2-2-20-00.jpg,RPC2303-ND,008222000,Essentra Access Solutions,SWING HANDLE LATCH SPRING LOADED,25,0,"51.49000","0","1","-","Active","Swinghandle","Rectangular - 150.00mm x 25.00mm","Screw Holes, Back","Plastic, Black Coating"
https://www.hammfg.com/files/parts/pdf/MHK1.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_MHK1.jpg,HM5535-ND,MHK1,Hammond Manufacturing,6 PADLOCKING 1-PT LATCH ZINC,5,38,"94.91000","0","1","MHK","Active","Rotating","-","Screw Holes, Back","Zinc"
https://www.hammfg.com/files/parts/pdf/MHKL1.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_MHK2.jpg,HM5540-ND,MHKL1,Hammond Manufacturing,6 KEYED PADLOCKING 1-PT,2,37,"95.15000","0","1","MHK","Active","Rotating","-","Screw Holes, Back","Zinc"
https://www.hammfg.com/files/parts/pdf/MHKD1.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_MHK1.jpg,HM5538-ND,MHKD1,Hammond Manufacturing,6 PADLOCKING W/ DEFEATER 1-PT,5,2,"99.64000","0","1","MHK","Active","Rotating","-","Screw Holes, Back","Zinc"
