Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Features","For Use With/Related Products","Size / Dimension","Color","Material"
http://reports.daviesmolding.com/drawings/0231.pdf,//media.digikey.com/Photos/Davies-Molding-LLC/MFG_0231.jpg,1722-1024-ND,0231,"Davies Molding, LLC",ELECTRONIC COVERS,57,0,"2.59000","0","1","0231","Active","Cover, Lid","Heat Resistant","0230-A","4.744"" L x 3.994"" W x 0.063"" H (120.50mm x 101.45mm x 1.60mm)","Black","Plastic, Phenolic"
-,//media.digikey.com/Photos/BUD%20Industries%20Photos/PIX-11766.jpg,377-2145-ND,PIX-11766,Bud Industries,STEEL INTERNAL PANEL - PIP SERIE,41,219,"2.70000","0","1","PIP","Active","Panel, Inner","-","PIP Series","3.858"" L x 3.858"" W x 0.063"" H (98.00mm x 98.00mm x 1.60mm)","Natural","Metal, Steel"
http://phoenixmecano.com/wp-content/uploads/2014/08/Bocube-Catalog.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_Bocube_Yellow.JPG,902-1250-ND,96310103,Bopla Enclosures,PC-V0-1023 HINGE LCK 80 MM 1=2PC,56,0,"2.71000","0","1","Bocube","Active","Panel, End","Hinged, Lock","80mm Width Boxes","-","Yellow","Plastic, Polycarbonate"
http://www.keyelco.com/product-pdf.cfm?p=1617,//media.digikey.com/photos/Keystone%20Elect%20Photos/2044.jpg,36-2044-ND,2044,Keystone Electronics,PANEL ALUMINUM 2-7/8 X 3-15/16"",90,52,"2.74000","0","1","-","Active","Cover, Lid","-","703 Case","4.000"" L x 2.875"" W x 0.062"" H (101.60mm x 73.03mm x 1.57mm)","Unpainted","Metal, Aluminum"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/EH_F_Series_ElectHousings_3-5-15.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2201815.jpg,277-10437-ND,2201815,Phoenix Contact,ELECTRONIC HOUSING BASE,65,0,"2.98000","0","1","EH","Active","Base","-","35mm Wide Housing","1.378"" W (35.00mm)","Black","Plastic, ABS"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/EH_F_Series_ElectHousings_3-5-15.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2201773.jpg,277-10429-ND,2201773,Phoenix Contact,ELECTRONIC HOUSING COVER,73,0,"3.32000","0","1","EH","Active","Housing","-","67.5mm Wide Housing","2.657"" W (67.50mm)","Gray","Plastic, ABS"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/ME_7-24-18.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2906827.JPG,277-2868-ND,2906827,Phoenix Contact,HOUSING UPPER FOR PCB TERM BLOCK,98,0,"3.36000","0","1","ME","Active","Housing","Positions - 12, 24","17.5mm Wide Housing","0.689"" W x 1.516"" H (17.50mm x 38.50mm)","Green","Plastic, Polyamide"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2906843.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2906843.JPG,277-2901-ND,2906843,Phoenix Contact,HOUSING UPPER FOR PCB TERM BLOCK,79,0,"3.36000","0","1","ME","Active","Housing","Positions - 12, 24","17.5mm Wide Housing","0.689"" W x 1.516"" H (17.50mm x 38.50mm)","Green","Plastic, Polyamide"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2907169.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2907169.JPG,277-2839-ND,2907169,Phoenix Contact,UPPER HOUSING FOR COMBICON,56,8800,"3.48000","0","1","ME","Active","Housing","Positions - 16","22.5mm Wide Housing","0.886"" W x 1.516"" H (22.50mm x 38.50mm)","Green","Plastic, Polyamide"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2907826.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2907826.jpg,277-2851-ND,2907826,Phoenix Contact,SIDE ELEMENT W/FOOT,60,2270,"3.58000","0","1","UM","Active","Panel, Side","Foot","45mm Wide Housing","1.772"" L x 0.394"" W x 1.417"" H (45.00mm x 10.00mm x 36.00mm)","Green","Plastic, Polyamide"
