Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Connector Type","Number of Positions","Number of Rows","Termination Style"
http://www.assmann-wsw.com/fileadmin/datasheets/DN-91xxxU.pdf,//media.digikey.com/Photos/Assmann%20Photos/MFG_DN-91624U.jpg,AE10604-ND,DN-91624U,Assmann WSW Components,PATCH PANEL 19"" 24PORT RJ45 CAT6,3,0,"45.63000","0","1","Digitus®","Active","Modular Panel","RJ45","24","1","LSA Block"
http://www.assmann-wsw.com/fileadmin/datasheets/DN-91xxxU.pdf,//media.digikey.com/Photos/Assmann%20Photos/DN-91548U.jpg,AE10603-ND,DN-91548U,Assmann WSW Components,PATCH PNL 19"" 48PORT RJ45 CAT5E,1,0,"70.42000","0","1","Digitus®","Active","Modular Panel","RJ45","48","2","LSA Block"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/A-PAN-24-MOD.pdf,//media.digikey.com/Photos/Assmann%20Photos/A-PAN-24-MOD.jpg,AE10607-ND,A-PAN-24-MOD,Assmann WSW Components,PATCH PANEL 19"" 24PORT BLANK,2,0,"8.21000","0","1","A-PAN","Active","Modular Panel","-","24","2","-"
https://assets.tripplite.com/product-pdfs/en/n052024.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N052-024.jpg,TL591-ND,N052-024,Tripp Lite,PANEL PATCH CAT5E 568B 24PORT,4,0,"46.54000","0","1","Network","Active","Patch Panel, Cat5","RJ45","24","1","-"
https://assets.tripplite.com/product-pdfs/en/n250012.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N250-012.jpg,TL1125-ND,N250-012,Tripp Lite,PATCH PANEL RJ45 TAA GSA,4,0,"49.45000","0","1","Network","Active","Patch Panel, Cat6","RJ45","12","1","Punch Down"
http://www.assmann-wsw.com/fileadmin/datasheets/DN-91xxxU.pdf,//media.digikey.com/Photos/Assmann%20Photos/DN-91648U.jpg,AE10605-ND,DN-91648U,Assmann WSW Components,PATCH PANEL 19"" 48PORT RJ45 CAT6,3,0,"76.83000","0","1","Digitus®","Active","Modular Panel","RJ45","48","2","LSA Block"
https://www.panduit.com/content/dam/panduit/en/products/assets/0/0f/0fm/0fmp/fmp6/media/fmp6(35560-12).pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/FMP6.JPG,298-12682-ND,FMP6,Panduit Corp,UNLOADED PANEL ACCEPTS UP TO SIX,21,0,"12.65000","0","1","Opticom®","Active","Modular Panel","-","6","1","-"
http://www.panduit.com/heiler/PartDrawings/C-NKNKFP48Y--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_NKFP48Y.jpg,298-12393-ND,NKFP48Y,Panduit Corp,PATCH PANEL MOD 48PORT 2 ROW,5,0,"68.13000","0","1","NetKey®","Active","Modular Panel, Keystone","-","48","2","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/c/cp/cpp/cppa/cppa24fmwbly/media/C-COCPPA24FMWBLY--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_CPPA24FMWBLY.JPG,298-13045-ND,CPPA24FMWBLY,Panduit Corp,"PATCH PANEL, 24 PORT, MODULAR FL",5,0,"83.04000","0","1","-","Active","-","-","-","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/c/cp/cpp/cppa/cppa24fmwwh/media/C-OTCPPA24FMWWH--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_CPPA24FMWWH.jpg,298-16593-ND,CPPA24FMWWH,Panduit Corp,MINI COM 24 PORT FLUSH MOUNT ANG,5,0,"83.04000","0","1","Mini-Com®","Active","Modular Panel","-","24","1","-"
http://www.panduit.com/heiler/PartDrawings/C-NKNK6PPG48Y--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_NK6PPG48Y.jpg,298-12379-ND,NK6PPG48Y,Panduit Corp,PANEL PATCH CAT6 48PORT 2ROW,1,0,"499.54000","0","1","NetKey®","Active","Patch Panel, Cat6","RJ45 Jack","48","2","Punch Down"
http://www.panduit.com/heiler/PartDrawings/C-CODPA48688TGY--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_DPA48688TGY.JPG,298-12230-ND,DPA48688TGY,Panduit Corp,PATCH PANEL 48-PORT,1,0,"718.26000","0","1","-","Active","Patch Panel, Cat6","RJ45 Jack","48","2","Punch Down"
-,-,1278329-1-ND,1278329-1,TE Connectivity AMP Connectors,MT/RJ PACTH PANEL MOUNT KIT,0,0,"14.22000","0","16","-","Active","Patch Panel, Fiber","MT-RJ (Not Provided)","-","1","-"
-,-,A-PAN-24-MOD-S-B-ND,A-PAN-24-MOD-S-B,Assmann WSW Components,PATCH PANEL 19"" 24 PORT,0,0,"15.63133","0","15","A-PAN","Active","Modular Panel","-","24","2","-"
-,-,A-PAN-24-MOD-S-ND,A-PAN-24-MOD-S,Assmann WSW Components,PATCH PANEL 19"" 24 PORT,0,0,"15.77267","0","15","A-PAN","Active","Modular Panel","-","24","2","-"
-,-,RMDK08-ND,RMDK08,HellermannTyton,KEYSTONE MODULE,0,0,"18.60240","0","50","-","Active","Modular Panel, Keystone","-","8","2","-"
https://assets.tripplite.com/product-pdfs/en/n062032kj.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N062-032-KJ.jpg,N062-032-KJ-ND,N062-032-KJ,Tripp Lite,32-PORT 2U RACK-MOUNT BLANK KEYS,0,0,"20.69000","0","1","Network","Active","Modular Panel, Keystone","RJ45 Jack (Not Provided)","32","2","-"
http://www.assmann-wsw.com/fileadmin/datasheets/datasheet_DN-91508U_230920130815.pdf,-,DN-91508U-ND,DN-91508U,Assmann WSW Components,PATCH PNL 10"" RJ45 CAT5E,0,0,"22.74000","0","1","Digitus®","Active","Modular Panel","RJ45","8","1","LSA Block"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/15-0378-001-CSU.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_P108-12-MOD.jpg,P108-12-MOD-ND,P108-12-MOD,HellermannTyton,12PORT BLNK MOD PATCH PANEL,0,0,"23.85000","0","1","-","Active","Modular Panel","RJ45 Jack (Not Provided)","12","1","-"
-,-,RMD07B-ND,RMD07B,HellermannTyton,BASIC RESIDENTIAL DATA MOD,0,0,"23.98067","0","60","-","Active","Modular Panel","RJ45","6","1","-"
http://www.assmann-wsw.com/fileadmin/datasheets/datasheet_DN-91512U_230920130817.pdf,-,DN-91512U-ND,DN-91512U,Assmann WSW Components,PATCH PNL 10"" RJ45 CAT5E,0,0,"27.12000","0","1","Digitus®","Active","Modular Panel","RJ45","12","1","LSA Block"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/15-0378-002-CSU.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_P108-16-MOD.jpg,P108-16-MOD-ND,P108-16-MOD,HellermannTyton,16PORT BLNK MOD PATCH PANEL,1,0,"27.61000","0","1","-","Active","Modular Panel","RJ45 Jack (Not Provided)","16","1","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/15-0378-002-CSU.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_P108-24-MOD.jpg,P108-24-MOD-ND,P108-24-MOD,HellermannTyton,24PORT BLNK MOD PATCH PANEL,0,0,"29.75000","0","1","-","Active","Modular Panel","RJ45 Jack (Not Provided)","24","2","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/MI3023003CST.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_P108-24-MOD1U.jpg,P108-24-MOD1U-ND,P108-24-MOD1U,HellermannTyton,24PORT 1U MOD PATCH PANEL,0,0,"34.85000","0","1","-","Active","Modular Panel","RJ45 Jack (Not Provided)","24","2","-"
https://assets.tripplite.com/product-pdfs/en/n052012.pdf,//media.digikey.com/Photos/Tripplite%20Photos/N052-012.jpg,N052-012-ND,N052-012,Tripp Lite,PANEL PATCH CAT5E 568B 12PORT,0,0,"35.71000","0","1","Network","Active","Patch Panel, Cat5","RJ45","12","1","Punch Down"
-,-,A-PAN-24U-ND,A-PAN-24U,Assmann WSW Components,PATCH PANEL 19"" 24 PORT,0,0,"36.27800","0","10","A-PAN","Active","Modular Panel","-","24","2","-"
http://www.assmann-wsw.com/fileadmin/datasheets/datasheet_DN-91616U_230920130825.pdf,-,DN-91616U-ND,DN-91616U,Assmann WSW Components,PATCH PNL 19"" RJ45 CAT6,0,0,"36.65000","0","1","Digitus®","Active","Modular Panel","RJ45","16","1","LSA Block"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/15-0378-004-CSU.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_P108-32-MOD.jpg,P108-32-MOD-ND,P108-32-MOD,HellermannTyton,32PORT BLNK MOD PATCH PANEL,0,0,"40.12000","0","1","-","Active","Modular Panel","RJ45 Jack (Not Provided)","32","2","-"
