Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Height","Length - Center to Center","Thread/Screw/Hole Size","Material","Mounting Type"
http://www.keyelco.com/product-pdf.cfm?p=1727,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_910x.jpg,36-9109-ND,9109,Keystone Electronics,HANDLE RND .187""DIA 1.00""H BRASS,0,0,"6.13000","0","100","-","Active","Instrumentation","1.000"" (25.40mm)","3.000"" (76.20mm)","#6-32","Brass","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1661,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_48x.jpg,36-485-ND,485,Keystone Electronics,HANDLE BRASS .250""DIA 8/32THR,0,0,"6.25000","0","100","-","Active","Instrumentation","1.750"" (44.45mm)","3.000"" (76.20mm)","#8-32","Brass, Nickel Finish","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1673,//media.digikey.com/Photos/Keystone%20Elect%20Photos/512.jpg,36-512-ND,512,Keystone Electronics,HANDLE .250""DIA 8-32 THREAD ALUM,0,0,"6.25000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","5.000"" (127.00mm)","#8-32","Aluminum","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1678,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_5xy.jpg,36-518-ND,518,Keystone Electronics,HANDLE .250""DIA 8-32 THREAD ALUM,0,229,"6.25000","0","100","-","Active","Instrumentation","1.750"" (44.45mm)","5.000"" (127.00mm)","#8-32","Aluminum","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1727,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_910x.jpg,36-9107-ND,9107,Keystone Electronics,HANDLE RND .187""DIA 1.00""H BRASS,0,0,"6.30000","0","100","-","Active","Instrumentation","1.000"" (25.40mm)","1.500"" (38.10mm)","#6-32","Brass","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1656,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_48x.jpg,36-480-ND,480,Keystone Electronics,HANDLE BRASS .250""DIA 8/32THR,0,153,"6.35000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","3.500"" (88.90mm)","#8-32","Brass, Nickel Finish","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1673,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_5xy.jpg,36-513-ND,513,Keystone Electronics,HANDLE .250""DIA 8-32 THREAD ALUM,0,0,"6.37000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","5.500"" (139.70mm)","#8-32","Aluminum","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1673,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_5xy.jpg,36-514-ND,514,Keystone Electronics,HANDLE .250""DIA 8-32 THREAD ALUM,0,0,"6.49000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","6.000"" (152.40mm)","#8-32","Aluminum","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1678,//media.digikey.com/Photos/Keystone%20Elect%20Photos/519.JPG,36-519-ND,519,Keystone Electronics,HANDLE .250""DIA 8-32 THREAD ALUM,0,137,"6.49000","0","100","-","Active","Instrumentation","1.750"" (44.45mm)","6.000"" (152.40mm)","#8-32","Aluminum","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1715,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_718x.jpg,36-7180-ND,7180,Keystone Electronics,HANDLE INSTR RND .375""DIA ALUM,0,633,"6.49000","0","100","-","Active","Instrumentation","1.375"" (34.93mm)","4.000"" (101.60mm)","#10-32","Aluminum","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1661,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_48x.jpg,36-486-ND,486,Keystone Electronics,HANDLE BRASS .250""DIA 8/32THR,0,105,"6.55000","0","100","-","Active","Instrumentation","1.750"" (44.45mm)","4.000"" (101.60mm)","#8-32","Brass, Nickel Finish","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1693,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_714x.jpg,36-7144-ND,7144,Keystone Electronics,HANDLE INSTR RND .250""DIA BRASS,0,703,"6.55000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","4.000"" (101.60mm)","#8-32","Brass","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1656,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_48x.jpg,36-481-ND,481,Keystone Electronics,HANDLE BRASS .250""DIA 8/32THR,0,0,"6.76000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","4.500"" (114.30mm)","#8-32","Brass, Nickel Finish","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1661,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_48x.jpg,36-487-ND,487,Keystone Electronics,HANDLE BRASS 8/32THR .250""DIA,0,154,"6.76000","0","100","-","Active","Instrumentation","1.750"" (44.45mm)","4.500"" (114.30mm)","#8-32","Brass, Nickel Finish","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1656,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_48x.jpg,36-482-ND,482,Keystone Electronics,HANDLE BRASS 8/32THR .250"" DIA,0,0,"6.81000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","5.000"" (127.00mm)","#8-32","Brass, Nickel Finish","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1661,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_48x.jpg,36-488-ND,488,Keystone Electronics,HANDLE BRASS 8/32THR .250""DIA,0,171,"6.81000","0","100","-","Active","Instrumentation","1.750"" (44.45mm)","5.000"" (127.00mm)","#8-32","Brass, Nickel Finish","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1710,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_717x.jpg,36-7177-ND,7177,Keystone Electronics,HANDLE INSTR RND .312""DIA ALUM,0,114,"6.86000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","4.562"" (115.87mm)","#10-32","Aluminum","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1656,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_48x.jpg,36-483-ND,483,Keystone Electronics,HANDLE BRASS .250""DIA 8/32THR,0,169,"6.97000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","5.500"" (139.70mm)","#8-32","Brass, Nickel Finish","Screw Holes, Back"
