Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Container Type","Platform","Size / Dimension","Height","Area (L x W)","Design","Material","Color","Thickness","Features","Material Flammability Rating"
-,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2081.jpg,2081AD-ND,2081,Adafruit Industries LLC,ENCLOSURE FOR RASPBERRY PI,0,0,"20.20000","0","1","PI","Active","Case","Raspberry Pi B+, 2B, 3B","-","-","-","Hand Held, Cover Included","Plastic, Acrylic","Black, Clear","-","-","-"
-,//media.digikey.com/Photos/MikroElektronika/MIKROE-794.jpg,1471-1296-ND,MIKROE-794,MikroElektronika,READY XMEGA CASING WHITE,0,0,"24.48000","0","1","-","Active","Case","XMEGA","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/114991401_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114991401.jpg,1597-1567-ND,114991401,"Seeed Technology Co., Ltd",CASE PLASTIC ORG/WHT 2.84""X1.34"",0,0,"25.45000","0","2","-","Active","Case","Flick Large","2.835"" L x 1.339"" W (72.00mm x 34.00mm)","0.394"" (10.00mm)","36.9in² (238cm²)","-","Plastic, Non Specified","Orange, White","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3496_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3496.jpg,1528-2285-ND,3496,Adafruit Industries LLC,HOUSING ALUM BLUE 2.3""L X 1.9""W,0,0,"49.94000","0","1","-","Active","Case","PyBoard","2.300"" L x 1.900"" W (58.42mm x 48.26mm)","0.600"" (15.24mm)","4.37in² (28.2cm²)","Split Sides","Metal, Aluminum","Blue","-","Laser Engraved, Open Lid","-"
https://cdn-shop.adafruit.com/product-files/4131/4131_datasheet_PI-DESKTOP-element14-datasheet-85824548.pdf,-,1528-2877-ND,4131,Adafruit Industries LLC,ELEMENT14 DESKTOP ENCLOSURE KIT,0,0,"62.44000","0","1","PI","Active","Case","-","4.252"" L x 4.252"" W (108.00mm x 108.00mm)","-","-","Hand Held, Cover Included","-","Black","-","Heat Sink","-"
//media.digikey.com/pdf/Data%20Sheets/Arduino%20PDFs/M000015_Web.pdf,//media.digikey.com/Photos/Arduino/A000009.jpg,1050-1003-ND,M000015,Arduino,BOX PLASTIC BLK 3.43""L X 2.52""W,0,0,"Obsolete","0","1","-","Obsolete","Case","Arduino Due, Mega, Uno, Zero","3.425"" L x 2.520"" W (87.00mm x 64.00mm)","1.102"" (27.99mm)","8.64in² (55.7cm²)","Hand Held, Split Sides","Plastic, Non Specified","Black","-","PCB Supports","-"
https://www.parallax.com/sites/default/files/downloads/721-32212-6-8-Multi-Board-Enclosure-Documentation-v1.1.pdf,//media.digikey.com/Photos/Parallax%20Photos/721-32212.jpg,721-32212-ND,721-32212,Parallax Inc.,BOX PLASTIC CLEAR 4.5""L X 3.5""W,0,0,"Obsolete","0","1","Propeller™","Obsolete","Case","Board of Education, Propeller Proto, Super Carrier","4.500"" L x 3.500"" W (114.30mm x 88.90mm)","2.000"" (50.80mm)","15.8in² (102cm²)","Hand Held, Cover Included","Plastic, Non Specified","Clear","-","PCB Supports","-"
https://www.parallax.com/sites/default/files/downloads/721-32212-6-8-Multi-Board-Enclosure-Documentation-v1.1.pdf,//media.digikey.com/Photos/Parallax%20Photos/721-32218.jpg,721-32218-ND,721-32218,Parallax Inc.,BOX PLASTIC BLACK 4.5""L X 3.5""W,0,0,"Obsolete","0","1","Propeller™","Obsolete","Case","Board of Education, Propeller Proto, Super Carrier","4.500"" L x 3.500"" W (114.30mm x 88.90mm)","2.000"" (50.80mm)","15.8in² (102cm²)","Hand Held, Cover Included","Plastic, Non Specified","Black","-","PCB Supports","-"
https://www.parallax.com/sites/default/files/downloads/721-32209-C3Enclosurev1.0.pdf,-,721-32209-ND,721-32209,Parallax Inc.,BOX PLSTC TRN BLK 2.8""L X 4.3""W,0,0,"Obsolete","0","1","Propeller™","Obsolete","Case","Board of Education, Propeller Proto, Super Carrier","2.800"" L x 4.300"" W (71.12mm x 109.22mm)","2.300"" (58.42mm)","12.0in² (77cm²)","Hand Held, Cover Included","Plastic, Non Specified","Translucent - Black","-","PCB Supports","-"
https://www.parallax.com/sites/default/files/downloads/721-32212-6-8-Multi-Board-Enclosure-Documentation-v1.1.pdf,-,721-32216-ND,721-32216,Parallax Inc.,BOX PLSTC TRN BLUE 4.5""L X 3.5""W,0,0,"Obsolete","0","1","Propeller™","Obsolete","Case","Board of Education, Propeller Proto, Super Carrier","4.500"" L x 3.500"" W (114.30mm x 88.90mm)","2.000"" (50.80mm)","15.8in² (102cm²)","Hand Held, Cover Included","Plastic, Non Specified","Translucent - Blue","-","PCB Supports","-"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/1593HAMMEG.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1593HAMMEGABK.jpg,HM2057-ND,1593HAMMEGABK,Hammond Manufacturing,BOX ABS BLACK 4.38""L X 2.95""W,0,0,"Obsolete","0","1","1593HAM","Obsolete","Case","Arduino Mega","4.380"" L x 2.953"" W (111.25mm x 75.00mm)","0.992"" (25.20mm)","12.9in² (83cm²)","Hand Held, Split Sides and End Panel(s)","Plastic, ABS","Black","-","PCB Supports","UL94 HB"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/1593HAMMEG.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1593HAMMEGAGY.jpg,HM2058-ND,1593HAMMEGAGY,Hammond Manufacturing,BOX ABS GRAY 4.38""L X 2.95""W,0,0,"Obsolete","0","1","1593HAM","Obsolete","Case","Arduino Mega","4.380"" L x 2.953"" W (111.25mm x 75.00mm)","0.992"" (25.20mm)","12.9in² (83cm²)","Hand Held, Split Sides and End Panel(s)","Plastic, ABS","Gray","-","PCB Supports","UL94 HB"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/1593HAMPI2_Dwg.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1593HAMPI2BK.jpg,HM1383-ND,1593HAMPI2BK,Hammond Manufacturing,BOX ABS BLACK 3.88""L X 2.74""W,0,0,"Obsolete","0","1","1593HAM","Obsolete","Case","Raspberry Pi B+","3.880"" L x 2.736"" W (98.54mm x 69.49mm)","1.220"" (31.00mm)","10.7in² (69cm²)","Hand Held, Split Sides","Plastic, ABS","Black","-","PCB Supports","-"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/1593HAMPI2_Dwg.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1593HAMPI2GY.jpg,HM1385-ND,1593HAMPI2GY,Hammond Manufacturing,BOX ABS GRAY 3.88""L X 2.74""W,0,0,"Obsolete","0","1","1593HAM","Obsolete","Case","Raspberry Pi B+","3.880"" L x 2.736"" W (98.54mm x 69.49mm)","1.220"" (31.00mm)","10.7in² (69cm²)","Hand Held, Split Sides","Plastic, ABS","Gray","-","PCB Supports","-"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/1593HAMPI2_Dwg.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1593HAMPI2TBU.jpg,HM1386-ND,1593HAMPI2TBU,Hammond Manufacturing,BOX ABS TRN BLUE 3.88""L X 2.74""W,0,0,"Obsolete","0","1","1593HAM","Obsolete","Case","Raspberry Pi B+","3.880"" L x 2.736"" W (98.54mm x 69.49mm)","1.220"" (31.00mm)","10.7in² (69cm²)","Hand Held, Split Sides","Plastic, ABS","Translucent - Blue","-","PCB Supports","-"
http://www.hammondmfg.com/pdf2/1593HAMEGG2.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1593HAMEGG2TBK.jpg,HM1387-ND,1593HAMEGG2TBK,Hammond Manufacturing,BOX ABS TRN BLK 5.71""L X 3.94""W,0,0,"Obsolete","0","1","1593HAMEGG","Obsolete","Case","Raspberry Pi A+ B, B+, 2B, 3B, 3B+","5.713"" L x 3.941"" W (145.10mm x 100.10mm)","1.299"" (33.00mm)","-","Hand Held","Plastic, ABS","Translucent - Black","-","PCB Supports","-"
http://www.hammondmfg.com/pdf2/1593HAMEGG2.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1593HAMEGG2TBU.jpg,HM1388-ND,1593HAMEGG2TBU,Hammond Manufacturing,BOX ABS TRN BLUE 5.71""L X 3.94""W,0,3505,"Obsolete","0","1","1593HAMEGG","Obsolete","Case","Raspberry Pi A+ B, B+, 2B, 3B, 3B+","5.713"" L x 3.941"" W (145.10mm x 100.10mm)","1.299"" (33.00mm)","-","Hand Held","Plastic, ABS","Translucent - Blue","-","PCB Supports","-"
http://www.hammondmfg.com/pdf2/1593HAMEGG2.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1593HAMEGG2TPU.jpg,HM1389-ND,1593HAMEGG2TPU,Hammond Manufacturing,BOX ABS TRN PURPLE 5.71""LX3.94""W,0,0,"Obsolete","0","1","1593HAMEGG","Obsolete","Case","Raspberry Pi A+ B, B+, 2B, 3B, 3B+","5.713"" L x 3.941"" W (145.10mm x 100.10mm)","1.299"" (33.00mm)","-","Hand Held","Plastic, ABS","Translucent - Purple","-","PCB Supports","-"
-,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-11984.jpg,PRT-11984-ND,PRT-11984,SparkFun Electronics,BOX PLASTIC CLEAR 4.25""L X 2.4""W,0,0,"Obsolete","0","1","-","Obsolete","Case","Arduino Mega","4.252"" L x 2.402"" W (108.00mm x 61.00mm)","0.984"" (25.00mm)","10.3in² (66cm²)","Hand Held, Split Sides","Plastic, Non Specified","Translucent - Clear","-","PCB Supports","-"
http://www.hammondmfg.com/pdf2/1593HAMEGG1.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1593HAMEGG2TBK.jpg,HM4007-ND,1593HAMEGG1TBK,Hammond Manufacturing,BOX ABS TRN BLK 5.71""L X 3.94""W,0,0,"Obsolete","0","1","1593HAMEGG","Obsolete","Case","Arduino","5.713"" L x 3.941"" W (145.10mm x 100.10mm)","1.299"" (33.00mm)","-","Hand Held","Plastic, ABS","Translucent - Black","-","PCB Supports","-"
http://www.hammondmfg.com/pdf2/1593HAMEGG1.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1593HAMEGG2TBU.jpg,HM4008-ND,1593HAMEGG1TBU,Hammond Manufacturing,BOX ABS TRN BLUE 5.71""L X 3.94""W,0,0,"Obsolete","0","1","1593HAMEGG","Obsolete","Case","Arduino","5.713"" L x 3.941"" W (145.10mm x 100.10mm)","1.299"" (33.00mm)","-","Hand Held","Plastic, ABS","Translucent - Blue","-","PCB Supports","-"
http://www.hammondmfg.com/pdf2/1593HAMEGG1.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1593HAMEGG2TPU.jpg,HM4009-ND,1593HAMEGG1TPU,Hammond Manufacturing,BOX ABS TRN PURPLE 5.71""LX3.94""W,0,2845,"Obsolete","0","1","1593HAMEGG","Obsolete","Case","Arduino","5.713"" L x 3.941"" W (145.10mm x 100.10mm)","1.299"" (33.00mm)","-","Hand Held","Plastic, ABS","Translucent - Purple","-","PCB Supports","-"
