Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Size / Dimension","Features","Color","Material","For Use With/Related Products","Ventilation"
http://www.wakefield-vette.com/Portals/0/EPS%20data%20sheets/Components/Front%20Panels/plastic%20covers.pdf,//media.digikey.com/photos/Wakefield%20Photos/3685626.JPG,345-1346-ND,3685626,Wakefield-Vette,PLASTIC COVER VME SOLID 3U/160MM,181,0,"5.49000","0","1","-","Active","Cover","5.250"" L x 6.299"" W x 0.012"" H (133.35mm x 160.00mm x 0.30mm)","-","Clear","Plastic, Non Specified","VME, 3U, 160MM","Non-Vented"
https://www.panduit.com/content/dam/panduit/en/products/assets/f/fm/fmt/fmt1/fmt1a/media/D-NCCB64--WW-ENG-EnterPrefPartsMEX-WEB.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_FMT1.JPG,298-12684-ND,FMT1,Panduit Corp,THE PANDUIT OPTICOM TRAY IS DE,110,0,"157.15000","0","1","Opticom®","Active","Tray","19.000"" L x 11.600"" W x 1.770"" H (482.60mm x 294.64mm x 44.96mm)","Cable Entry Systems","Black","Metal, Steel","19"" Panel Width Racks","Non-Vented"
https://www.hammfg.com/files/parts/pdf/PBPA19005BK2.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/PBPA19005BK2.jpg,HM774-ND,PBPA19005BK2,Hammond Manufacturing,PANEL FRONT 19X5.22X0.13"" BLACK,95,594,"22.10000","0","1","PBPA","Active","Panel, Front","19.000"" L x 5.220"" W x 0.125"" H (482.60mm x 132.59mm x 3.18mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Non-Vented"
http://www.hammondmfg.com/pdf/PBPA19007.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/PBPA19007BK2.jpg,HM775-ND,PBPA19007BK2,Hammond Manufacturing,PANEL FRONT 19X7X0.13"" BLACK,42,559,"27.20000","0","1","PBPA","Active","Panel, Front","19.000"" L x 6.970"" W x 0.125"" H (482.60mm x 177.04mm x 3.18mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Non-Vented"
http://www.budind.com/pdf/hb14242.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/TBC-14252.jpg,377-1310-ND,TBC-14252,Bud Industries,COVER FOR RAK-MNT CHASSIS SOLID,73,3,"29.60000","0","1","-","Active","Cover","17.062"" L x 16.790"" W x 0.437"" H (433.37mm x 426.47mm x 11.10mm)","-","Natural","Metal, Aluminum","Chassis","Non-Vented"
http://www.hammondmfg.com/pdf/RASVL190314.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RASVL190314BK1.jpg,HM1244-ND,RASVL190314BK1,Hammond Manufacturing,SHELF FIXED 14.5X17.5X3.5"" BLACK,53,176,"49.60000","0","1","RAS","Active","Shelf, Fixed","14.500"" L x 17.500"" W x 3.470"" H (368.30mm x 444.50mm x 88.14mm)","-","Black","Metal, Steel","19"" Panel Width Racks","Vented"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/Shelves(Fixed)-Panel_Mount.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RASV190115BK1.JPG,HM1590-ND,RASV190115BK1,Hammond Manufacturing,SHELF FIXED 15X17.5X1.72"" BLACK,69,290,"51.20000","0","1","RAS","Active","Shelf, Fixed","15.000"" L x 17.500"" W x 1.720"" H (381.00mm x 444.50mm x 43.69mm)","-","Black","Metal, Steel","19"" Panel Width Racks","Vented"
https://assets.tripplite.com/product-pdfs/en/srshelf2p1u.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SRSHELF2P1U.jpg,TL1158-ND,SRSHELF2P1U,Tripp Lite,CABINET CANTILEVER FIXED SHELF,54,0,"65.42000","0","1","SmartRack™","Active","Shelf, Fixed","12.000"" L x 19.000"" W x 1.750"" H (304.80mm x 482.60mm x 44.45mm)","-","Black","Metal, Steel","SmartRack™ Enclosures","Vented"
http://www.budind.com/pdf/hb14400.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/CH-14403.jpg,377-1208-ND,CH-14403,Bud Industries,RACK SMALL MNT CHASSIS ALUMINUM,27,38,"67.50000","0","1","-","Active","Chassis, Open","8.120"" L x 17.000"" W x 3.500"" H (206.25mm x 431.80mm x 88.90mm)","-","Natural","Metal, Aluminum","19"" Panel Width Racks","Non-Vented"
http://www.hammondmfg.com/pdf/RFVS1931.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RFVS1931BK1.jpg,HM1598-ND,RFVS1931BK1,Hammond Manufacturing,SHELF FIXED 31X17.8X1.74"" BLACK,32,111,"70.40000","0","1","RF","Active","Shelf, Fixed","31.000"" L x 17.750"" W x 1.740"" H (787.40mm x 450.85mm x 44.20mm)","-","Black","Metal, Steel","19"" Panel Width Racks","Vented"
