Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Features","For Use With/Related Products"
http://www.panduit.com/heiler/PartDrawings/JMJH2.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_JMJH2-X.jpg,298-14565-ND,JMJH2-X20,Panduit Corp,BRACKET SUPPORT NYLON,350,0,"4.55000","0","1","J-Mod™","Active","J Hook","Black","Mounting Brackets"
https://www.hammfg.com/dci/products/accessories/1421.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1421Screws-Washers.jpg,HM2627-ND,1421,Hammond Manufacturing,MACH SCRW OVAL SLOT 10-32 4/PK,200,207,"4.75000","0","1","1421","Active","Mounting Hardware","Screws, Washers","Enclosures"
http://www.hammondmfg.com/pdf2/9C-1421.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1421T2GY.jpg,HM2634-ND,1421T2GY,Hammond Manufacturing,FEET RUBBER .5"" X .14"" GRY 1=24,105,372,"6.84000","0","1","1421","Active","Rubber Feet","Self Adhesive","Enclosures"
-,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_GRDKIT03.jpg,HM5449-ND,GRDKIT03,Hammond Manufacturing,RACK CABINET GROUND KIT,349,580,"8.00000","0","1","-","Active","Grounding Kit","1 Jumper Wire","Enclosures"
https://www.panduit.com/content/dam/panduit/en/products/assets/c/cm/cmv/cmvd/cmvdr1s/media/C-RKCMVDR--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_CMVDR1S.jpg,298-16132-ND,CMVDR1S,Panduit Corp,1"" WIDE VERT. CABLE MGMT. SHORT,190,0,"16.65000","0","1","-","Active","Ring","-","Cable Management"
http://www.panduit.com/heiler/PartDrawings/C-RKCMPHF1--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/CMPHF1.jpg,298-12212-ND,CMPHF1,Panduit Corp,CABLE HOLDER,187,0,"42.21000","0","1","-","Active","Mounting Brackets","Cable Clips","Cable Management"
https://www.hammfg.com/dci/products/accessories/1421n.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1421NP-Series.jpg,HM1708-ND,1421NP100,Hammond Manufacturing,CLIP NUT STEEL 10-32 100/PK,113,64,"55.13000","0","1","1421NP","Active","Mounting Hardware","Clip Nuts","Enclosures"
https://www.panduit.com/content/dam/panduit/en/products/assets/0/0f/0fm/0fmt/fmt2/media/FMT2%20(10050-26).pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_FMT2.jpg,298-16234-ND,FMT2,Panduit Corp,RACK MOUNT FIBER TRAY 2 RU,40,0,"177.36000","0","1","Opticom®","Active","Splice Kit","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/f/fl/flb/flbs/flbsim51/media/C-RKFLBSIM-51--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/FLBSIM-51.JPG,298-12672-ND,FLBSIM-51,Panduit Corp,FULL-LENGTH BLANKING SHADE BLANK,29,0,"327.92000","0","1","-","Active","Blanking Shade","-","19"" Panel Width Racks"
https://www.hammfg.com/files/parts/pdf/C4PR2477SZPL.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_C4PR2442SZPL.jpg,C4PR2477SZPL-ND,C4PR2477SZPL,Hammond Manufacturing,44U EIA SQUARE HOLE RAILS PAIR,29,0,"96.00000","0","1","C4","Active","Rails","-","C4 Series"
http://www.panduit.com/heiler/SpecificationSheets/D-GRSP01--SA-ENG-StructGrdUnivGrdBarSys-W.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_UGB2%5E0-414-12.jpg,298-10527-ND,UGB2/0-414-12,Panduit Corp,12 PORT UNIVERSAL GROUND BAR,51,0,"52.92000","0","1","StructuredGround™","Active","Grounding Kit","Ports - 12","Cabinet Racks"
https://www.hammfg.com/dci/products/accessories/rmad.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RMAD19003BK.jpg,HM1259-ND,RMAD19003BK,Hammond Manufacturing,BRACKET 3.5"" 2U FOR 19"" RACK,50,136,"72.00000","0","1","RMAD","Active","Mounting Brackets","Adjustable","19"" Panel Width Racks"
http://www.budind.com/pdf/hb9448.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/PMR-9453.jpg,377-1985-ND,PMR-9453,Bud Industries,RAILS PANEL MOUNTING 70"" 1 PAIR,15,0,"100.80000","0","1","-","Active","Rails","-","Cabinet Racks"
https://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/Attachment/HoffmanProductAttachments/SpecSheets/Spec-00477.pdf,//media.digikey.com/Photos/Hoffman-Enclosures-Inc/MFG_ADSTOPK.jpg,1441-1266-ND,ADSTOPK,"Hoffman Enclosures, Inc.",DOOR STOP KIT FITS TYPE 12 ENCL,9,0,"127.05000","0","1","-","Active","Door Stop Kit","-","Enclosures"
https://www.hammfg.com/files/parts/pdf/1425BHLOCK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1425B-Series.jpg,HM1485-ND,1425BHLOCK,Hammond Manufacturing,CASTERS HEAVY DUTY LOCKING,16,40,"133.45000","0","1","1425","Active","Casters, Wheels","Heavy Duty, Locking 4","Enclosures"
https://www.hammfg.com/files/parts/pdf/SDV180-1.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_SDV180-1.jpg,HM5834-ND,SDV180-1,Hammond Manufacturing,BREATHER KIT,95,2944,"5.62000","0","1","SDV","Active","Vent","Gasket","Enclosures"
http://www.hammondmfg.com/pdf2/9C-1421.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1421T3.jpg,HM1481-ND,1421T3,Hammond Manufacturing,FEET RUBBER .5"" X .23"" BLK 1=24,33,488,"9.37000","0","1","1421","Active","Rubber Feet","Self Adhesive","Enclosures"
http://www.hammondmfg.com/pdf2/9C-1421.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1421T4.jpg,HM1482-ND,1421T4,Hammond Manufacturing,FEET RUBBER .81"" X .30"" BLK 1=24,60,802,"12.99000","0","1","1421","Active","Rubber Feet","Self Adhesive","Enclosures"
https://www.hammfg.com/dci/products/accessories/1421n.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1421N25.jpg,HM830-ND,1421N25,Hammond Manufacturing,CLIP NUT STEEL 10-32 25/PK,69,603,"15.73000","0","1","1421N","Active","Mounting Hardware","Clip Nuts","Enclosures"
-,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_CLPKIT1032-25.jpg,HM5299-ND,CLPKIT1032-25,Hammond Manufacturing,MOUNTING SCREW & CLIP NUT COMBO,34,0,"16.65000","0","1","CLPKIT","Active","Mounting Hardware","Clip Nut, Screws","Rack Mount Equipment"
