Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Configuration","Number of Ports","Copper Ports","Copper Type","Fiber Ports","Fiber Type","SFP/XFP Ports","SFP/XFP Type","PoE Ports","Connector Type","Voltage - Input","Ingress Protection","Mounting Type","Operating Temperature"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2832674.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2832674.jpg,277-3060-ND,2832674,Phoenix Contact,NETWORK SWITCH-UNMANAGED 8 PORT,1,28,"739.01000","0","1","-","Active","Switch - Unmanaged","Fixed","8","6","10/100","2","100BASE-FX (Multimode)","-","-","-","RJ45, ST","18.5 ~ 30.2VDC","IP20","-","0°C ~ 55°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2832661.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2832661.jpg,277-9340-ND,2832661,Phoenix Contact,NETWORK SWITCH-UNMANAGED 16 PORT,1,0,"825.01000","0","1","-","Active","Switch - Unmanaged","Fixed","16","15","10/100","1","100BASE-FX (Multimode)","-","-","-","RJ45, SC","18.5 ~ 30.2VDC","IP20","-","0°C ~ 55°C"
http://www.redlion.net/files/138/3442,//media.digikey.com/Photos/Red%20Lion%20Photos/MFG_708FX2-ST.jpg,RLC275-ND,708FX2-ST,Red Lion Controls,NETWORK SWITCH-MANAGED 8 PORT,1,0,"840.47000","0","1","N-TRON®","Active","Switch - Managed","Fixed","8","6","10/100","2","100BASE-FX (Multimode)","-","-","-","RJ45, ST","10 ~ 30VDC","-","DIN Rail","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2989433.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2989433.JPG,277-2538-ND,2989433,Phoenix Contact,NETWORK SWITCH-MANAGED 5 PORT,1,0,"856.01000","0","1","-","Active","Switch - Managed","Fixed","5","4","10/100","1","100BASE-FX (Multimode)","-","-","-","RJ45, SC","18.5 ~ 30.5VDC","IP20","DIN Rail","-40°C ~ 70°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2832603.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2832603.jpg,277-3104-ND,2832603,Phoenix Contact,NETWORK SWITCH-UNMANAGED 7 PORT,1,37,"878.00000","0","1","-","Active","Switch - Unmanaged","Fixed","7","4","10/100","3","100BASE-FX (Multimode)","-","-","-","RJ45, ST","18.5 ~ 30.2VDC","IP20","-","0°C ~ 55°C"
http://advdownload.advantech.com/productfile/PIS/EKI-7712E-4F/Product%20-%20Datasheet/EKI-7712E-4F_4FI_DS(05.17.18)20180629115238.pdf,//media.digikey.com/photos/Advantech%20Corp%20Photos/EKI-7712G-4F-AE.JPG,EKI-7712E-4F-AE-ND,EKI-7712E-4F-AE,"B&B SmartWorx, Inc.",NETWORK SWITCH-MANAGED 12 PORT,1,1,"933.91000","0","1","-","Active","Switch - Managed","Fixed + SFP","12","8","10/100","Up to 4","SFP","4","SFP, Gigabit","-","RJ45, SFP","12 ~ 48VDC","IP30","DIN Rail","-10°C ~ 60°C"
http://advdownload.advantech.com/productfile/Downloadfile1/1-1E1Y7S0/EKI-7710%20Series_UM.pdf,-,EKI-7710G-2CI-AE-ND,EKI-7710G-2CI-AE,"B&B SmartWorx, Inc.",NETWORK SWITCH-MANAGED 10 PORT,1,6,"999.00000","0","1","EKI","Active","Switch - Managed","Fixed + SFP","10","8","10/100/1000","2","SFP","2","SFP, Gigabit","-","RJ45, SFP","12 ~ 48VDC","IP30","DIN Rail","-40°C ~ 75°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2832658.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2832658.jpg,277-2987-ND,2832658,Phoenix Contact,NETWORK SWITCH-MANAGED 6 PORT,0,0,"1045.00000","0","1","-","Active","Switch - Managed","Fixed","6","4","10/100","2","100BASE-FX (Multimode)","-","-","-","RJ45, SC","18.5 ~ 30.5VDC","IP20","DIN Rail","-40°C ~ 70°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2891058.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2891058.jpg,277-11061-ND,2891058,Phoenix Contact,NETWORK SWITCH-MANAGED 16 PORT,0,0,"1365.01000","0","1","-","Active","Switch - Managed","Fixed","16","16","10/100","-","-","-","-","-","RJ45","12 ~ 48VDC","IP20","DIN Rail","-10°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2989365.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2989365.jpg,277-11087-ND,2989365,Phoenix Contact,NETWORK SWITCH-ADVANCED 8 PORT,1,12,"1449.01000","0","1","-","Active","Switch - Advanced","Fixed","8","8","10/100","-","-","-","-","-","RJ45","18 ~ 32VDC","IP20","DIN Rail","0°C ~ 55°C"
-,//media.digikey.com/Photos/Phoenix%20Photos/2891563.jpg,277-9387-ND,2891563,Phoenix Contact,NETWORK SWITCH-UNMANAGED 8 PORT,1,8,"1690.01000","0","1","-","Active","Switch - Unmanaged","Fixed","8","6","10/100/1000","2","Gigabit (Multimode)","-","-","-","RJ45, SC","9 ~ 32VDC","IP20","DIN Rail","0°C ~ 60°C"
https://www.e-catalog.beldensolutions.com/pdfreport_pimobject.xhtml?ip=false&path=57078-24455-49848-85612-40981&locale=en&ip=false,//media.digikey.com/Photos/Hirschmann/MFG_MACH102-8TP-R.jpg,1797-1020-ND,MACH102-8TP-R,Hirschmann,NETWORK SWITCH-MANAGED 8 PORT,1,0,"1760.08000","0","1","-","Active","Switch - Managed","Fixed + SFP","8","6","10/100","Up to 2","Gigabit (Singlemode)","2 (SFP)","SFP, Gigabit","-","RJ45, SFP","100 ~ 240VAC","-","DIN Rail","0°C ~ 50°C"
https://assets.tripplite.com/product-pdfs/en/u4600033ag.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U460-003-3AG.jpg,TL1406-ND,U460-003-3AG,Tripp Lite,3-PORT USB-C TO USB-A HUB PORTAB,1,0,"45.33000","0","1","-","Active","Hub, USB","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/u4600022amc.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U460-002-2AM-C.jpg,TL1088-ND,U460-002-2AM-C,Tripp Lite,2-PORT USB 3.1 GEN 1 PORTABLE HU,5,0,"54.94000","0","1","-","Active","Hub, USB","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/b156002v2.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_B156-002-V2.jpg,TL1009-ND,B156-002-V2,Tripp Lite,2-PORT DISPLAYPORT 1.2 MULTI-STR,1,0,"94.78000","0","1","-","Active","Hub, Multi-Stream Transport (MST)","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/b155002hdv2.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_B155-002-HD-V2.jpg,TL1006-ND,B155-002-HD-V2,Tripp Lite,2-PORT MINI DISPLAYPORT 1.2 TO H,1,0,"109.89000","0","1","-","Active","Hub, Multi-Stream Transport (MST)","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/b155004dpv2.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_B155-004-DP-V2.jpg,TL1022-ND,B155-004-DP-V2,Tripp Lite,4-PORT MINI DISPLAYPORT 1.2 TO D,1,0,"162.08000","0","1","-","Active","Hub, Multi-Stream Transport (MST)","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/b155004hdv2.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_B155-004-HD-V2.jpg,TL1023-ND,B155-004-HD-V2,Tripp Lite,4-PORT MINI DISPLAYPORT 1.2 TO H,1,0,"206.04000","0","1","-","Active","Hub, Multi-Stream Transport (MST)","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/24030041110_100566548DRW000A.pdf,//media.digikey.com/Photos/Harting/24030041110.JPG,1195-3612-ND,24030041110,HARTING,NETWORK SWITCH-UNMANAGED 5 PORT,1,0,"224.82000","0","1","eCon 3000","Active","Switch - Unmanaged","Fixed","5","4","10/100","1","100BASE-FX (Multimode)","-","-","-","RJ45, SC","9 ~ 60VDC","IP30","DIN Rail","0°C ~ 55°C"
https://b2b.harting.com/files/download/PRD/PDF_TS/24020061110_100547689DRW001A.pdf,//media.digikey.com/Photos/Harting/24020061110.JPG,1195-3627-ND,24020061110,HARTING,NETWORK SWITCH-UNMANAGED 7 PORT,1,0,"249.81000","0","1","eCon 2000","Active","Switch - Unmanaged","Fixed","7","6","10/100","1","100BASE-FX (Multimode)","-","-","-","RJ45, SC","9 ~ 60VDC","IP30","DIN Rail","0°C ~ 55°C"
https://b2b.harting.com/files/download/PRD/PDF_TS/24020160010_100620779DRW002A.pdf,//media.digikey.com/Photos/Harting/24020160010.JPG,1195-5578-ND,24020160010,HARTING,NETWORK SWITCH-UNMANAGED 16 PORT,1,0,"309.87000","0","1","-","Active","Switch - Unmanaged","Fixed","16","16","10/100","-","-","-","-","-","RJ45","24 ~ 48VDC","IP30","DIN Rail","0°C ~ 55°C"
https://b2b.harting.com/files/download/PRD/PDF_TS/24030042110_100566533DRW000A.pdf,//media.digikey.com/Photos/Harting/24030042110.JPG,1195-3613-ND,24030042110,HARTING,NETWORK SWITCH-UNMANAGED 6 PORT,1,0,"321.52000","0","1","eCon 3000","Active","Switch - Unmanaged","Fixed","6","4","10/100","2","100BASE-FX (Multimode)","-","-","-","RJ45, SC","9 ~ 60VDC","IP30","DIN Rail","0°C ~ 55°C"
https://b2b.harting.com/files/download/PRD/PDF_TS/24020062110_100547705DRW001A.pdf,//media.digikey.com/Photos/Harting/24020062110.JPG,1195-3628-ND,24020062110,HARTING,NETWORK SWITCH-UNMANAGED 8 PORT,1,0,"342.12000","0","1","eCon 2000","Active","Switch - Unmanaged","Fixed","8","6","10/100","2","100BASE-FX (Multimode)","-","-","-","RJ45, SC","9 ~ 60VDC","IP30","DIN Rail","0°C ~ 55°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2832483.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2832483.jpg,277-9337-ND,2832483,Phoenix Contact,NETWORK SWITCH-UNMANAGED 2 PORT,1,0,"360.88000","0","1","-","Active","Switch - Unmanaged","Fixed","2","2","10/100","-","-","-","-","-","RJ45","-","IP20","Rack Mount","0°C ~ 55°C"
http://select.phoenixcontact.com/phoenix/dwld/2665_en_I.pdf;jsessionid=A4C1532E7371959AC689E8567B7B0B43.select-lin-dmz-app02-download?cp=y&asid2=594956373993635,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2891006.jpg,277-9383-ND,2891006,Phoenix Contact,NETWORK SWITCH-UNMANAGED 8 PORT,1,59,"395.00000","0","1","-","Active","Switch - Unmanaged","Fixed","8","7","10/100","1","100BASE-FX (Multimode)","-","-","-","RJ45, SC","9 ~ 32VDC","IP20","-","-40°C ~ 75°C"
https://b2b.harting.com/files/download/PRD/PDF_TS/24030042130_100566558DRW000A.pdf,//media.digikey.com/Photos/Harting/24030042130.JPG,1195-3617-ND,24030042130,HARTING,NETWORK SWITCH-UNMANAGED 6 PORT,1,0,"452.09000","0","1","eCon 3000","Active","Switch - Unmanaged","Fixed","6","4","10/100","2","100BASE-FX (Multimode)","-","-","4","RJ45, SC","47 ~ 60VDC","IP30","DIN Rail","0°C ~ 55°C"
https://b2b.harting.com/files/download/PRD/PDF_TS/24020062130_100546736DRW001A.pdf,//media.digikey.com/Photos/Harting/24020062130.JPG,1195-3631-ND,24020062130,HARTING,NETWORK SWITCH-UNMANAGED 8 PORT,1,0,"464.31000","0","1","eCon 2000","Active","Switch - Unmanaged","Fixed","8","6","10/100","2","100BASE-FX (Multimode)","-","-","4","RJ45, SC","47 ~ 60VDC","IP30","DIN Rail","0°C ~ 55°C"
https://b2b.harting.com/files/download/PRD/PDF_TS/20703053943_100142480DRW005B.pdf,//media.digikey.com/Photos/Harting/MFG_20703053943.jpg,1195-3584-ND,20703053943,HARTING,NETWORK SWITCH-UNMANAGED 5 PORT,1,0,"528.26000","0","1","-","Active","Switch - Unmanaged","Fixed","5","5","10/100","-","-","-","-","-","M12","12 ~ 60VDC","IP65","Chassis Mount","-40°C ~ 70°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2832425.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2832425.JPG,277-3127-ND,2832425,Phoenix Contact,NETWORK SWITCH-MANAGED 2 PORT,1,0,"557.00000","0","1","-","Active","Switch - Managed","Modular - Card","2","-","-","2","100BASE-FX (Multimode)","-","-","-","SC","-","IP20","Rack Mount","0°C ~ 55°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2989527.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2989527.jpg,277-11088-ND,2989527,Phoenix Contact,NETWORK SWITCH-MANAGED 5 PORT,1,18,"595.00000","0","1","-","Active","Switch - Managed","Fixed","5","5","10/100","-","-","-","-","-","RJ45","18.5 ~ 30.5VDC","IP20","DIN Rail","-40°C ~ 70°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2989336.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2989336.jpg,277-2537-ND,2989336,Phoenix Contact,NETWORK SWITCH-MANAGED 5 PORT,1,6,"615.00000","0","1","-","Active","Switch - Managed","Fixed","5","5","10/100","-","-","-","-","-","RJ45","18.5 ~ 30.5VDC","IP20","DIN Rail","-40°C ~ 70°C"
http://advdownload.advantech.com/productfile/PIS/EKI-7710E-2CI/Product%20-%20Datasheet/EKI-7710E-2CI20180910102156.pdf,//media.digikey.com/Photos/Advantech%20Corp%20Photos/MFG_EKI-7710E-2CI-AE.jpg,EKI-7710E-2CI-AE-ND,EKI-7710E-2CI-AE,"B&B SmartWorx, Inc.",NETWORK SWITCH-MANAGED 10 PORT,1,17,"799.00000","0","1","EKI","Active","Switch - Managed","Fixed + SFP","10","8","10/100","2","SFP","2","SFP, Gigabit","-","RJ45, SFP","12 ~ 48VDC","IP30","DIN Rail","-40°C ~ 75°C"
