Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Interface","Number of Ports"
http://advdownload.advantech.com/productfile/PIS/BB-ESP901/Product%20-%20Datasheet/ESP90x_5012ds20171129110947.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_ESP902.jpg,1165-1147-ND,BB-ESP902,"B&B SmartWorx, Inc.",ETHERNET TO SER RS-232/422/485,50,47,"260.59000","0","1","Vlinx™","Active","Ethernet to Serial","RS-232/422/485","2"
https://www.digi.com/pdf/prd_ds_portservertsmei.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/70001805.jpg,602-1571-ND,70001805,Digi International,SERV/SER TO ETHER RS-232/422/485,44,0,"364.00000","0","1","PortServer™","Active","Server, Serial to Ethernet","RS-232/422/485","1"
http://www.atoponline.com/wp-content/uploads/2018/09/CA_SE5201-v0.6.pdf,-,SE5201-DB-ND,SE5201-DB,ATOP Technologies,1PORT SERIAL DEVICE SERVER IND E,50,0,"93.73000","0","1","SE5201","Active","Ethernet to Serial","RS-232/422/485","1"
//media.digikey.com/pdf/Data%20Sheets/AK%20NORD%20GMBH%20PDFs/ConLine-V24-SXL.pdf,//media.digikey.com/Photos/AK-Nord-GmbH/MFG_CL-V24-SXL-x.JPG,1851-1019-ND,CL-V24-SXL-B,AK-Nord GmbH,ETHERNET TO SERIAL RS-232,38,0,"116.28000","0","1","-","Active","Ethernet to Serial","RS-232","1"
//media.digikey.com/pdf/Data%20Sheets/AK%20NORD%20GMBH%20PDFs/ConLine-V24-SXL.pdf,//media.digikey.com/Photos/AK-Nord-GmbH/MFG_CL-V24-SXL-x.JPG,1851-1018-ND,CL-V24-SXL-S,AK-Nord GmbH,ETHERNET TO SERIAL RS-232,36,0,"116.28000","0","1","-","Active","Ethernet to Serial","RS-232","1"
//media.digikey.com/pdf/Data%20Sheets/AK%20NORD%20GMBH%20PDFs/ComPoint-LAN-SXL.pdf,//media.digikey.com/Photos/AK-Nord-GmbH/MFG_CPLA-SXL-NT.JPG,1851-1016-ND,CPLA-SXL-NT,AK-Nord GmbH,WIRELESS TO SERIAL RS-232/RS-485,28,0,"149.35000","0","1","-","Active","Wireless to Serial","RS-232, RS-485","2"
http://advdownload.advantech.com/productfile/PIS/BB-VESP211/Product%20-%20Datasheet/VESP211-Series_1717ds20170426042804.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_VESP211.jpg,1165-1119-ND,BB-VESP211,"B&B SmartWorx, Inc.",ETHERNET TO SER RS-232/422/485,11,49,"157.59000","0","1","-","Active","Ethernet to Serial","RS-232/422/485","1"
https://www.lantronix.com/wp-content/uploads/pdf/UDS2100_UG.pdf,//media.digikey.com/photos/LANTRONIX/UD2100001-01.jpg,1829-1023-ND,UD2100001-01,"Lantronix, Inc.",ETHERNET TO SERIAL 120VAC US,15,0,"229.00000","0","1","UDS2100","Active","Ethernet to Serial","-","2"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/AnywhereUSB_Plus_2-11-19.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_AW02-G300.jpg,602-2293-ND,AW02-G300,Digi International,2X USB 3.1 OVER ETHERNET 10/100,16,0,"286.00000","0","1","AnywhereUSB® Plus","Active","Ethernet to USB","RS-232","2"
http://advdownload.advantech.com/productfile/PIS/BB-ESR901/Product%20-%20Datasheet/ESR90x-2213ds20171227101614.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_ESR90x-SERIES.jpg,1165-1165-ND,BB-ESR901,"B&B SmartWorx, Inc.",ETHERNET TO SER RS-232/422/485,8,28,"289.43000","0","1","Vlinx™","Active","Ethernet to Serial","RS-232/422/485","1"
