Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Configuration","Copper Ports","Copper Type","Fiber Ports","Fiber Type","SFP/XFP Ports","Features","Distance","MTU","Voltage - Input","Connector Type","Mounting Type","Ingress Protection","Operating Temperature"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_856-19xyz%20SERIES.jpg,856-19726-ND,856-19726,"B&B SmartWorx, Inc.","IE-MINIFIBERLINX-II, TP-TX/FX-SM",0,0,"610.00000","0","1","Bulk","IE-MiniFiberLinX-II","Active","Managed","Fixed","1","10/100","1","100BASE-FX (Singlemode)","-","SNMP Manageable","80km","1916","12 ~ 48VDC","RJ45, ST","Chassis Mount","-","-45°C ~ 85°C"
-,-,854-17745-ND,854-17745,"B&B SmartWorx, Inc.",IE MINIFIBERLINX-II/LASTGASP MOD,0,0,"612.00000","0","1","Bulk","IE-MiniFiberLinX-II","Active","Managed","Fixed","1","10/100","1","Singlemode","-","-","40km","-","-","RJ45, SC","Chassis Mount, DIN Rail","-","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_855-106%20SERIES.jpg,855-10658-ND,855-10658,"B&B SmartWorx, Inc.",MINIMC TP-TX/FX-CWDM-SM1310-SC,0,0,"612.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_855-106%20SERIES.jpg,855-10659-ND,855-10659,"B&B SmartWorx, Inc.",MINIMC TP-TX/FX-CWDM-SM1330-SC,0,0,"612.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_855-106%20SERIES.jpg,855-10660-ND,855-10660,"B&B SmartWorx, Inc.",MINIMC TP-TX/FX-CWDM-SM1350-SC,0,0,"612.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_855-106%20SERIES.jpg,855-10661-ND,855-10661,"B&B SmartWorx, Inc.",MINIMC TP-TX/FX-CWDM-SM1370-SC,0,0,"612.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_855-106%20SERIES.jpg,855-10662-ND,855-10662,"B&B SmartWorx, Inc.",MINIMC TP-TX/FX-CWDM-SM1390-SC,0,0,"612.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_855-106%20SERIES.jpg,855-10663-ND,855-10663,"B&B SmartWorx, Inc.",MINIMC TP-TX/FX-CWDM-SM1410-SC,0,0,"612.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_855-106%20SERIES.jpg,855-10664-ND,855-10664,"B&B SmartWorx, Inc.",MINIMC TP-TX/FX-CWDM-SM1430-SC,0,0,"612.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_855-106%20SERIES.jpg,855-10665-ND,855-10665,"B&B SmartWorx, Inc.",MINIMC TP-TX/FX-CWDM-SM1450-SC,0,0,"612.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_855-106%20SERIES.jpg,855-10666-ND,855-10666,"B&B SmartWorx, Inc.",MINIMC TP-TX/FX-CWDM-SM1470-SC,0,0,"612.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_855-106%20SERIES.jpg,855-10667-ND,855-10667,"B&B SmartWorx, Inc.",MINIMC TP-TX/FX-CWDM-SM1490-SC,0,0,"612.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_855-106%20SERIES.jpg,855-10668-ND,855-10668,"B&B SmartWorx, Inc.",MINIMC TP-TX/FX-CWDM-SM1510-SC,0,0,"612.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_855-106%20SERIES.jpg,855-10669-ND,855-10669,"B&B SmartWorx, Inc.",MINIMC TP-TX/FX-CWDM-SM1530-SC,0,0,"612.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_855-106%20SERIES.jpg,855-10671-ND,855-10671,"B&B SmartWorx, Inc.",MINIMC TP-TX/FX-CWDM-SM1570-SC,0,0,"612.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_855-106%20SERIES.jpg,855-10672-ND,855-10672,"B&B SmartWorx, Inc.",MINIMC TP-TX/FX-CWDM-SM1590-SC,0,0,"612.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_855-106%20SERIES.jpg,855-10673-ND,855-10673,"B&B SmartWorx, Inc.",MINIMC TP-TX/FX-CWDM-SM1610-SC,0,0,"612.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14220-ND,850-14220,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1270-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
