Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Applications","Memory Type","Memory Size","Operating Temperature"
https://datasheets.maximintegrated.com/en/ds/DS1996.pdf,//media.digikey.com/photos/Maxim%20Photos/DS1996L-F5+.JPG,DS1996L-F5+-ND,DS1996L-F5+,Maxim Integrated,IBUTTON MEMORY 64KBit F5,0,500,"12.91000","0","1","iButton®","Active","Product Data","NVRAM","8KB","-40°C ~ 70°C"
https://datasheets.maximintegrated.com/en/ds/DS1971.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1971-F3+-ND,DS1971-F3+,Maxim Integrated,IBUTTON EEPROM 256KBIT F3,22,187962,"5.41000","0","1","iButton®","Active","User/Product Authentication","EEPROM","32B","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/Dallas%20Semiconductor%20PDFs/DS1961S.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1961S-F3+-ND,DS1961S-F3+,Maxim Integrated,IBUTTON EEPROM 1KBit F3,22,3242,"4.79000","0","1","iButton®","Active","User/Product Authentication","EEPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS9092R-DS9092RG.pdf,-,DS9092RG+-ND,DS9092RG+,Maxim Integrated,IBTN PORT WITH GROOVE,0,1800,"0.95760","0","400","iButton®","Active","-","-","-","-"
https://datasheets.maximintegrated.com/en/ds/DS1972.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1972-F3+-ND,DS1972-F3+,Maxim Integrated,IBUTTON EEPROM 1KBit F3,0,23300,"3.48935","0","200","iButton®","Active","User/Product Authentication","EEPROM","128B","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/MikroElektronika%20PDFs/MIKROE%E2%80%903047_Web.pdf,//media.digikey.com/Photos/MikroElektronika/MFG_MIKROE-3047.jpg,1471-2008-ND,MIKROE-3047,MikroElektronika,IBUTTON SERIAL NUMBER,10,0,"4.08000","0","1","iButton®","Active","Password Protected Data","ROM","8B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS9105-DS9105-SET.pdf,//media.digikey.com/Photos/Maxim%20Photos/DS9105-SET%23.jpg,DS9105-SET#-ND,DS9105-SET#,Maxim Integrated,IBUTTON NUMBER KEYPAD SET,0,0,"33.46692","0","13","iButton®","Active","User/Product Authentication","EPROM","128B","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/Dallas%20Semiconductor%20PDFs/DS1961S.pdf,-,DS1961S-F3-ND,DS1961S-F3,Maxim Integrated,IBUTTON EEPROM 1KBit SHA-1 2CAN,0,0,"Obsolete","0","1","iButton®","Obsolete","User/Product Authentication","EEPROM","128B","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/Dallas%20Semiconductor%20PDFs/DS1961S.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1961S-F3#-ND,DS1961S-F3#,Maxim Integrated,IBUTTON EEPROM 1KBit F3,0,0,"Obsolete","0","1","iButton®","Obsolete","User/Product Authentication","EEPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS9105-DS9105-SET.pdf,-,DS9105-001#-ND,DS9105-001#,Maxim Integrated,IBUTTON NUMBER SET ONE,0,0,"Active","0","0","iButton®","Active","User/Product Authentication","EPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS9105-DS9105-SET.pdf,-,DS9105-000#-ND,DS9105-000#,Maxim Integrated,IBUTTON NUMBER SET ZERO,0,0,"Active","0","0","iButton®","Active","User/Product Authentication","EPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS9105-DS9105-SET.pdf,-,DS9105-002#-ND,DS9105-002#,Maxim Integrated,IBUTTON NUMBER SET TWO,0,0,"Active","0","0","iButton®","Active","User/Product Authentication","EPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS9105-DS9105-SET.pdf,-,DS9105-008#-ND,DS9105-008#,Maxim Integrated,IBUTTON NUMBER SET EIGHT,0,0,"Active","0","0","iButton®","Active","User/Product Authentication","EPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS9105-DS9105-SET.pdf,-,DS9105-003#-ND,DS9105-003#,Maxim Integrated,IBUTTON NUMBER SET THREE,0,0,"Active","0","0","iButton®","Active","User/Product Authentication","EPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS9105-DS9105-SET.pdf,-,DS9105-00E#-ND,DS9105-00E#,Maxim Integrated,IBUTTON NUMBER SET ENTER,0,0,"Active","0","0","iButton®","Active","User/Product Authentication","EPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS9105-DS9105-SET.pdf,-,DS9105-009#-ND,DS9105-009#,Maxim Integrated,IBUTTON NUMBER SET NINE,0,0,"Active","0","0","iButton®","Active","User/Product Authentication","EPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS9105-DS9105-SET.pdf,-,DS9105-00C#-ND,DS9105-00C#,Maxim Integrated,IBUTTON NUMBER SET CLEAR,0,0,"Active","0","0","iButton®","Active","User/Product Authentication","EPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS9105-DS9105-SET.pdf,-,DS9105-007#-ND,DS9105-007#,Maxim Integrated,IBUTTON NUMBER SET SEVEN,0,0,"Active","0","0","iButton®","Active","User/Product Authentication","EPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS9105-DS9105-SET.pdf,-,DS9105-005#-ND,DS9105-005#,Maxim Integrated,IBUTTON NUMBER SET FIVE,0,0,"Active","0","0","iButton®","Active","User/Product Authentication","EPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS9105-DS9105-SET.pdf,-,DS9105-006#-ND,DS9105-006#,Maxim Integrated,IBUTTON NUMBER SET SIX,0,0,"Active","0","0","iButton®","Active","User/Product Authentication","EPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS9105-DS9105-SET.pdf,-,DS9105-004#-ND,DS9105-004#,Maxim Integrated,IBUTTON NUMBER SET FOUR,0,0,"Active","0","0","iButton®","Active","User/Product Authentication","EPROM","128B","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/Maxim%20PDFs/DS1922L_22T_Rev13_3-15.pdf,-,DS1922L-F5#W-ND,DS1922L-F5#W,Maxim Integrated,IBUTTON,0,0,"Obsolete","0","0","iButton®","Obsolete","Temperature Logging","NVSRAM (Non-Volatile SRAM)","512B, 8KB","-40°C ~ 85°C"
-,-,DS1922S-F5#-ND,DS1922S-F5#,Maxim Integrated,DEV TOOLS,0,0,"Last Time Buy","0","0","-","Last Time Buy","-","-","-","-"
-,-,DS1955B-PB4#-ND,DS1955B-PB4#,Maxim Integrated,IBUTTON,0,0,"Obsolete","0","0","-","Obsolete","-","-","-","-"
-,-,DS1955B-PB5#-ND,DS1955B-PB5#,Maxim Integrated,IBUTTON,0,0,"Obsolete","0","0","-","Obsolete","-","-","-","-"
-,-,DS1955B-PB6#-ND,DS1955B-PB6#,Maxim Integrated,IBUTTON,0,0,"Obsolete","0","0","-","Obsolete","-","-","-","-"
-,-,DS1955B-PB9#-ND,DS1955B-PB9#,Maxim Integrated,IBUTTON,0,0,"Obsolete","0","0","-","Obsolete","-","-","-","-"
