Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Memory Size","Memory Type","Type","Speed - Read","Speed - Write","Operating Temperature","Size / Dimension"
-,-,SFU3032GC1AE2TO-C-GE-1A1-STD-ND,SFU3032GC1AE2TO-C-GE-1A1-STD,Swissbit,IND USB FLASH DRIVE U-50N 32 GB,0,0,"62.05000","0","1","U-50N","Active","32GB","FLASH - NAND (MLC)","USB 3.1","135MB/s","65MB/s","0°C ~ 70°C","24.00mm L x 12.10mm H x 4.50mm W"
//media.digikey.com/pdf/Data%20Sheets/Apacer/APHAzzzzax0xG-xT(M).pdf,-,APHA032GAG0EG-3TM-ND,APHA032GAG0EG-3TM,Apacer Memory America,USB FLASH DRIVE 32GB MLC 2.0/3.0,0,0,"62.25000","0","1","EH353","Active","32GB","FLASH - NAND (MLC)","USB 2.0, 3.0","190MB/s","45MB/s","-40°C ~ 85°C","59.00mm L x 18.40mm W x 9.10mm H"
//media.digikey.com/pdf/Data%20Sheets/Apacer/APHAzzzzax0xG-xT(M).pdf,-,APHA032GAK0EG-3TM-ND,APHA032GAK0EG-3TM,Apacer Memory America,USB FLASH DRIVE 32GB MLC 2.0/3.0,0,0,"62.25000","0","1","EH353","Active","32GB","FLASH - NAND (MLC)","USB 2.0, 3.0","190MB/s","45MB/s","-40°C ~ 85°C","59.00mm L x 18.40mm W x 9.10mm H"
https://swissbit.com/data/view.php?q=U-56/U-56_fact_sheet.pdf,-,SFU3016GC1AE2TO-C-GE-1AP-STD-ND,SFU3016GC1AE2TO-C-GE-1AP-STD,Swissbit,IND USB FLASH DRIVE U-56N 16 GB,0,0,"62.34000","0","1","U-56N","Active","16GB","FLASH - NAND (pSLC)","USB 3.1","190MB/s","125MB/s","0°C ~ 70°C","24.00mm L x 12.10mm H x 4.50mm W"
-,-,SFU3016GE1AE2TO-I-GS-1A1-STD-ND,SFU3016GE1AE2TO-I-GS-1A1-STD,Swissbit,IND USB FLASH DRIVE U-50K 16 GB,0,0,"62.41000","0","1","U-50K","Active","16GB","FLASH - NAND (MLC)","USB 3.1","140MB/s","60MB/s","-40°C ~ 85°C","67.80mm L x 18.00mm H x 8.30mm W"
-,-,SFU3008GE1AE2TO-I-GS-1AP-STD-ND,SFU3008GE1AE2TO-I-GS-1AP-STD,Swissbit,IND USB FLASH DRIVE U-56K 8 GB P,0,0,"62.70000","0","1","U-56K","Active","8GB","FLASH - NAND (pSLC)","USB 3.1","175MB/s","110MB/s","-40°C ~ 85°C","67.80mm L x 18.00mm H x 8.30mm W"
-,-,SFU3032GC1AE2TO-I-GE-1A1-STD-ND,SFU3032GC1AE2TO-I-GE-1A1-STD,Swissbit,IND USB FLASH DRIVE U-50N 32 GB,0,0,"65.35000","0","1","U-50N","Active","32GB","FLASH - NAND (MLC)","USB 3.1","135MB/s","65MB/s","-40°C ~ 85°C","24.00mm L x 12.10mm H x 4.50mm W"
http://eflash.apacerus.com/spec/USB/Drive/Consumer_USB3.0/Consumer_USB_AH553.pdf,-,AP32GAH553U-ND,AP32GAH553U,Apacer Memory America,USB FLASH DRIVE 32GB USB 2.0/3.0,0,0,"65.45000","0","1","AH553","Active","32GB","-","USB 2.0, 3.0","-","-","0°C ~ 60°C","59.00mm L x 18.40mm W x 9.10mm H"
https://swissbit.com/data/view.php?q=U-56/U-56_fact_sheet.pdf,-,SFU3016GC1AE2TO-I-GE-1AP-STD-ND,SFU3016GC1AE2TO-I-GE-1AP-STD,Swissbit,IND USB FLASH DRIVE U-56N 16 GB,0,0,"66.58000","0","1","U-56N","Active","16GB","FLASH - NAND (pSLC)","USB 3.1","190MB/s","125MB/s","-40°C ~ 85°C","24.00mm L x 12.10mm H x 4.50mm W"
http://eflash.apacerus.com/SPEC/USB/Drive/AH321_SLC&MLC_APHAxxxXX13XG-XXX_Spec_rev2.5.pdf,-,APHA004GR13CG-6T-ND,APHA004GR13CG-6T,Apacer Memory America,USB FLASH DRIVE 4GB SLC USB 2.0,0,0,"67.96000","0","1","AH321","Active","4GB","FLASH - NAND (SLC)","USB 2.0","28MB/s","21MB/s","0°C ~ 70°C","53.60mm L x 19.00mm W x 8.00mm H"
http://eflash.apacerus.com/SPEC/USB/Drive/AH322_SLC&MLC_APHAxxxXX23XG-XXX_Spec_rev2.5.pdf,-,APHA004GR23CG-6T-ND,APHA004GR23CG-6T,Apacer Memory America,USB FLASH DRIVE 4GB SLC USB 2.0,0,0,"67.96000","0","1","AH322","Active","4GB","FLASH - NAND (SLC)","USB 2.0","28MB/s","21MB/s","0°C ~ 70°C","52.18mm L x 18.00mm W x 8.50mm H"
-,-,SFU3032GE1AE2TO-C-GS-1A1-STD-ND,SFU3032GE1AE2TO-C-GS-1A1-STD,Swissbit,IND USB FLASH DRIVE U-50K 32 GB,0,0,"70.11000","0","1","U-50K","Active","32GB","FLASH - NAND (MLC)","USB 3.1","140MB/s","60MB/s","0°C ~ 70°C","67.80mm L x 18.00mm H x 8.30mm W"
-,-,SFU3016GE1AE2TO-C-GS-1AP-STD-ND,SFU3016GE1AE2TO-C-GS-1AP-STD,Swissbit,IND USB FLASH DRIVE U-56K 16 GB,0,0,"71.53000","0","1","U-56K","Active","16GB","FLASH - NAND (pSLC)","USB 3.1","175MB/s","110MB/s","0°C ~ 70°C","67.80mm L x 18.00mm H x 8.30mm W"
http://eflash.apacerus.com/spec/USB/Drive/EH353/Industrial-USB_EH353.pdf,//media.digikey.com/Photos/Apacer%20Photos/APHA064GAG0EG-1TM.jpg,APHA004GAG0CG-2T-ND,APHA004GAG0CG-2T,Apacer Memory America,USB FLASH DRV 4GB SLC USB2.0/3.0,0,0,"72.78000","0","1","EH353","Active","4GB","FLASH - NAND (SLC)","USB 2.0, 3.0","65MB/s","50MB/s","0°C ~ 70°C","59.00mm L x 18.40mm W x 9.10mm H"
http://eflash.apacerus.com/spec/USB/Drive/Consumer_USB3.0/Consumer_USB_AH155.pdf,-,AP64GAH155U-ND,AP64GAH155U,Apacer Memory America,USB FLASH DRIVE 64GB USB 2.0/3.0,0,0,"72.82000","0","1","AH155","Active","64GB","-","USB 2.0, 3.0","-","-","0°C ~ 60°C","24.30mm L x 12.00mm W x 4.50mm H"
-,-,SFU3032GE1AE2TO-I-GS-1A1-STD-ND,SFU3032GE1AE2TO-I-GS-1A1-STD,Swissbit,IND USB FLASH DRIVE U-50K 32 GB,0,0,"75.06000","0","1","U-50K","Active","32GB","FLASH - NAND (MLC)","USB 3.1","140MB/s","60MB/s","-40°C ~ 85°C","67.80mm L x 18.00mm H x 8.30mm W"
-,-,SFU3016GE1AE2TO-I-GS-1AP-STD-ND,SFU3016GE1AE2TO-I-GS-1AP-STD,Swissbit,IND USB FLASH DRIVE U-56K 16 GB,0,0,"76.65000","0","1","U-56K","Active","16GB","FLASH - NAND (pSLC)","USB 3.1","175MB/s","110MB/s","-40°C ~ 85°C","67.80mm L x 18.00mm H x 8.30mm W"
http://consumer.apacer.com/eng/upload/download/20170413142730_banner_.pdf,-,AP32GAH650C-ND,AP32GAH650C,Apacer Memory America,USB FLASH DRIVE 32GB USB 2.0/3.0,0,0,"78.62400","0","1000","AH650","Active","32GB","-","USB 2.0, 3.0","-","-","0°C ~ 60°C","64.40mm L x 22.80mm W x 10.30mm H"
