Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Connector Type","Number of Contacts","Gender","Specifications","Mounting Type","Mounting Feature","Termination","Features","Ingress Protection","Operating Temperature","Number of Ports","Current Rating (Amps)","Voltage - Rated","Mating Cycles","Shielding"
http://www.amphenol-icc.com/media/wysiwyg/files/drawing/10033526.pdf,//media.digikey.com/Photos/FCI%20Photos/10033526-N3212LF.JPG,609-4700-6-ND,10033526-N3212LF,Amphenol ICC (FCI),CONN RCPT MINI USB B 5POS SMD RA,16728,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","USB - mini B","5","Receptacle","-","Surface Mount, Right Angle","Horizontal","Solder","Board Guide, Solder Retention","-","-25°C ~ 85°C","1","1A per Contact","30V","5000","Shielded"
https://www.jae.com/direct/topics/topics_file_download/topics_id=64360&ext_no=09&_lang=en,//media.digikey.com/Photos/JAE%20Elect%20Photos/DX4R005JJ2R1800.JPG,670-2675-2-ND,DX4R005JJ2R1800,JAE Electronics,CONN RCPT USB2.0 MICRO B SMD R/A,28800,0,"0.38658","0","1800","Tape & Reel (TR)","DX4","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Right Angle; Through Hole","Horizontal","Solder","Pick and Place, Solder Retention","-","-30°C ~ 80°C","1","0.5A, 1.8A","30V","10000","Unshielded"
https://www.jae.com/direct/topics/topics_file_download/topics_id=64360&ext_no=09&_lang=en,//media.digikey.com/Photos/JAE%20Elect%20Photos/DX4R005JJ2R1800.JPG,670-2675-1-ND,DX4R005JJ2R1800,JAE Electronics,CONN RCPT USB2.0 MICRO B SMD R/A,31483,0,"0.82000","0","1","Cut Tape (CT)","DX4","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Right Angle; Through Hole","Horizontal","Solder","Pick and Place, Solder Retention","-","-30°C ~ 80°C","1","0.5A, 1.8A","30V","10000","Unshielded"
https://www.jae.com/direct/topics/topics_file_download/topics_id=64360&ext_no=09&_lang=en,//media.digikey.com/Photos/JAE%20Elect%20Photos/DX4R005JJ2R1800.JPG,670-2675-6-ND,DX4R005JJ2R1800,JAE Electronics,CONN RCPT USB2.0 MICRO B SMD R/A,31483,0,"Digi-Reel","0","1","Digi-Reel®","DX4","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Right Angle; Through Hole","Horizontal","Solder","Pick and Place, Solder Retention","-","-30°C ~ 80°C","1","0.5A, 1.8A","30V","10000","Unshielded"
https://www.jae.com/direct/topics/topics_file_download/topics_id=64360&ext_no=09&_lang=en,//media.digikey.com/Photos/JAE%20Elect%20Photos/DX4R005HJ5R2000.JPG,670-2674-2-ND,DX4R005HJ5R2000,JAE Electronics,CONN RCPT USB2.0 MICRO B SMD R/A,26000,0,"0.38658","0","2000","Tape & Reel (TR)","DX4","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Right Angle","Horizontal","Solder","Pick and Place, Solder Retention","-","-30°C ~ 80°C","1","0.5A, 1.8A","30V","10000","Unshielded"
https://www.jae.com/direct/topics/topics_file_download/topics_id=64360&ext_no=09&_lang=en,//media.digikey.com/Photos/JAE%20Elect%20Photos/DX4R005HJ5R2000.JPG,670-2674-1-ND,DX4R005HJ5R2000,JAE Electronics,CONN RCPT USB2.0 MICRO B SMD R/A,30926,0,"0.82000","0","1","Cut Tape (CT)","DX4","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Right Angle","Horizontal","Solder","Pick and Place, Solder Retention","-","-30°C ~ 80°C","1","0.5A, 1.8A","30V","10000","Unshielded"
https://www.jae.com/direct/topics/topics_file_download/topics_id=64360&ext_no=09&_lang=en,//media.digikey.com/Photos/JAE%20Elect%20Photos/DX4R005HJ5R2000.JPG,670-2674-6-ND,DX4R005HJ5R2000,JAE Electronics,CONN RCPT USB2.0 MICRO B SMD R/A,30926,0,"Digi-Reel","0","1","Digi-Reel®","DX4","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Right Angle","Horizontal","Solder","Pick and Place, Solder Retention","-","-30°C ~ 80°C","1","0.5A, 1.8A","30V","10000","Unshielded"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/10103593.pdf,//media.digikey.com/Photos/FCI%20Photos/10103593-0001LF.jpg,609-4049-2-ND,10103593-0001LF,Amphenol ICC (FCI),CONN RCPT USB2.0 MICRO B SMD,21000,0,"0.38676","0","1000","Tape & Reel (TR)","-","Active","USB - micro B","5","Receptacle","USB 2.0","Board Edge, Cutout; Surface Mount; Through Hole, Right Angle","Horizontal, Mid Mount","Solder","Solder Retention","-","-30°C ~ 80°C","1","1.8A per Contact","100VAC","10000","Shielded"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/10103593.pdf,//media.digikey.com/Photos/FCI%20Photos/10103593-0001LF.jpg,609-4049-1-ND,10103593-0001LF,Amphenol ICC (FCI),CONN RCPT USB2.0 MICRO B SMD,22439,0,"0.75000","0","1","Cut Tape (CT)","-","Active","USB - micro B","5","Receptacle","USB 2.0","Board Edge, Cutout; Surface Mount; Through Hole, Right Angle","Horizontal, Mid Mount","Solder","Solder Retention","-","-30°C ~ 80°C","1","1.8A per Contact","100VAC","10000","Shielded"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/10103593.pdf,//media.digikey.com/Photos/FCI%20Photos/10103593-0001LF.jpg,609-4049-6-ND,10103593-0001LF,Amphenol ICC (FCI),CONN RCPT USB2.0 MICRO B SMD,22439,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","USB - micro B","5","Receptacle","USB 2.0","Board Edge, Cutout; Surface Mount; Through Hole, Right Angle","Horizontal, Mid Mount","Solder","Solder Retention","-","-30°C ~ 80°C","1","1.8A per Contact","100VAC","10000","Shielded"
