Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Kit Type","Main Purpose","Interconnect System","Suggested Programming Environment","Utilized IC / Part","Included MCU/MPU Board(s)"
https://www.parallax.com/sites/default/files/downloads/28108-QTI-Line-Follower-Guide-v3.0_0.pdf,//media.digikey.com/photos/Parallax%20Photos/MFG_28108.jpg,28108-ND,28108,Parallax Inc.,KIT QTI BOE-BOT LINE FOLLOWER,2,0,"26.24000","0","1","-","Active","Components","Line Follower","-","-","-","-"
http://www.globalspecialties.com/educational-hobby-kits/solar-leds-and-switches/download/1350_92e29c583060f8fb7daf134f2a75bc60.html,//media.digikey.com/Photos/BK%20Precision%20Photos/GSK-948.jpg,BKGSK-948-ND,GSK-948,Global Specialties,DIGITAL CLOCK KIT,2,0,"29.76000","0","1","-","Active","Project Kit","Digital Clock","-","-","-","-"
http://www.globalspecialties.com/educational-hobby-kits/control-and-indicator-kits/download/1359_e5362277f99b78ed67b9829ca6eed9f4.html,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GSK-820.jpg,BKGSK-820-ND,GSK-820,Global Specialties,VOLTAGE BOOSTER KIT 12VDC,1,0,"30.00000","0","1","-","Active","Project Kit","Boost Converter","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/114990348_Web.pdf,//media.digikey.com/photos/Seeed%20Technology%20Ltd/MFG_114990348.jpg,1597-1454-ND,114990348,"Seeed Technology Co., Ltd",ARDUBOY GAME KIT ARDUINO,0,0,"49.98000","0","1","-","Active","Project Kit","Game Kit","-","Arduino IDE","ATmega32U4","-"
http://www.globalspecialties.com/educational-hobby-kits/control-and-indicator-kits/download/1534_77df87536b55f69ee815098e5924a135.html,//media.digikey.com/Photos/BK%20Precision%20Photos/MFG_GSK-187.jpg,BKGSK-187-ND,GSK-187,Global Specialties,BI-POLAR STEPPER DRIVER KIT,4,0,"60.00000","0","1","-","Active","Project Kit","Bi-Polar Stepper Driver","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Custom%20Computer%20Services%20PDFs/S-205_Web.pdf,//media.digikey.com/Photos/Custom%20Computer%20Photos/MFG_S-205.jpg,429-1030-ND,S-205,Custom Computer Services Inc. (CCS),SENSORS EXPLORER KIT,2,0,"61.25000","0","1","-","Active","Starter Kit","Sensor Kit","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/KIT0112_Web.pdf,//media.digikey.com/Photos/DFRobot/KIT0112.jpg,1738-1136-ND,KIT0112,DFRobot,GRAVITY SENSOR KIT LATTEPANDA,1,0,"61.70000","0","1","Gravity","Active","Starter Kit","Sensor Kit","Gravity","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Trenz%20Electronic%20PDFs/Calibrated_Diagnostic_Kit_Web.pdf,//media.digikey.com/Photos/Trenz-Electronic-GmbH/27763_primary.jpg,1686-1037-ND,27765,Trenz Electronic GmbH,KIT CALIBRATED STEMLAB 125-14,1,0,"601.80000","0","1","Red Pitaya","Active","Starter Kit","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Twin%20Industries%20PDFs/TW-DIY-5024.pdf,//media.digikey.com/photos/Twin%20Industries%20Photos/MFG_TW-DIY-5024.jpg,438-1077-ND,TW-DIY-5024,Twin Industries,LOGIC PROBE KIT DIY DGTL EQPMNT,4,0,"12.94000","0","1","-","Active","Project Kit","Logic Probe Kit","-","-","-","-"
http://www.globalspecialties.com/educational-hobby-kits/control-and-indicator-kits/download/1351_2823f21271ab7fe11267fb36ab33206f.html,//media.digikey.com/Photos/BK%20Precision%20Photos/GSK-947.jpg,BKGSK-947-ND,GSK-947,Global Specialties,SPRINKLER CTRLR KIT AUTOMATIC,2,0,"17.00000","0","1","-","Active","Project Kit","Automatic Sprinkler","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Twin%20Industries%20PDFs/TW-DIY-5029.pdf,//media.digikey.com/photos/Twin%20Industries%20Photos/MFG_TW-DIY-5029.jpg,438-1078-ND,TW-DIY-5029,Twin Industries,COMBINATION LOCK KIT W/KEYPAD,10,0,"17.25000","0","1","-","Active","Project Kit","Combination Lock and Keypad","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Industrial%20Fiber%20Optics%20Inc/IF-SD11_IS.pdf,//media.digikey.com/photos/Industrial%20Fiberoptics%20Photos/IF-SD11.jpg,FB115-ND,IF-SD11,Industrial Fiberoptics,DESIGNER SIMPLEX KIT FIBER OPTIC,2,0,"63.00000","0","1","-","Active","Fiber Optic","Data Link","-","-","-","-"
-,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_110060039.jpg,1597-1029-ND,110060039,"Seeed Technology Co., Ltd",GROVE STARTER KIT FOR LINKIT ONE,2,0,"71.30000","0","1","Grove","Active","Starter Kit","IoT Kit","Arduino R3 Shield","-","-","-"
https://www.kitronik.co.uk/pdf/2103_electronic_game_essentials_2_0.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2103.jpg,1927-1002-ND,2103,Kitronik Ltd.,GAME PROJECT KIT,10,0,"7.08000","0","1","-","Active","Project Kit","Game Kit","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/GPIO_Button_Adapter_Web.pdf,//media.digikey.com/photos/Pi-Supply/MFG_PIS-0584.jpg,1910-1080-ND,PIS-0584,Pi Supply,GPIO BUTTON ADAPTER,22,0,"8.39000","0","1","-","Active","Components","Accessories Kit","Raspberry Pi pHAT","-","-","-"
https://www.kitronik.co.uk/pdf/2143_high_power_amp_essentials_2_0.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2143K.jpg,1927-1012-ND,2143K,Kitronik Ltd.,HIGH POWER AMP KIT (PCB & COMPON,15,0,"15.68000","0","1","-","Active","Project Kit","Audio Amplifier","-","-","-","-"
https://www.kitronik.co.uk/pdf/2157_fm_radio_essentials_2_2.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2157.jpg,1927-1016-ND,2157,Kitronik Ltd.,FM RADIO KIT V2.0,8,0,"15.68000","0","1","-","Active","RF","Radio Kit","-","-","NCP2890, Si4820","-"
http://learn.flotil.la/getting-started,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_PIM022.jpg,1778-1094-ND,PIM022,Pimoroni Ltd,FLOTILLA - MINI STARTER KIT,2,0,"27.17000","0","1","Flotilla","Active","Starter Kit","Inventor Kit","Flotilla","Rockpool","ATmega32U4","Flotilla Dock"
//media.digikey.com/pdf/Data%20Sheets/Twin%20Industries%20PDFs/TW-DIY-5146.pdf,//media.digikey.com/photos/Twin%20Industries%20Photos/MFG_TW-DIY-5146.jpg,438-1083-ND,TW-DIY-5146,Twin Industries,KIT MESSAGE RECORDER,3,0,"37.09000","0","1","-","Active","Project Kit","Message Recorder","-","-","-","-"
